rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;dinov2_b__knn;DINOv2-B-KNN;0.2637307644188665;0.46365569873639434;0.0;0.37963460505104785;7444;0.2509403546480387;0.37963460505104785
2;dinov2_b_in1k__linear_probe;DINOv2-B-IN1K-LINEAR_PROBE;0.26810959589640937;0.48442387088702615;0.0;0.36673831273508867;7444;0.23804406233207953;0.36673831273508867
3;dinov2_b_in1k__logits;DINOv2-B-IN1K-LOGITS;0.2397097460277743;0.4567746778431127;0.0;0.3616335303600215;7444;0.23293927995701236;0.3616335303600215
4;dinov2_b_in1k__knn;DINOv2-B-IN1K-KNN;0.23845865131990493;0.44163643187789314;0.0;0.3440354648038689;7444;0.21534121440085974;0.3440354648038689
5;clip_b_in1k__linear_probe;CLIP-B-IN1K-LINEAR_PROBE;0.26122857500312774;0.4162392093081446;0.0;0.33704997313272433;7444;0.2083557227297152;0.33704997313272433
6;clip_b_in1k__knn;CLIP-B-IN1K-KNN;0.234204929313149;0.376704616539472;0.0;0.31783987103707684;7444;0.1891456206340677;0.31783987103707684
7;clip_b_in1k__logits;CLIP-B-IN1K-LOGITS;0.23007631677718005;0.40072563493056423;0.0;0.3103170338527673;7444;0.18162278344975819;0.3103170338527673
8;swin_b_in1k__linear_probe;Swin-B-IN1K-LINEAR_PROBE;0.2073063930939572;0.39334417615413486;0.0;0.28653949489521763;7444;0.1578452444922085;0.28653949489521763
9;swin_b_in1k__knn;Swin-B-IN1K-KNN;0.20030026272988866;0.348304766670837;0.0;0.27565824825362706;7444;0.14696399785061792;0.27565824825362706
10;swin_b_in1k__logits;Swin-B-IN1K-LOGITS;0.19316902289503315;0.3782059301889153;0.0;0.2752552391187534;7444;0.14656098871574424;0.2752552391187534
11;hiera_b_in1k__knn;Hiera_B-KNN;0.20117602902539722;0.32703615663705743;0.0;0.2626276195593767;7444;0.13393336915636755;0.2626276195593767
12;swin_b__knn;Swin-B-KNN;0.17377705492305767;0.31515075691229827;0.0;0.24328318108543795;7444;0.11458893068242881;0.24328318108543795
13;hiera_b_in1k__logits;Hiera_B-LOGITS;0.17665457275115726;0.35118228449893657;0.0;0.23750671681891455;7444;0.10881246641590542;0.23750671681891455
14;vit_b_in1k__logits;ViT-B-IN1K-LOGITS;0.14775428499937446;0.31052170649318156;0.0;0.2040569586243955;7444;0.07536270822138635;0.2040569586243955
15;vit_b_in1k__knn;ViT-B-IN1K-KNN;0.13636932315776304;0.26648317277617917;0.0;0.19438473938742612;7444;0.06569048898441698;0.19438473938742612
16;dinov1_b__knn;DINOv1-B-KNN;0.08845239584636556;0.22081821593894657;0.0;0.1468296614723267;7444;0.01813541106931757;0.1468296614723267
17;clip_b__knn;CLIP-B-KNN;0.0843237833103966;0.20380332791192293;0.0;0.1354110693175712;7444;0.0067168189145620505;0.1354110693175712
18;dinov3_b__knn;DINOv3-B-KNN;0.08157137495308395;0.17039909921181035;0.0;0.12950026867275657;7444;0.0008060182697474383;0.12950026867275657
