rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;dinov2_l__knn;DINOv2-L-KNN;0.3090203928437383;0.5207056174152384;0.0;0.44613111230521224;7444;0.3174368619022031;0.44613111230521224
2;dinov2_l_in1k__knn;DINOv2-L-IN1K-KNN;0.2985111972976354;0.498936569498311;0.0;0.42557764642665236;7444;0.2968833960236432;0.42557764642665236
3;dinov2_l_in1k__logits;DINOv2-L-IN1K-LOGITS;0.2982609783560616;0.5232078068309771;0.0;0.41980118216012896;7444;0.2911069317571198;0.41980118216012896
4;dinov2_b__knn;DINOv2-B-KNN;0.2637307644188665;0.46365569873639434;0.0;0.37963460505104785;7444;0.2509403546480387;0.37963460505104785
5;dinov2_b_in1k__linear_probe;DINOv2-B-IN1K-LINEAR_PROBE;0.26810959589640937;0.48442387088702615;0.0;0.36673831273508867;7444;0.23804406233207953;0.36673831273508867
6;dinov2_b_in1k__logits;DINOv2-B-IN1K-LOGITS;0.2397097460277743;0.4567746778431127;0.0;0.3616335303600215;7444;0.23293927995701236;0.3616335303600215
7;dinov2_b_in1k__knn;DINOv2-B-IN1K-KNN;0.23845865131990493;0.44163643187789314;0.0;0.3440354648038689;7444;0.21534121440085974;0.3440354648038689
8;dinov2_s__knn;DINOv2-S-KNN;0.20355310897034906;0.41686475666207934;0.0;0.2997044599677593;7444;0.17101020956475016;0.2997044599677593
9;dinov2_s_in1k__logits;DINOv2-S-IN1K-LOGITS;0.185287126235456;0.3905917677968222;0.0;0.28465878559914026;7444;0.15596453519613113;0.28465878559914026
10;dinov2_s_in1k__knn;DINOv2-S-IN1K-KNN;0.18015763793319153;0.3812085574878018;0.0;0.2686727565824825;7444;0.13997850617947338;0.2686727565824825
