class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
579;grand piano, grand;50;;0.64;0.8888888888888888;0.64;0.7441860465116279;32;4;18
560;football helmet;50;;0.54;0.9310344827586207;0.54;0.6835443037974683;27;2;23
518;crash helmet;100;;0.69;0.6764705882352942;0.69;0.6831683168316831;69;33;31
559;folding chair;100;;0.66;0.6534653465346535;0.66;0.6567164179104478;66;35;34
846;table lamp;150;;0.4533333333333333;0.9066666666666666;0.4533333333333333;0.6044444444444445;68;7;82
402;acoustic guitar;50;;0.36;1.0;0.36;0.5294117647058824;18;0;32
895;warplane, military plane;50;;0.44;0.5238095238095238;0.44;0.4782608695652174;22;20;28
790;shopping basket;100;;0.31;0.6595744680851063;0.31;0.42176870748299317;31;16;69
620;laptop, laptop computer;150;;0.26666666666666666;0.9302325581395349;0.26666666666666666;0.41450777202072536;40;3;110
898;water bottle;50;;0.26;1.0;0.26;0.41269841269841273;13;0;37
414;backpack, back pack, knapsack, packsack, rucksack, haversack;100;;0.39;0.3939393939393939;0.39;0.39195979899497485;39;60;61
907;wine bottle;50;;0.2;0.9090909090909091;0.2;0.32786885245901637;10;1;40
665;moped;150;;0.17333333333333334;1.0;0.17333333333333334;0.29545454545454547;26;0;124
763;revolver, six-gun, six-shooter;150;;0.16;1.0;0.16;0.2758620689655173;24;0;126
409;analog clock;50;;0.22;0.3142857142857143;0.22;0.25882352941176473;11;24;39
448;birdhouse;150;;0.14;1.0;0.14;0.24561403508771928;21;0;129
413;assault rifle, assault gun;50;;0.4;0.17699115044247787;0.4;0.24539877300613497;20;93;30
515;cowboy hat, ten-gallon hat;150;;0.13333333333333333;1.0;0.13333333333333333;0.23529411764705882;20;0;130
721;pillow;150;;0.12;1.0;0.12;0.21428571428571425;18;0;132
831;studio couch, day bed;50;;0.32;0.14414414414414414;0.32;0.19875776397515527;16;95;34
817;sports car, sport car;50;;0.1;0.7142857142857143;0.1;0.1754385964912281;5;2;45
534;dishwasher, dish washer, dishwashing machine;150;;0.08666666666666667;0.23214285714285715;0.08666666666666667;0.1262135922330097;13;43;137
759;reflex camera;150;;0.06666666666666667;0.8333333333333334;0.06666666666666667;0.1234567901234568;10;2;140
914;yawl;50;;0.06;1.0;0.06;0.11320754716981131;3;0;47
508;computer keyboard, keypad;150;;0.05333333333333334;1.0;0.05333333333333334;0.10126582278481014;8;0;142
742;printer;149;;0.12751677852348994;0.0708955223880597;0.12751677852348994;0.09112709832134291;19;249;130
761;remote control, remote;149;;0.04697986577181208;1.0;0.04697986577181208;0.08974358974358974;7;0;142
553;file, file cabinet, filing cabinet;150;;0.04666666666666667;0.4666666666666667;0.04666666666666667;0.08484848484848485;7;8;143
435;bathtub, bathing tub, bath, tub;150;;0.04;1.0;0.04;0.07692307692307693;6;0;144
738;pot, flowerpot;150;;0.03333333333333333;1.0;0.03333333333333333;0.06451612903225806;5;0;145
827;stove;150;;0.03333333333333333;1.0;0.03333333333333333;0.06451612903225806;5;0;145
632;loudspeaker, speaker, speaker unit, loudspeaker system, speaker system;150;;0.04666666666666667;0.06481481481481481;0.04666666666666667;0.05426356589147287;7;101;143
703;park bench;150;;0.02666666666666667;1.0;0.02666666666666667;0.05194805194805195;4;0;146
453;bookcase;150;;0.02666666666666667;1.0;0.02666666666666667;0.05194805194805195;4;0;146
657;missile;99;;0.020202020202020204;0.6666666666666666;0.020202020202020204;0.03921568627450981;2;1;97
404;airliner;100;;0.02;0.3333333333333333;0.02;0.03773584905660377;2;4;98
897;washer, automatic washer, washing machine;150;;0.02;0.3333333333333333;0.02;0.03773584905660377;3;6;147
900;water tower;50;;0.02;0.3333333333333333;0.02;0.03773584905660377;1;2;49
487;cellular telephone, cellular phone, cellphone, cell, mobile phone;150;;0.013333333333333334;0.2222222222222222;0.013333333333333334;0.025157232704402517;2;7;148
659;mixing bowl;50;;0.02;0.013157894736842105;0.02;0.015873015873015872;1;75;49
651;microwave, microwave oven;150;;0.006666666666666667;0.5;0.006666666666666667;0.013157894736842105;1;1;149
504;coffee mug;150;;0.006666666666666667;0.02564102564102564;0.006666666666666667;0.010582010582010581;1;38;149
0;tench, Tinca tinca;549;;0.0;0.0;0.0;0.0;0;0;549
412;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;149;;0.0;0.0;0.0;0.0;0;62;149
