class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
560;football helmet;50;;0.64;1.0;0.64;0.7804878048780487;32;0;18
559;folding chair;100;;0.61;0.5754716981132075;0.61;0.5922330097087378;61;45;39
846;table lamp;150;;0.43333333333333335;0.8441558441558441;0.43333333333333335;0.5726872246696035;65;12;85
402;acoustic guitar;50;;0.34;1.0;0.34;0.5074626865671642;17;0;33
518;crash helmet;100;;0.36;0.782608695652174;0.36;0.4931506849315068;36;10;64
790;shopping basket;100;;0.32;0.7111111111111111;0.32;0.44137931034482764;32;13;68
898;water bottle;50;;0.24;0.8;0.24;0.36923076923076925;12;3;38
579;grand piano, grand;50;;0.22;0.8461538461538461;0.22;0.3492063492063492;11;2;39
665;moped;150;;0.19333333333333333;1.0;0.19333333333333333;0.3240223463687151;29;0;121
763;revolver, six-gun, six-shooter;150;;0.18;1.0;0.18;0.3050847457627119;27;0;123
448;birdhouse;150;;0.18;1.0;0.18;0.3050847457627119;27;0;123
409;analog clock;50;;0.22;0.39285714285714285;0.22;0.28205128205128205;11;17;39
413;assault rifle, assault gun;50;;0.4;0.18867924528301888;0.4;0.2564102564102564;20;86;30
817;sports car, sport car;50;;0.14;0.875;0.14;0.24137931034482757;7;1;43
414;backpack, back pack, knapsack, packsack, rucksack, haversack;100;;0.18;0.32142857142857145;0.18;0.23076923076923075;18;38;82
895;warplane, military plane;50;;0.14;0.5384615384615384;0.14;0.2222222222222222;7;6;43
831;studio couch, day bed;50;;0.3;0.1485148514851485;0.3;0.19867549668874174;15;86;35
620;laptop, laptop computer;150;;0.10666666666666667;0.8421052631578947;0.10666666666666667;0.18934911242603553;16;3;134
761;remote control, remote;149;;0.10067114093959731;1.0;0.10067114093959731;0.18292682926829268;15;0;134
632;loudspeaker, speaker, speaker unit, loudspeaker system, speaker system;150;;0.17333333333333334;0.174496644295302;0.17333333333333334;0.1739130434782609;26;123;124
721;pillow;150;;0.08666666666666667;0.9285714285714286;0.08666666666666667;0.15853658536585366;13;1;137
553;file, file cabinet, filing cabinet;150;;0.06666666666666667;0.38461538461538464;0.06666666666666667;0.11363636363636365;10;16;140
534;dishwasher, dish washer, dishwashing machine;150;;0.06666666666666667;0.2702702702702703;0.06666666666666667;0.10695187165775401;10;27;140
907;wine bottle;50;;0.06;0.42857142857142855;0.06;0.10526315789473684;3;4;47
508;computer keyboard, keypad;150;;0.05333333333333334;1.0;0.05333333333333334;0.10126582278481014;8;0;142
897;washer, automatic washer, washing machine;150;;0.04666666666666667;0.5833333333333334;0.04666666666666667;0.08641975308641976;7;5;143
453;bookcase;150;;0.03333333333333333;1.0;0.03333333333333333;0.06451612903225806;5;0;145
881;upright, upright piano;100;;0.03;0.5;0.03;0.056603773584905655;3;3;97
827;stove;150;;0.02;1.0;0.02;0.0392156862745098;3;0;147
742;printer;149;;0.040268456375838924;0.028985507246376812;0.040268456375838924;0.033707865168539325;6;201;143
759;reflex camera;150;;0.006666666666666667;0.25;0.006666666666666667;0.012987012987012988;1;3;149
504;coffee mug;150;;0.006666666666666667;0.07142857142857142;0.006666666666666667;0.012195121951219513;1;13;149
737;pop bottle, soda bottle;150;;0.013333333333333334;0.008968609865470852;0.013333333333333334;0.010723860589812333;2;221;148
637;mailbox, letter box;150;;0.006666666666666667;0.02564102564102564;0.006666666666666667;0.010582010582010581;1;38;149
412;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;149;;0.0;0.0;0.0;0.0;0;194;149
404;airliner;100;;0.0;0.0;0.0;0.0;0;0;100
0;tench, Tinca tinca;549;;0.0;0.0;0.0;0.0;0;0;549
435;bathtub, bathing tub, bath, tub;150;;0.0;0.0;0.0;0.0;0;1;150
515;cowboy hat, ten-gallon hat;150;;0.0;0.0;0.0;0.0;0;0;150
487;cellular telephone, cellular phone, cellphone, cell, mobile phone;150;;0.0;0.0;0.0;0.0;0;10;150
466;bullet train, bullet;50;;0.0;0.0;0.0;0.0;0;0;50
682;obelisk;50;;0.0;0.0;0.0;0.0;0;6;50
668;mosque;50;;0.0;0.0;0.0;0.0;0;0;50
