value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
acoustic-guitar-1;50;0.34;0.4;50;0.34
analog-clock-1;50;0.22;0.22;50;0.22
assault-rifle-1;50;0.4;0.44;50;0.4
backpack-1;50;0.26;0.7;50;0.4
backpack-2;50;0.1;0.36;50;0.1
bathtub-1;50;0.0;0.24;50;0.0
bathtub-2;50;0.0;0.0;50;0.0
bathtub-3;50;0.0;0.06;50;0.0
bed-1;50;0.0;0.0;50;0.0
bed-2;50;0.0;0.0;50;0.02
bench-1;50;0.0;0.22;50;0.0
bench-2;50;0.0;0.02;50;0.0
bench-3;50;0.0;0.22;50;0.0
birdhouse-1;50;0.16;0.2;50;0.16
birdhouse-2;50;0.38;0.4;50;0.38
birdhouse-3;50;0.0;0.2;50;0.0
bookshelf-1;50;0.1;0.2;50;0.1
bookshelf-2;50;0.0;0.02;50;0.0
bookshelf-3;50;0.0;0.12;50;0.0
bullet-train-1;50;0.0;0.0;50;0.0
bus-1;50;0.0;0.02;50;0.0
bus-2;50;0.0;0.0;50;0.0
bus-3;50;0.0;0.0;50;0.0
can-1;50;0.0;0.04;50;0.08
can-2;50;0.02;0.2;50;0.02
can-3;50;0.02;0.16;50;0.06
china-cabinet-1;50;0.0;0.08;50;0.0
china-cabinet-2;50;0.0;0.08;50;0.0
china-cabinet-3;50;0.0;0.08;50;0.0
computer-keyboard-1;50;0.0;0.0;50;0.0
computer-keyboard-2;50;0.0;0.0;50;0.0
computer-keyboard-3;50;0.16;0.44;50;0.16
cowboy-hat-1;50;0.0;0.3;50;0.0
cowboy-hat-2;50;0.0;0.0;50;0.0
cowboy-hat-3;50;0.0;0.0;50;0.0
crash-helmet-1;50;0.32;0.7;50;0.32
crash-helmet-2;50;0.4;0.7;50;0.4
crate-1;50;0.0;0.0;50;0.0
day-bed-1;50;0.3;0.56;50;0.3
dining-table-1;50;0.0;0.0;50;0.0
dining-table-2;50;0.0;0.0;50;0.0
dining-table-3;50;0.0;0.02;50;0.0
dishwasher-1;50;0.08;0.12;50;0.08
dishwasher-2;50;0.1;0.34;50;0.1
dishwasher-3;50;0.02;0.04;50;0.02
earphone-2;50;0.0;0.0;0;
electric-locomotive-1;50;0.0;0.0;50;0.0
faucet-1;50;0.0;0.0;0;
flowerpot-2;50;0.0;0.0;50;0.0
faucet-2;50;0.0;0.0;0;
faucet-3;50;0.0;0.0;0;
fighter-jet;50;0.14;0.4;50;0.14
file-cabinet-1;50;0.06;0.18;50;0.06
file-cabinet-2;50;0.0;0.0;50;0.0
file-cabinet-3;50;0.14;0.18;50;0.14
flowerpot-1;50;0.0;0.14;50;0.0
football-helmet-1;50;0.64;0.72;50;0.66
flowerpot-3;50;0.0;0.02;50;0.0
folding-chair-1;50;0.7;0.8;50;0.7
folding-chair-2;50;0.52;0.66;50;0.52
iPod-1;50;0.0;0.0;50;0.0
grand-piano-1;50;0.22;0.5;50;0.22
knife-1;50;0.0;0.0;50;0.0
knife-2;50;0.0;0.0;50;0.0
microwave-2;50;0.0;0.02;50;0.0
knife-3;50;0.0;0.0;50;0.0
laptop-1;50;0.3;0.54;50;0.54
laptop-2;50;0.02;0.56;50;0.56
laptop-3;50;0.0;0.48;50;0.34
limousine-1;50;0.0;0.04;50;0.4
loudspeaker-1;50;0.06;0.1;50;0.06
loudspeaker-2;50;0.46;0.82;50;0.46
loudspeaker-3;50;0.0;0.02;50;0.0
mailbox-1;50;0.02;0.04;50;0.02
mailbox-2;50;0.0;0.0;50;0.0
mailbox-3;50;0.0;0.12;50;0.0
microphone-1;50;0.0;0.02;50;0.0
microphone-2;50;0.0;0.0;50;0.0
microphone-3;50;0.0;0.0;50;0.0
microwave-1;50;0.0;0.04;50;0.0
moped-2;50;0.1;0.36;50;0.2
microwave-3;50;0.0;0.1;50;0.0
missile-2;50;0.0;0.02;50;0.14
mixing-bowl-1;50;0.0;0.24;50;0.0
mobile-phone-2;50;0.0;0.02;50;0.0
mobile-phone-1;50;0.0;0.02;50;0.0
mobile-phone-3;50;0.0;0.0;50;0.0
monitor-1;50;0.0;0.04;50;0.0
mosque-1;50;0.0;0.0;50;0.22
monitor-2;50;0.0;0.18;50;0.08
monitor-3;50;0.0;0.1;50;0.06
moped-1;50;0.08;0.22;50;0.08
mug-1;50;0.02;0.78;50;0.02
moped-3;50;0.4;0.4;50;0.4
mug-3;50;0.0;0.06;50;0.0
mug-2;50;0.0;0.02;50;0.0
