value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;549;0.0;0.0;0;
bottle;300;0.056666666666666664;0.2866666666666667;300;0.26666666666666666
bag;150;0.12;0.35333333333333333;150;0.24
airplane;150;0.04666666666666667;0.25333333333333335;150;0.06
basket;150;0.21333333333333335;0.54;150;0.21333333333333335
bathtub;150;0.0;0.1;150;0.0
birdhouse;150;0.18;0.26666666666666666;150;0.18
bench;150;0.0;0.15333333333333332;150;0.0
bowl;150;0.0;0.5333333333333333;150;0.5
bookshelf;150;0.03333333333333333;0.11333333333333333;150;0.03333333333333333
bus;150;0.0;0.006666666666666667;150;0.0
cabinet;150;0.0;0.08;150;0.0
chair;150;0.4066666666666667;0.49333333333333335;150;0.4066666666666667
camera;150;0.006666666666666667;0.05333333333333334;150;0.006666666666666667
cap;150;0.0;0.1;150;0.0
car;150;0.04666666666666667;0.26666666666666666;150;0.4533333333333333
display;150;0.0;0.10666666666666667;150;0.04666666666666667
dishwasher;150;0.06666666666666667;0.16666666666666666;150;0.06666666666666667
flowerpot;150;0.0;0.05333333333333334;150;0.0
file cabinet;150;0.06666666666666667;0.12;150;0.06666666666666667
train;150;0.0;0.013333333333333334;150;0.0
washer;150;0.04666666666666667;0.1;150;0.04666666666666667
keyboard;150;0.05333333333333334;0.14666666666666667;150;0.05333333333333334
helmet;150;0.4533333333333333;0.7066666666666667;150;0.46
knife;150;0.0;0.0;150;0.0
loudspeaker;150;0.17333333333333334;0.31333333333333335;150;0.17333333333333334
laptop;150;0.10666666666666667;0.5266666666666666;150;0.48
lamp;150;0.43333333333333335;0.68;150;0.43333333333333335
microphone;150;0.0;0.006666666666666667;150;0.0
microwaves;150;0.0;0.05333333333333334;150;0.0
motorbike;150;0.19333333333333333;0.32666666666666666;150;0.22666666666666666
mailbox;150;0.006666666666666667;0.05333333333333334;150;0.006666666666666667
mug;150;0.006666666666666667;0.2866666666666667;150;0.006666666666666667
pistol;150;0.18;0.38666666666666666;150;0.18
pillow;150;0.08666666666666667;0.16;150;0.08666666666666667
piano;150;0.09333333333333334;0.21333333333333335;150;0.09333333333333334
tower;150;0.0;0.0;150;0.07333333333333333
telephone;150;0.0;0.013333333333333334;150;0.0
watercraft;150;0.0;0.006666666666666667;150;0.006666666666666667
rifle;150;0.13333333333333333;0.28;150;0.36
table;150;0.0;0.006666666666666667;150;0.0
stove;150;0.02;0.1;150;0.02
remote;149;0.10067114093959731;0.1342281879194631;149;0.10067114093959731
clock;149;0.0738255033557047;0.16778523489932887;149;0.18120805369127516
trash bin;149;0.0;0.2214765100671141;149;0.0
rocket;149;0.0;0.10067114093959731;149;0.04697986577181208
jar;149;0.0;0.006711409395973154;149;0.0
printer;149;0.040268456375838924;0.2080536912751678;149;0.040268456375838924
bed;100;0.0;0.0;100;0.01
earphone;50;0.0;0.0;50;0.0
guitar;50;0.34;0.4;50;0.34
sofa;50;0.3;0.56;50;0.3
