superclass;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
keyboard;150;;0.8466666666666667;0.9338235294117647;0.8466666666666667;0.8881118881118881;127;9;23
bowl;150;;0.9133333333333333;0.8106508875739645;0.9133333333333333;0.8589341692789968;137;32;13
helmet;150;;0.68;0.9444444444444444;0.68;0.7906976744186047;102;6;48
motorbike;150;;0.7466666666666667;0.8296296296296296;0.7466666666666667;0.7859649122807018;112;23;38
laptop;150;;0.74;0.8283582089552238;0.74;0.7816901408450704;111;23;39
bench;150;;0.64;1.0;0.64;0.7804878048780487;96;0;54
chair;150;;0.8266666666666667;0.7251461988304093;0.8266666666666667;0.7725856697819314;124;47;26
birdhouse;150;;0.6266666666666667;0.9894736842105263;0.6266666666666667;0.7673469387755103;94;1;56
basket;150;;0.72;0.7941176470588235;0.72;0.7552447552447551;108;28;42
lamp;150;;0.68;0.8095238095238095;0.68;0.7391304347826089;102;24;48
car;150;;0.7666666666666667;0.6927710843373494;0.7666666666666667;0.7278481012658228;115;51;35
guitar;50;;0.56;1.0;0.56;0.717948717948718;28;0;22
pillow;150;;0.56;1.0;0.56;0.717948717948718;84;0;66
watercraft;150;;0.6333333333333333;0.811965811965812;0.6333333333333333;0.7116104868913857;95;22;55
piano;150;;0.7466666666666667;0.6549707602339181;0.7466666666666667;0.6978193146417445;112;59;38
airplane;150;;0.58;0.8130841121495327;0.58;0.6770428015564202;87;20;63
cap;150;;0.6333333333333333;0.7037037037037037;0.6333333333333333;0.6666666666666667;95;40;55
rifle;150;;0.5133333333333333;0.8850574712643678;0.5133333333333333;0.6497890295358649;77;10;73
rocket;149;;0.5906040268456376;0.6666666666666666;0.5906040268456376;0.6263345195729538;88;44;61
pistol;150;;0.4;1.0;0.4;0.5714285714285715;60;0;90
table;150;;0.37333333333333335;0.8;0.37333333333333335;0.5090909090909091;56;14;94
mailbox;150;;0.54;0.4550561797752809;0.54;0.49390243902439024;81;97;69
stove;150;;0.29333333333333333;0.88;0.29333333333333333;0.44;44;6;106
tower;150;;0.26666666666666666;0.975609756097561;0.26666666666666666;0.418848167539267;40;1;110
microphone;150;;0.2733333333333333;0.7884615384615384;0.2733333333333333;0.4059405940594059;41;11;109
trash bin;149;;0.7315436241610739;0.2780612244897959;0.7315436241610739;0.4029574861367837;109;283;40
bag;150;;0.26666666666666666;0.7272727272727273;0.26666666666666666;0.3902439024390244;40;15;110
bathtub;150;;0.24;0.8780487804878049;0.24;0.37696335078534027;36;5;114
bottle;300;;0.2733333333333333;0.6029411764705882;0.2733333333333333;0.3761467889908257;82;54;218
train;150;;0.22666666666666666;1.0;0.22666666666666666;0.3695652173913044;34;0;116
sofa;50;;0.22;0.7333333333333333;0.22;0.3384615384615385;11;4;39
clock;149;;0.2550335570469799;0.4634146341463415;0.2550335570469799;0.329004329004329;38;44;111
washer;150;;0.2;0.6976744186046512;0.2;0.310880829015544;30;13;120
knife;150;;0.18;0.9310344827586207;0.18;0.30167597765363124;27;2;123
bed;100;;0.16;0.9411764705882353;0.16;0.27350427350427353;16;1;84
file cabinet;150;;0.16666666666666666;0.6410256410256411;0.16666666666666666;0.2645502645502646;25;14;125
bookshelf;150;;0.16;0.7272727272727273;0.16;0.2622950819672131;24;9;126
printer;149;;0.1476510067114094;0.7586206896551724;0.1476510067114094;0.24719101123595508;22;7;127
flowerpot;150;;0.09333333333333334;1.0;0.09333333333333334;0.17073170731707318;14;0;136
dishwasher;150;;0.12666666666666668;0.24050632911392406;0.12666666666666668;0.165938864628821;19;60;131
camera;150;;0.09333333333333334;0.7;0.09333333333333334;0.16470588235294115;14;6;136
telephone;150;;0.08666666666666667;0.4642857142857143;0.08666666666666667;0.14606741573033707;13;15;137
loudspeaker;150;;0.10666666666666667;0.2077922077922078;0.10666666666666667;0.14096916299559473;16;61;134
bus;150;;0.07333333333333333;0.9166666666666666;0.07333333333333333;0.1358024691358025;11;1;139
remote;149;;0.0738255033557047;0.6111111111111112;0.0738255033557047;0.1317365269461078;11;7;138
microwaves;150;;0.06666666666666667;0.5555555555555556;0.06666666666666667;0.11904761904761904;10;8;140
jar;149;;0.03355704697986577;0.21739130434782608;0.03355704697986577;0.058139534883720936;5;18;144
mug;150;;0.013333333333333334;1.0;0.013333333333333334;0.02631578947368421;2;0;148
display;150;;0.006666666666666667;0.2;0.006666666666666667;0.012903225806451615;1;4;149
cabinet;150;;0.0;0.0;0.0;0.0;0;23;150
earphone;50;;0.0;0.0;0.0;0.0;0;1;50
