superclass;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
motorbike;150;;1.0;0.9036144578313253;1.0;0.9493670886075949;150;16;0
bowl;150;;0.9333333333333333;0.8860759493670886;0.9333333333333333;0.9090909090909091;140;18;10
helmet;150;;0.76;0.8702290076335878;0.76;0.8113879003558718;114;17;36
keyboard;150;;0.68;0.9902912621359223;0.68;0.8063241106719368;102;1;48
chair;150;;0.8066666666666666;0.7076023391812866;0.8066666666666666;0.7538940809968847;121;50;29
piano;150;;0.7;0.8076923076923077;0.7;0.75;105;25;45
lamp;150;;0.6066666666666667;0.8272727272727273;0.6066666666666667;0.7;91;19;59
car;150;;0.7266666666666667;0.6566265060240963;0.7266666666666667;0.6898734177215189;109;57;41
cap;150;;0.54;0.8901098901098901;0.54;0.6721991701244814;81;10;69
bench;150;;0.5;1.0;0.5;0.6666666666666666;75;0;75
guitar;50;;0.44;1.0;0.44;0.6111111111111112;22;0;28
basket;150;;0.5066666666666667;0.7450980392156863;0.5066666666666667;0.6031746031746031;76;26;74
rifle;150;;0.44666666666666666;0.8481012658227848;0.44666666666666666;0.5851528384279475;67;12;83
watercraft;150;;0.4066666666666667;0.9682539682539683;0.4066666666666667;0.5727699530516432;61;2;89
pistol;150;;0.4;1.0;0.4;0.5714285714285715;60;0;90
rocket;149;;0.5771812080536913;0.5584415584415584;0.5771812080536913;0.5676567656765676;86;68;63
laptop;150;;0.7466666666666667;0.45161290322580644;0.7466666666666667;0.5628140703517588;112;136;38
pillow;150;;0.38666666666666666;1.0;0.38666666666666666;0.5576923076923077;58;0;92
birdhouse;150;;0.36;1.0;0.36;0.5294117647058824;54;0;96
trash bin;149;;0.7046979865771812;0.375;0.7046979865771812;0.48951048951048953;105;175;44
table;150;;0.32666666666666666;0.8166666666666667;0.32666666666666666;0.4666666666666667;49;11;101
microphone;150;;0.2866666666666667;1.0;0.2866666666666667;0.4455958549222798;43;0;107
airplane;150;;0.30666666666666664;0.7076923076923077;0.30666666666666664;0.427906976744186;46;19;104
bag;150;;0.3;0.6818181818181818;0.3;0.4166666666666667;45;21;105
bottle;300;;0.30666666666666664;0.5935483870967742;0.30666666666666664;0.4043956043956044;92;63;208
tower;150;;0.24666666666666667;1.0;0.24666666666666667;0.39572192513368987;37;0;113
printer;149;;0.2348993288590604;0.8536585365853658;0.2348993288590604;0.368421052631579;35;6;114
stove;150;;0.22666666666666666;0.918918918918919;0.22666666666666666;0.36363636363636365;34;3;116
mailbox;150;;0.3333333333333333;0.3597122302158273;0.3333333333333333;0.34602076124567477;50;89;100
sofa;50;;0.22;0.6470588235294118;0.22;0.3283582089552239;11;6;39
bed;100;;0.19;1.0;0.19;0.319327731092437;19;0;81
washer;150;;0.24666666666666667;0.4157303370786517;0.24666666666666667;0.30962343096234307;37;52;113
clock;149;;0.2684563758389262;0.36363636363636365;0.2684563758389262;0.30888030888030893;40;70;109
file cabinet;150;;0.18666666666666668;0.5384615384615384;0.18666666666666668;0.27722772277227725;28;24;122
knife;150;;0.16;0.96;0.16;0.2742857142857143;24;1;126
bookshelf;150;;0.15333333333333332;1.0;0.15333333333333332;0.2658959537572254;23;0;127
train;150;;0.15333333333333332;1.0;0.15333333333333332;0.2658959537572254;23;0;127
bus;150;;0.14666666666666667;0.7096774193548387;0.14666666666666667;0.2430939226519337;22;9;128
camera;150;;0.15333333333333332;0.575;0.15333333333333332;0.24210526315789474;23;17;127
bathtub;150;;0.09333333333333334;0.9333333333333333;0.09333333333333334;0.1696969696969697;14;1;136
earphone;50;;0.08;0.5714285714285714;0.08;0.14035087719298248;4;3;46
loudspeaker;150;;0.10666666666666667;0.19753086419753085;0.10666666666666667;0.13852813852813853;16;65;134
jar;149;;0.1342281879194631;0.13986013986013987;0.1342281879194631;0.13698630136986303;20;123;129
remote;149;;0.0738255033557047;0.8461538461538461;0.0738255033557047;0.13580246913580246;11;2;138
telephone;150;;0.07333333333333333;0.22916666666666666;0.07333333333333333;0.11111111111111112;11;37;139
mug;150;;0.03333333333333333;0.625;0.03333333333333333;0.06329113924050632;5;3;145
microwaves;150;;0.03333333333333333;0.3125;0.03333333333333333;0.060240963855421686;5;11;145
dishwasher;150;;0.02666666666666667;0.12121212121212122;0.02666666666666667;0.04371584699453552;4;29;146
display;150;;0.006666666666666667;0.013513513513513514;0.006666666666666667;0.00892857142857143;1;73;149
cabinet;150;;0.0;0.0;0.0;0.0;0;15;150
flowerpot;150;;0.0;0.0;0.0;0.0;0;0;150
