class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
668;mosque;50;;0.8;1.0;0.8;0.888888888888889;40;0;10
508;computer keyboard, keypad;150;;0.7666666666666667;0.9274193548387096;0.7666666666666667;0.8394160583941607;115;9;35
861;toilet seat;50;;0.94;0.7230769230769231;0.94;0.8173913043478259;47;18;3
907;wine bottle;50;;0.76;0.8837209302325582;0.76;0.8172043010752689;38;5;12
895;warplane, military plane;50;;1.0;0.6756756756756757;1.0;0.8064516129032258;50;24;0
703;park bench;150;;0.6733333333333333;0.9901960784313726;0.6733333333333333;0.8015873015873016;101;1;49
620;laptop, laptop computer;150;;0.7133333333333334;0.8770491803278688;0.7133333333333334;0.7867647058823529;107;15;43
657;missile;99;;0.8585858585858586;0.7024793388429752;0.8585858585858586;0.7727272727272727;85;36;14
721;pillow;150;;0.5533333333333333;1.0;0.5533333333333333;0.7124463519313305;83;0;67
448;birdhouse;150;;0.62;0.8230088495575221;0.62;0.7072243346007604;93;20;57
898;water bottle;50;;0.8;0.5970149253731343;0.8;0.6837606837606838;40;27;10
560;football helmet;50;;0.5;1.0;0.5;0.6666666666666666;25;0;25
820;steam locomotive;50;;0.48;1.0;0.48;0.6486486486486487;24;0;26
435;bathtub, bathing tub, bath, tub;150;;0.4866666666666667;0.9358974358974359;0.4866666666666667;0.6403508771929826;73;5;77
518;crash helmet;100;;0.61;0.648936170212766;0.61;0.6288659793814433;61;33;39
665;moped;150;;0.4533333333333333;0.9855072463768116;0.4533333333333333;0.6210045662100456;68;1;82
404;airliner;100;;0.42;1.0;0.42;0.5915492957746479;42;0;58
763;revolver, six-gun, six-shooter;150;;0.42;1.0;0.42;0.5915492957746479;63;0;87
814;speedboat;50;;0.66;0.532258064516129;0.66;0.5892857142857142;33;29;17
846;table lamp;150;;0.41333333333333333;0.9841269841269841;0.41333333333333333;0.5821596244131455;62;1;88
519;crate;50;;0.4;0.9523809523809523;0.4;0.5633802816901408;20;1;30
413;assault rifle, assault gun;50;;0.58;0.5178571428571429;0.58;0.5471698113207547;29;27;21
790;shopping basket;100;;0.46;0.5974025974025974;0.46;0.5197740112994351;46;31;54
504;coffee mug;150;;0.3466666666666667;0.8813559322033898;0.3466666666666667;0.49760765550239244;52;7;98
414;backpack, back pack, knapsack, packsack, rucksack, haversack;100;;0.32;1.0;0.32;0.48484848484848486;32;0;68
412;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;149;;0.6644295302013423;0.3344594594594595;0.6644295302013423;0.4449438202247192;99;197;50
827;stove;150;;0.3;0.8333333333333334;0.3;0.4411764705882353;45;9;105
650;microphone, mike;150;;0.3333333333333333;0.5952380952380952;0.3333333333333333;0.42735042735042733;50;34;100
659;mixing bowl;50;;0.74;0.27007299270072993;0.74;0.39572192513368987;37;100;13
637;mailbox, letter box;150;;0.58;0.2939189189189189;0.58;0.390134529147982;87;209;63
453;bookcase;150;;0.24;1.0;0.24;0.3870967741935484;36;0;114
881;upright, upright piano;100;;0.27;0.6585365853658537;0.27;0.3829787234042553;27;14;73
466;bullet train, bullet;50;;0.22;0.9166666666666666;0.22;0.3548387096774193;11;1;39
579;grand piano, grand;50;;0.84;0.22105263157894736;0.84;0.35000000000000003;42;148;8
764;rifle;100;;0.2;1.0;0.2;0.33333333333333337;20;0;80
759;reflex camera;150;;0.19333333333333333;1.0;0.19333333333333333;0.3240223463687151;29;0;121
892;wall clock;99;;0.18181818181818182;0.9473684210526315;0.18181818181818182;0.3050847457627119;18;1;81
559;folding chair;100;;0.23;0.42592592592592593;0.23;0.29870129870129875;23;31;77
897;washer, automatic washer, washing machine;150;;0.19333333333333333;0.6170212765957447;0.19333333333333333;0.29441624365482233;29;18;121
553;file, file cabinet, filing cabinet;150;;0.18666666666666668;0.6222222222222222;0.18666666666666668;0.2871794871794872;28;17;122
742;printer;149;;0.174496644295302;0.7428571428571429;0.174496644295302;0.2826086956521739;26;9;123
409;analog clock;50;;0.2;0.45454545454545453;0.2;0.2777777777777778;10;12;40
817;sports car, sport car;50;;0.22;0.19298245614035087;0.22;0.205607476635514;11;46;39
738;pot, flowerpot;150;;0.11333333333333333;1.0;0.11333333333333333;0.20359281437125748;17;0;133
632;loudspeaker, speaker, speaker unit, loudspeaker system, speaker system;150;;0.12;0.4;0.12;0.18461538461538463;18;27;132
831;studio couch, day bed;50;;0.22;0.125;0.22;0.15942028985507248;11;77;39
761;remote control, remote;149;;0.0738255033557047;0.9166666666666666;0.0738255033557047;0.13664596273291924;11;1;138
564;four-poster;100;;0.07;0.875;0.07;0.12962962962962962;7;1;93
623;letter opener, paper knife, paperknife;150;;0.06;0.8181818181818182;0.06;0.11180124223602485;9;2;141
900;water tower;50;;0.06;0.5;0.06;0.10714285714285712;3;3;47
628;liner, ocean liner;50;;0.04;1.0;0.04;0.07692307692307693;2;0;48
720;pill bottle;50;;0.02;0.3333333333333333;0.02;0.03773584905660377;1;2;49
515;cowboy hat, ten-gallon hat;150;;0.013333333333333334;1.0;0.013333333333333334;0.02631578947368421;2;0;148
651;microwave, microwave oven;150;;0.013333333333333334;0.5;0.013333333333333334;0.025974025974025976;2;2;148
487;cellular telephone, cellular phone, cellphone, cell, mobile phone;150;;0.006666666666666667;1.0;0.006666666666666667;0.013245033112582783;1;0;149
737;pop bottle, soda bottle;150;;0.006666666666666667;1.0;0.006666666666666667;0.013245033112582783;1;0;149
534;dishwasher, dish washer, dishwashing machine;150;;0.006666666666666667;0.038461538461538464;0.006666666666666667;0.011363636363636366;1;25;149
402;acoustic guitar;50;;0.0;0.0;0.0;0.0;0;0;50
0;tench, Tinca tinca;549;;0.0;0.0;0.0;0.0;0;0;549
605;iPod;50;;0.0;0.0;0.0;0.0;0;0;50
664;monitor;150;;0.0;0.0;0.0;0.0;0;8;150
547;electric locomotive;50;;0.0;0.0;0.0;0.0;0;0;50
495;china cabinet, china closet;150;;0.0;0.0;0.0;0.0;0;0;150
532;dining table, board;150;;0.0;0.0;0.0;0.0;0;0;150
627;limousine, limo;50;;0.0;0.0;0.0;0.0;0;0;50
682;obelisk;50;;0.0;0.0;0.0;0.0;0;0;50
812;space shuttle;50;;0.0;0.0;0.0;0.0;0;0;50
779;school bus;150;;0.0;0.0;0.0;0.0;0;0;150
751;racer, race car, racing car;50;;0.0;0.0;0.0;0.0;0;5;50
728;plastic bag;50;;0.0;0.0;0.0;0.0;0;7;50
809;soup bowl;100;;0.0;0.0;0.0;0.0;0;0;100
883;vase;149;;0.0;0.0;0.0;0.0;0;2;149
914;yawl;50;;0.0;0.0;0.0;0.0;0;0;50
