value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
acoustic-guitar-1;50;0.0;0.52;50;0.54
analog-clock-1;50;0.2;0.22;50;0.2
assault-rifle-1;50;0.58;0.62;50;0.58
backpack-1;50;0.6;0.6;50;0.6
backpack-2;50;0.04;0.24;50;0.2
bathtub-1;50;0.36;0.98;50;0.36
bathtub-2;50;0.76;0.96;50;0.76
bathtub-3;50;0.34;1.0;50;0.34
bed-1;50;0.12;0.8;50;0.12
bed-2;50;0.02;0.44;50;0.58
bench-1;50;0.82;0.98;50;0.82
bench-2;50;0.22;0.58;50;0.22
bench-3;50;0.98;1.0;50;0.98
birdhouse-1;50;0.58;0.7;50;0.58
birdhouse-2;50;0.74;0.8;50;0.74
birdhouse-3;50;0.54;0.84;50;0.54
bookshelf-1;50;0.14;0.18;50;0.14
bookshelf-2;50;0.4;0.4;50;0.4
bookshelf-3;50;0.18;0.2;50;0.18
bullet-train-1;50;0.22;0.42;50;0.22
bus-1;50;0.0;0.04;50;0.0
bus-2;50;0.0;0.4;50;0.22
bus-3;50;0.0;0.04;50;0.02
can-1;50;0.0;0.0;50;0.0
can-2;50;0.02;0.08;50;0.04
can-3;50;0.0;0.0;50;0.0
china-cabinet-1;50;0.0;0.02;50;0.0
china-cabinet-2;50;0.0;0.0;50;0.0
china-cabinet-3;50;0.0;0.0;50;0.0
computer-keyboard-1;50;0.78;1.0;50;0.78
computer-keyboard-2;50;0.56;1.0;50;0.56
computer-keyboard-3;50;0.96;1.0;50;0.96
cowboy-hat-1;50;0.0;0.82;50;0.0
cowboy-hat-2;50;0.04;0.58;50;0.04
cowboy-hat-3;50;0.0;0.8;50;0.0
crash-helmet-1;50;0.64;0.78;50;0.64
crash-helmet-2;50;0.58;0.8;50;0.58
crate-1;50;0.4;0.58;50;0.4
day-bed-1;50;0.22;0.24;50;0.22
dining-table-1;50;0.0;0.8;50;0.0
dining-table-2;50;0.0;0.0;50;0.02
dining-table-3;50;0.0;0.16;50;0.0
dishwasher-1;50;0.0;0.16;50;0.0
dishwasher-2;50;0.02;0.26;50;0.02
dishwasher-3;50;0.0;0.26;50;0.0
earphone-2;50;0.0;0.0;0;
electric-locomotive-1;50;0.0;0.38;50;0.0
faucet-1;50;0.0;0.0;0;
flowerpot-2;50;0.02;0.68;50;0.02
faucet-2;50;0.0;0.0;0;
faucet-3;50;0.0;0.0;0;
fighter-jet;50;1.0;1.0;50;1.0
file-cabinet-1;50;0.2;0.2;50;0.2
file-cabinet-2;50;0.16;0.3;50;0.16
file-cabinet-3;50;0.2;0.24;50;0.2
flowerpot-1;50;0.0;0.38;50;0.0
football-helmet-1;50;0.5;0.76;50;0.84
flowerpot-3;50;0.32;0.94;50;0.32
folding-chair-1;50;0.14;0.74;50;0.98
folding-chair-2;50;0.32;0.62;50;0.32
iPod-1;50;0.0;0.0;50;0.0
grand-piano-1;50;0.84;0.88;50;0.84
knife-1;50;0.0;0.1;50;0.0
knife-2;50;0.02;0.58;50;0.46
microwave-2;50;0.0;0.04;50;0.0
knife-3;50;0.16;0.3;50;0.18
laptop-1;50;0.92;1.0;50;0.92
laptop-2;50;0.62;0.74;50;0.62
laptop-3;50;0.6;0.78;50;0.6
limousine-1;50;0.0;0.4;50;0.76
loudspeaker-1;50;0.06;0.2;50;0.06
loudspeaker-2;50;0.3;0.4;50;0.3
loudspeaker-3;50;0.0;0.0;50;0.0
mailbox-1;50;0.72;0.8;50;0.72
mailbox-2;50;0.34;0.58;50;0.34
mailbox-3;50;0.68;0.78;50;0.68
microphone-1;50;0.04;0.2;50;0.04
microphone-2;50;0.16;0.36;50;0.16
microphone-3;50;0.8;0.84;50;0.8
microwave-1;50;0.04;0.2;50;0.04
moped-2;50;0.32;1.0;50;1.0
microwave-3;50;0.0;0.12;50;0.0
missile-2;50;0.8;1.0;50;0.8
mixing-bowl-1;50;0.74;0.98;50;0.74
mobile-phone-2;50;0.02;0.24;50;0.02
mobile-phone-1;50;0.0;0.0;50;0.0
mobile-phone-3;50;0.0;0.0;50;0.28
monitor-1;50;0.0;0.48;50;0.0
mosque-1;50;0.8;0.8;50;0.8
monitor-2;50;0.0;0.52;50;0.0
monitor-3;50;0.0;0.8;50;0.0
moped-1;50;0.56;0.98;50;0.62
mug-1;50;0.84;0.98;50;0.84
moped-3;50;0.48;1.0;50;0.58
mug-3;50;0.2;0.54;50;0.2
mug-2;50;0.0;0.1;50;0.0
trash-can-2;50;0.78;0.8;50;0.78
upright-piano-1;50;0.34;1.0;50;0.94
obelisk-1;50;0.0;0.0;50;0.02
ocean-liner-1;50;0.04;0.06;50;0.48
old-plane;50;0.0;0.0;50;0.2
pas-plane;50;0.84;1.0;50;1.0
pill-bottle-1;50;0.02;0.04;50;0.14
pillow-1;50;0.66;0.9;50;0.66
pillow-2;50;0.22;0.48;50;0.22
pillow-3;50;0.78;1.0;50;0.78
plastic-bag-1;50;0.0;0.0;50;0.0
