superclass;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
motorbike;150;;0.9133333333333333;0.9194630872483222;0.9133333333333333;0.9163879598662208;137;12;13
chair;150;;0.7333333333333333;0.8333333333333334;0.7333333333333333;0.7801418439716311;110;22;40
bathtub;150;;0.72;0.84375;0.72;0.776978417266187;108;20;42
keyboard;150;;0.6266666666666667;0.9690721649484536;0.6266666666666667;0.7611336032388665;94;3;56
helmet;150;;0.6;0.9782608695652174;0.6;0.743801652892562;90;2;60
rocket;149;;0.697986577181208;0.7536231884057971;0.697986577181208;0.7247386759581881;104;34;45
basket;150;;0.7133333333333334;0.7181208053691275;0.7133333333333334;0.7157190635451505;107;42;43
bench;150;;0.6066666666666667;0.8666666666666667;0.6066666666666667;0.7137254901960784;91;14;59
watercraft;150;;0.5866666666666667;0.8461538461538461;0.5866666666666667;0.6929133858267718;88;16;62
piano;150;;0.6866666666666666;0.6776315789473685;0.6866666666666666;0.6821192052980133;103;49;47
car;150;;0.64;0.7272727272727273;0.64;0.6808510638297872;96;36;54
lamp;150;;0.5133333333333333;1.0;0.5133333333333333;0.6784140969162996;77;0;73
bowl;150;;0.47333333333333333;0.9861111111111112;0.47333333333333333;0.6396396396396395;71;1;79
airplane;150;;0.6533333333333333;0.6125;0.6533333333333333;0.632258064516129;98;62;52
laptop;150;;0.8266666666666667;0.496;0.8266666666666667;0.62;124;126;26
mug;150;;0.43333333333333335;0.9420289855072463;0.43333333333333335;0.593607305936073;65;4;85
guitar;50;;0.4;1.0;0.4;0.5714285714285715;20;0;30
birdhouse;150;;0.38;1.0;0.38;0.5507246376811594;57;0;93
pillow;150;;0.37333333333333335;1.0;0.37333333333333335;0.5436893203883496;56;0;94
rifle;150;;0.42;0.75;0.42;0.5384615384615385;63;21;87
table;150;;0.41333333333333333;0.6666666666666666;0.41333333333333333;0.5102880658436214;62;31;88
trash bin;149;;0.7986577181208053;0.3695652173913043;0.7986577181208053;0.5053078556263269;119;203;30
bag;150;;0.4266666666666667;0.6095238095238096;0.4266666666666667;0.5019607843137255;64;41;86
jar;149;;0.5234899328859061;0.45348837209302323;0.5234899328859061;0.48598130841121495;78;94;71
bottle;300;;0.35;0.7777777777777778;0.35;0.48275862068965514;105;30;195
microphone;150;;0.3466666666666667;0.65;0.3466666666666667;0.4521739130434783;52;28;98
pistol;150;;0.2733333333333333;1.0;0.2733333333333333;0.42931937172774864;41;0;109
display;150;;0.28;0.711864406779661;0.28;0.40191387559808617;42;17;108
stove;150;;0.26666666666666666;0.7547169811320755;0.26666666666666666;0.39408866995073893;40;13;110
mailbox;150;;0.31333333333333335;0.5;0.31333333333333335;0.3852459016393443;47;47;103
washer;150;;0.22;0.6111111111111112;0.22;0.3235294117647059;33;21;117
clock;149;;0.26174496644295303;0.3786407766990291;0.26174496644295303;0.30952380952380953;39;64;110
camera;150;;0.17333333333333334;0.9285714285714286;0.17333333333333334;0.29213483146067415;26;2;124
knife;150;;0.14666666666666667;1.0;0.14666666666666667;0.2558139534883721;22;0;128
printer;149;;0.1476510067114094;0.7857142857142857;0.1476510067114094;0.24858757062146894;22;6;127
bed;100;;0.13;1.0;0.13;0.23008849557522126;13;0;87
loudspeaker;150;;0.14666666666666667;0.4489795918367347;0.14666666666666667;0.22110552763819097;22;27;128
dishwasher;150;;0.12;0.6666666666666666;0.12;0.20338983050847456;18;9;132
sofa;50;;0.2;0.19607843137254902;0.2;0.198019801980198;10;41;40
remote;149;;0.12080536912751678;0.4864864864864865;0.12080536912751678;0.1935483870967742;18;19;131
train;150;;0.06666666666666667;1.0;0.06666666666666667;0.125;10;0;140
file cabinet;150;;0.06;1.0;0.06;0.11320754716981131;9;0;141
earphone;50;;0.06;0.6;0.06;0.1090909090909091;3;2;47
bookshelf;150;;0.05333333333333334;1.0;0.05333333333333334;0.10126582278481014;8;0;142
cap;150;;0.06;0.2727272727272727;0.06;0.09836065573770492;9;24;141
bus;150;;0.04666666666666667;1.0;0.04666666666666667;0.089171974522293;7;0;143
telephone;150;;0.03333333333333333;0.2777777777777778;0.03333333333333333;0.05952380952380952;5;13;145
tower;150;;0.02666666666666667;1.0;0.02666666666666667;0.05194805194805195;4;0;146
microwaves;150;;0.02;0.2;0.02;0.03636363636363636;3;12;147
flowerpot;150;;0.013333333333333334;1.0;0.013333333333333334;0.02631578947368421;2;0;148
cabinet;150;;0.0;0.0;0.0;0.0;0;0;150
