class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
668;mosque;50;;0.8;1.0;0.8;0.888888888888889;40;0;10
508;computer keyboard, keypad;150;;0.8466666666666667;0.9338235294117647;0.8466666666666667;0.8881118881118881;127;9;23
703;park bench;150;;0.8266666666666667;0.8985507246376812;0.8266666666666667;0.8611111111111112;124;14;26
721;pillow;150;;0.7333333333333333;1.0;0.7333333333333333;0.846153846153846;110;0;40
790;shopping basket;100;;0.89;0.8018018018018018;0.89;0.8436018957345972;89;22;11
820;steam locomotive;50;;0.7;1.0;0.7;0.8235294117647058;35;0;15
861;toilet seat;50;;0.8;0.8333333333333334;0.8;0.816326530612245;40;8;10
846;table lamp;150;;0.6866666666666666;1.0;0.6866666666666666;0.8142292490118578;103;0;47
560;football helmet;50;;0.68;1.0;0.68;0.8095238095238095;34;0;16
515;cowboy hat, ten-gallon hat;150;;0.6466666666666666;1.0;0.6466666666666666;0.7854251012145749;97;0;53
448;birdhouse;150;;0.56;1.0;0.56;0.717948717948718;84;0;66
881;upright, upright piano;100;;0.52;0.9454545454545454;0.52;0.6709677419354839;52;3;48
883;vase;149;;0.5100671140939598;0.8636363636363636;0.5100671140939598;0.6413502109704642;76;12;73
579;grand piano, grand;50;;0.84;0.5060240963855421;0.84;0.631578947368421;42;41;8
895;warplane, military plane;50;;0.72;0.5625;0.72;0.631578947368421;36;28;14
814;speedboat;50;;0.46;1.0;0.46;0.6301369863013699;23;0;27
402;acoustic guitar;50;;0.44;1.0;0.44;0.6111111111111112;22;0;28
519;crate;50;;0.6;0.6;0.6;0.6;30;20;20
620;laptop, laptop computer;150;;0.44;0.88;0.44;0.5866666666666667;66;9;84
466;bullet train, bullet;50;;0.42;0.9545454545454546;0.42;0.5833333333333334;21;1;29
763;revolver, six-gun, six-shooter;150;;0.4;1.0;0.4;0.5714285714285715;60;0;90
637;mailbox, letter box;150;;0.64;0.5026178010471204;0.64;0.563049853372434;96;95;54
414;backpack, back pack, knapsack, packsack, rucksack, haversack;100;;0.42;0.84;0.42;0.5599999999999999;42;8;58
435;bathtub, bathing tub, bath, tub;150;;0.42;0.7777777777777778;0.42;0.5454545454545454;63;18;87
907;wine bottle;50;;0.4;0.8333333333333334;0.4;0.5405405405405406;20;4;30
898;water bottle;50;;0.8;0.3883495145631068;0.8;0.5228758169934641;40;63;10
518;crash helmet;100;;0.66;0.4230769230769231;0.66;0.515625;66;90;34
404;airliner;100;;0.33;1.0;0.33;0.49624060150375937;33;0;67
827;stove;150;;0.38;0.7125;0.38;0.49565217391304345;57;23;93
413;assault rifle, assault gun;50;;0.96;0.3137254901960784;0.96;0.4729064039408867;48;105;2
897;washer, automatic washer, washing machine;150;;0.3;0.9;0.3;0.45000000000000007;45;5;105
650;microphone, mike;150;;0.2866666666666667;0.8775510204081632;0.2866666666666667;0.43216080402010043;43;6;107
412;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;149;;0.7986577181208053;0.29238329238329236;0.7986577181208053;0.4280575539568345;119;288;30
742;printer;149;;0.2751677852348993;0.8723404255319149;0.2751677852348993;0.41836734693877553;41;6;108
627;limousine, limo;50;;0.26;0.9285714285714286;0.26;0.40625;13;1;37
564;four-poster;100;;0.25;1.0;0.25;0.4;25;0;75
547;electric locomotive;50;;0.22;1.0;0.22;0.36065573770491804;11;0;39
809;soup bowl;100;;0.28;0.4375;0.28;0.34146341463414637;28;36;72
665;moped;150;;0.19333333333333333;1.0;0.19333333333333333;0.3240223463687151;29;0;121
453;bookcase;150;;0.19333333333333333;0.6444444444444445;0.19333333333333333;0.29743589743589743;29;16;121
657;missile;99;;0.5757575757575758;0.19791666666666666;0.5757575757575758;0.29457364341085274;57;231;42
534;dishwasher, dish washer, dishwashing machine;150;;0.22666666666666666;0.3238095238095238;0.22666666666666666;0.26666666666666666;34;71;116
759;reflex camera;150;;0.15333333333333332;1.0;0.15333333333333332;0.2658959537572254;23;0;127
632;loudspeaker, speaker, speaker unit, loudspeaker system, speaker system;150;;0.24;0.28346456692913385;0.24;0.25992779783393505;36;91;114
623;letter opener, paper knife, paperknife;150;;0.14666666666666667;1.0;0.14666666666666667;0.2558139534883721;22;0;128
553;file, file cabinet, filing cabinet;150;;0.15333333333333332;0.6764705882352942;0.15333333333333332;0.25;23;11;127
761;remote control, remote;149;;0.14093959731543623;0.39622641509433965;0.14093959731543623;0.2079207920792079;21;32;128
831;studio couch, day bed;50;;0.3;0.15463917525773196;0.3;0.20408163265306123;15;82;35
738;pot, flowerpot;150;;0.1;1.0;0.1;0.18181818181818182;15;0;135
892;wall clock;99;;0.09090909090909091;1.0;0.09090909090909091;0.16666666666666669;9;0;90
504;coffee mug;150;;0.08;0.6666666666666666;0.08;0.14285714285714285;12;6;138
659;mixing bowl;50;;0.18;0.1111111111111111;0.18;0.13740458015267173;9;72;41
817;sports car, sport car;50;;0.14;0.12962962962962962;0.14;0.1346153846153846;7;47;43
409;analog clock;50;;0.2;0.08130081300813008;0.2;0.11560693641618498;10;113;40
651;microwave, microwave oven;150;;0.05333333333333334;0.6153846153846154;0.05333333333333334;0.098159509202454;8;5;142
559;folding chair;100;;0.06;0.17142857142857143;0.06;0.08888888888888888;6;29;94
628;liner, ocean liner;50;;0.02;1.0;0.02;0.0392156862745098;1;0;49
764;rifle;100;;0.01;0.14285714285714285;0.01;0.018691588785046728;1;6;99
487;cellular telephone, cellular phone, cellphone, cell, mobile phone;150;;0.006666666666666667;1.0;0.006666666666666667;0.013245033112582783;1;0;149
737;pop bottle, soda bottle;150;;0.006666666666666667;0.029411764705882353;0.006666666666666667;0.010869565217391306;1;33;149
0;tench, Tinca tinca;549;;0.0;0.0;0.0;0.0;0;0;549
495;china cabinet, china closet;150;;0.0;0.0;0.0;0.0;0;0;150
664;monitor;150;;0.0;0.0;0.0;0.0;0;4;150
605;iPod;50;;0.0;0.0;0.0;0.0;0;2;50
532;dining table, board;150;;0.0;0.0;0.0;0.0;0;0;150
682;obelisk;50;;0.0;0.0;0.0;0.0;0;0;50
812;space shuttle;50;;0.0;0.0;0.0;0.0;0;9;50
728;plastic bag;50;;0.0;0.0;0.0;0.0;0;1;50
751;racer, race car, racing car;50;;0.0;0.0;0.0;0.0;0;5;50
720;pill bottle;50;;0.0;0.0;0.0;0.0;0;6;50
779;school bus;150;;0.0;0.0;0.0;0.0;0;0;150
900;water tower;50;;0.0;0.0;0.0;0.0;0;0;50
914;yawl;50;;0.0;0.0;0.0;0.0;0;0;50
