value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
M_Tri_Plastic1_Black;800;0.3125;0.525;745;0.4348993288590604
M_Tri_Plastic1_Cyan;800;0.30625;0.515;745;0.44563758389261743
M_Tri_Plastic1_Yellow;800;0.3025;0.5175;745;0.44161073825503355
M_Tri_Plastic1_Green;800;0.29875;0.5175;745;0.43355704697986575
M_Tri_Plastic1_Grey;799;0.311639549436796;0.5043804755944932;744;0.43951612903225806
M_Tri_Plastic1_Blue;799;0.30037546933667086;0.5118898623279099;744;0.4381720430107527
M_Tri_Plastic1_Red;799;0.31789737171464333;0.5219023779724656;744;0.45564516129032256
M_Tri_Plastic1_Pink;798;0.31453634085213034;0.5275689223057645;743;0.458950201884253
M_Tri_Plastic1_White;798;0.29699248120300753;0.5075187969924813;744;0.4260752688172043
Default;160;0.48125;0.70625;149;0.6442953020134228
