value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;549;0.0;0.0;0;
bottle;300;0.20333333333333334;0.4633333333333333;300;0.45
bag;150;0.28;0.56;150;0.38666666666666666
airplane;150;0.46;0.6666666666666666;150;0.64
basket;150;0.7933333333333333;0.94;150;0.8066666666666666
bathtub;150;0.42;1.0;150;0.42
birdhouse;150;0.56;0.72;150;0.56
bench;150;0.8266666666666667;0.86;150;0.8266666666666667
bowl;150;0.24666666666666667;0.6866666666666666;150;0.8666666666666667
bookshelf;150;0.19333333333333333;0.26;150;0.19333333333333333
bus;150;0.0;0.08666666666666667;150;0.12666666666666668
cabinet;150;0.0;0.0;150;0.0
chair;150;0.30666666666666664;0.6733333333333333;150;0.86
camera;150;0.15333333333333332;0.46;150;0.21333333333333335
cap;150;0.6466666666666666;0.8;150;0.6466666666666666
car;150;0.13333333333333333;0.86;150;0.8333333333333334
display;150;0.0;0.12;150;0.006666666666666667
dishwasher;150;0.22666666666666666;0.6;150;0.22666666666666666
flowerpot;150;0.1;0.62;150;0.1
file cabinet;150;0.15333333333333332;0.2733333333333333;150;0.15333333333333332
train;150;0.44666666666666666;0.6;150;0.4533333333333333
washer;150;0.3;0.35333333333333333;150;0.3
keyboard;150;0.8466666666666667;0.9533333333333334;150;0.8466666666666667
helmet;150;0.6666666666666666;0.76;150;0.6666666666666666
knife;150;0.14666666666666667;0.6266666666666667;150;0.36666666666666664
loudspeaker;150;0.24;0.30666666666666664;150;0.24
laptop;150;0.44;0.8333333333333334;150;0.74
lamp;150;0.6866666666666666;0.8666666666666667;150;0.6866666666666666
microphone;150;0.2866666666666667;0.46;150;0.2866666666666667
microwaves;150;0.05333333333333334;0.15333333333333332;150;0.05333333333333334
motorbike;150;0.19333333333333333;0.7266666666666667;150;0.4266666666666667
mailbox;150;0.64;0.6733333333333333;150;0.64
mug;150;0.08;0.4666666666666667;150;0.08
pistol;150;0.4;0.44;150;0.4
pillow;150;0.7333333333333333;0.9866666666666667;150;0.7333333333333333
piano;150;0.6266666666666667;0.8066666666666666;150;0.76
tower;150;0.26666666666666666;0.4066666666666667;150;0.26666666666666666
telephone;150;0.006666666666666667;0.10666666666666667;150;0.06666666666666667
watercraft;150;0.16;0.36666666666666664;150;0.76
rifle;150;0.32666666666666666;0.8266666666666667;150;0.8066666666666666
table;150;0.0;0.32666666666666666;150;0.16
stove;150;0.38;0.56;150;0.38
remote;149;0.14093959731543623;0.21476510067114093;149;0.14093959731543623
clock;149;0.12751677852348994;0.3691275167785235;149;0.33557046979865773
trash bin;149;0.7986577181208053;0.8053691275167785;149;0.7986577181208053
rocket;149;0.3825503355704698;0.6644295302013423;149;0.7114093959731543
jar;149;0.5100671140939598;0.5973154362416108;149;0.5100671140939598
printer;149;0.2751677852348993;0.4429530201342282;149;0.2751677852348993
bed;100;0.25;0.79;100;0.3
earphone;50;0.0;0.24;50;0.0
guitar;50;0.44;0.6;50;0.6
sofa;50;0.3;0.44;50;0.3
