superclass;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
keyboard;150;;0.8066666666666666;0.9029850746268657;0.8066666666666666;0.852112676056338;121;13;29
airplane;150;;0.7466666666666667;0.9739130434782609;0.7466666666666667;0.8452830188679246;112;3;38
bowl;150;;0.6933333333333334;1.0;0.6933333333333334;0.8188976377952756;104;0;46
bench;150;;0.6933333333333334;1.0;0.6933333333333334;0.8188976377952756;104;0;46
piano;150;;0.7266666666666667;0.923728813559322;0.7266666666666667;0.8134328358208954;109;9;41
lamp;150;;0.74;0.8951612903225806;0.74;0.8102189781021897;111;13;39
watercraft;150;;0.7266666666666667;0.8515625;0.7266666666666667;0.7841726618705036;109;19;41
rifle;150;;0.7933333333333333;0.74375;0.7933333333333333;0.7677419354838709;119;41;31
motorbike;150;;0.6133333333333333;1.0;0.6133333333333333;0.7603305785123966;92;0;58
chair;150;;0.8;0.7228915662650602;0.8;0.759493670886076;120;46;30
car;150;;0.8666666666666667;0.6735751295336787;0.8666666666666667;0.7580174927113703;130;63;20
cap;150;;0.56;0.865979381443299;0.56;0.6801619433198381;84;13;66
basket;150;;0.5733333333333334;0.8269230769230769;0.5733333333333334;0.6771653543307086;86;18;64
helmet;150;;0.6066666666666667;0.7583333333333333;0.6066666666666667;0.674074074074074;91;29;59
guitar;50;;0.5;1.0;0.5;0.6666666666666666;25;0;25
rocket;149;;0.8120805369127517;0.5260869565217391;0.8120805369127517;0.6385224274406331;121;109;28
birdhouse;150;;0.44666666666666666;1.0;0.44666666666666666;0.6175115207373272;67;0;83
bed;100;;0.44;0.9777777777777777;0.44;0.6068965517241379;44;1;56
train;150;;0.4066666666666667;1.0;0.4066666666666667;0.5781990521327014;61;0;89
pistol;150;;0.4;1.0;0.4;0.5714285714285715;60;0;90
bottle;300;;0.44666666666666666;0.788235294117647;0.44666666666666666;0.5702127659574469;134;36;166
knife;150;;0.42;0.8076923076923077;0.42;0.5526315789473685;63;15;87
bathtub;150;;0.4066666666666667;0.8591549295774648;0.4066666666666667;0.5520361990950226;61;10;89
laptop;150;;0.8266666666666667;0.4119601328903654;0.8266666666666667;0.5498891352549888;124;177;26
trash bin;149;;0.7919463087248322;0.41114982578397213;0.7919463087248322;0.5412844036697249;118;169;31
table;150;;0.36666666666666664;0.9322033898305084;0.36666666666666664;0.5263157894736842;55;4;95
pillow;150;;0.32;1.0;0.32;0.48484848484848486;48;0;102
jar;149;;0.5100671140939598;0.4393063583815029;0.5100671140939598;0.4720496894409938;76;97;73
stove;150;;0.3;0.9782608695652174;0.3;0.4591836734693877;45;1;105
microphone;150;;0.34;0.6986301369863014;0.34;0.45739910313901355;51;22;99
mailbox;150;;0.38;0.57;0.38;0.456;57;43;93
camera;150;;0.30666666666666664;0.7931034482758621;0.30666666666666664;0.4423076923076923;46;12;104
bag;150;;0.31333333333333335;0.7230769230769231;0.31333333333333335;0.43720930232558136;47;18;103
tower;150;;0.26666666666666666;1.0;0.26666666666666666;0.4210526315789474;40;0;110
sofa;50;;0.34;0.4473684210526316;0.34;0.38636363636363635;17;21;33
loudspeaker;150;;0.26;0.52;0.26;0.3466666666666667;39;36;111
clock;149;;0.38926174496644295;0.30526315789473685;0.38926174496644295;0.3421828908554573;58;132;91
printer;149;;0.19463087248322147;0.8285714285714286;0.19463087248322147;0.31521739130434784;29;6;120
washer;150;;0.32666666666666666;0.28823529411764703;0.32666666666666666;0.30624999999999997;49;121;101
bookshelf;150;;0.17333333333333334;0.9285714285714286;0.17333333333333334;0.29213483146067415;26;2;124
file cabinet;150;;0.2;0.42857142857142855;0.2;0.27272727272727276;30;40;120
mug;150;;0.14;0.7777777777777778;0.14;0.23728813559322035;21;6;129
remote;149;;0.12751677852348994;0.6129032258064516;0.12751677852348994;0.21111111111111114;19;12;130
bus;150;;0.08666666666666667;1.0;0.08666666666666667;0.15950920245398773;13;0;137
dishwasher;150;;0.06666666666666667;0.16393442622950818;0.06666666666666667;0.09478672985781988;10;51;140
display;150;;0.09333333333333334;0.06965174129353234;0.09333333333333334;0.07977207977207978;14;187;136
microwaves;150;;0.02666666666666667;0.5;0.02666666666666667;0.05063291139240507;4;4;146
telephone;150;;0.02;0.17647058823529413;0.02;0.03592814371257485;3;14;147
cabinet;150;;0.006666666666666667;0.07692307692307693;0.006666666666666667;0.01226993865030675;1;12;149
flowerpot;150;;0.0;0.0;0.0;0.0;0;0;150
earphone;50;;0.0;0.0;0.0;0.0;0;5;50
