value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;549;0.0;0.0;0;
bottle;300;0.25666666666666665;0.47;300;0.5233333333333333
bag;150;0.34;0.5733333333333334;150;0.52
airplane;150;0.5866666666666667;0.6733333333333333;150;0.6
basket;150;0.3;0.8933333333333333;150;0.64
bathtub;150;0.6;1.0;150;0.6
birdhouse;150;0.49333333333333335;0.7;150;0.49333333333333335
bench;150;0.7066666666666667;0.7933333333333333;150;0.7066666666666667
bowl;150;0.28;0.6933333333333334;150;0.4
bookshelf;150;0.09333333333333334;0.25333333333333335;150;0.09333333333333334
bus;150;0.0;0.04;150;0.03333333333333333
cabinet;150;0.0;0.0;150;0.0
chair;150;0.25333333333333335;0.43333333333333335;150;0.6933333333333334
camera;150;0.24;0.34;150;0.24
cap;150;0.28;0.62;150;0.28
car;150;0.46;0.8266666666666667;150;0.8333333333333334
display;150;0.26666666666666666;0.8;150;0.30666666666666664
dishwasher;150;0.4266666666666667;0.8;150;0.4266666666666667
flowerpot;150;0.0;0.2866666666666667;150;0.0
file cabinet;150;0.05333333333333334;0.1;150;0.05333333333333334
train;150;0.2866666666666667;0.47333333333333333;150;0.2866666666666667
washer;150;0.26;0.46;150;0.26
keyboard;150;0.84;1.0;150;0.84
helmet;150;0.6;0.76;150;0.6266666666666667
knife;150;0.1;0.37333333333333335;150;0.10666666666666667
loudspeaker;150;0.20666666666666667;0.29333333333333333;150;0.20666666666666667
laptop;150;0.08;0.8533333333333334;150;0.7866666666666666
lamp;150;0.42;0.84;150;0.42
microphone;150;0.38;0.64;150;0.38
microwaves;150;0.06666666666666667;0.14;150;0.06666666666666667
motorbike;150;0.66;0.88;150;0.7066666666666667
mailbox;150;0.42;0.5066666666666667;150;0.42
mug;150;0.29333333333333333;0.84;150;0.29333333333333333
pistol;150;0.4266666666666667;0.6133333333333333;150;0.4266666666666667
pillow;150;0.47333333333333333;0.9;150;0.47333333333333333
piano;150;0.72;0.7733333333333333;150;0.76
tower;150;0.26;0.26666666666666666;150;0.26666666666666666
telephone;150;0.02;0.21333333333333335;150;0.03333333333333333
watercraft;150;0.24;0.4266666666666667;150;0.62
rifle;150;0.37333333333333335;0.8133333333333334;150;0.7466666666666667
table;150;0.42;0.54;150;0.5333333333333333
stove;150;0.3;0.5066666666666667;150;0.3
remote;149;0.18791946308724833;0.348993288590604;149;0.18791946308724833
clock;149;0.0738255033557047;0.28859060402684567;149;0.2751677852348993
trash bin;149;0.785234899328859;0.7986577181208053;149;0.785234899328859
rocket;149;0.0;0.6577181208053692;149;0.8187919463087249
jar;149;0.5704697986577181;0.912751677852349;149;0.5704697986577181
printer;149;0.1610738255033557;0.28187919463087246;149;0.1610738255033557
bed;100;0.0;0.41;100;0.21
earphone;50;0.16;0.32;50;0.16
guitar;50;0.58;0.6;50;0.58
sofa;50;0.42;0.46;50;0.42
