class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
560;football helmet;50;;0.68;0.7906976744186046;0.68;0.7311827956989247;34;9;16
861;toilet seat;50;;0.62;0.7948717948717948;0.62;0.6966292134831461;31;8;19
907;wine bottle;50;;0.52;0.9629629629629629;0.52;0.6753246753246753;26;1;24
579;grand piano, grand;50;;0.82;0.5616438356164384;0.82;0.6666666666666667;41;32;9
668;mosque;50;;0.78;0.5735294117647058;0.78;0.6610169491525424;39;29;11
518;crash helmet;100;;0.65;0.6074766355140186;0.65;0.6280193236714975;65;42;35
620;laptop, laptop computer;150;;0.4666666666666667;0.8433734939759037;0.4666666666666667;0.6008583690987125;70;13;80
898;water bottle;50;;0.66;0.5238095238095238;0.66;0.584070796460177;33;30;17
508;computer keyboard, keypad;150;;0.4066666666666667;1.0;0.4066666666666667;0.5781990521327014;61;0;89
846;table lamp;150;;0.4066666666666667;0.953125;0.4066666666666667;0.5700934579439253;61;3;89
657;missile;99;;0.6060606060606061;0.4838709677419355;0.6060606060606061;0.5381165919282512;60;64;39
665;moped;150;;0.36666666666666664;1.0;0.36666666666666664;0.5365853658536585;55;0;95
820;steam locomotive;50;;0.34;1.0;0.34;0.5074626865671642;17;0;33
414;backpack, back pack, knapsack, packsack, rucksack, haversack;100;;0.35;0.875;0.35;0.4999999999999999;35;5;65
448;birdhouse;150;;0.2866666666666667;1.0;0.2866666666666667;0.4455958549222798;43;0;107
763;revolver, six-gun, six-shooter;150;;0.2733333333333333;1.0;0.2733333333333333;0.42931937172774864;41;0;109
790;shopping basket;100;;0.29;0.7837837837837838;0.29;0.4233576642335766;29;8;71
404;airliner;100;;0.26;0.7878787878787878;0.26;0.39097744360902253;26;7;74
659;mixing bowl;50;;0.7;0.26515151515151514;0.7;0.3846153846153846;35;97;15
413;assault rifle, assault gun;50;;0.4;0.3389830508474576;0.4;0.3669724770642202;20;39;30
402;acoustic guitar;50;;0.22;1.0;0.22;0.36065573770491804;11;0;39
764;rifle;100;;0.22;0.9166666666666666;0.22;0.3548387096774193;22;2;78
703;park bench;150;;0.24;0.6545454545454545;0.24;0.35121951219512193;36;19;114
883;vase;149;;0.28187919463087246;0.45652173913043476;0.28187919463087246;0.34854771784232363;42;50;107
650;microphone, mike;150;;0.22666666666666666;0.6938775510204082;0.22666666666666666;0.3417085427135678;34;15;116
559;folding chair;100;;0.35;0.3333333333333333;0.35;0.3414634146341463;35;70;65
814;speedboat;50;;0.2;1.0;0.2;0.33333333333333337;10;0;40
412;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;149;;0.5234899328859061;0.2184873949579832;0.5234899328859061;0.308300395256917;78;279;71
759;reflex camera;150;;0.17333333333333334;1.0;0.17333333333333334;0.29545454545454547;26;0;124
515;cowboy hat, ten-gallon hat;150;;0.16;1.0;0.16;0.2758620689655173;24;0;126
751;racer, race car, racing car;50;;0.16;1.0;0.16;0.2758620689655173;8;0;42
742;printer;149;;0.24161073825503357;0.28346456692913385;0.24161073825503357;0.2608695652173913;36;91;113
435;bathtub, bathing tub, bath, tub;150;;0.14;0.8076923076923077;0.14;0.23863636363636365;21;5;129
721;pillow;150;;0.13333333333333333;1.0;0.13333333333333333;0.23529411764705882;20;0;130
892;wall clock;99;;0.15151515151515152;0.46875;0.15151515151515152;0.22900763358778628;15;17;84
623;letter opener, paper knife, paperknife;150;;0.12;0.9473684210526315;0.12;0.21301775147928992;18;1;132
779;school bus;150;;0.11333333333333333;1.0;0.11333333333333333;0.20359281437125748;17;0;133
532;dining table, board;150;;0.11333333333333333;0.8947368421052632;0.11333333333333333;0.2011834319526627;17;2;133
881;upright, upright piano;100;;0.11;1.0;0.11;0.19819819819819817;11;0;89
895;warplane, military plane;50;;0.2;0.1694915254237288;0.2;0.1834862385321101;10;49;40
817;sports car, sport car;50;;0.1;0.7142857142857143;0.1;0.1754385964912281;5;2;45
897;washer, automatic washer, washing machine;150;;0.10666666666666667;0.4444444444444444;0.10666666666666667;0.17204301075268816;16;20;134
632;loudspeaker, speaker, speaker unit, loudspeaker system, speaker system;150;;0.18;0.1377551020408163;0.18;0.1560693641618497;27;169;123
831;studio couch, day bed;50;;0.2;0.12658227848101267;0.2;0.15503875968992248;10;69;40
637;mailbox, letter box;150;;0.09333333333333334;0.3783783783783784;0.09333333333333334;0.1497326203208556;14;23;136
553;file, file cabinet, filing cabinet;150;;0.08;0.6;0.08;0.14117647058823532;12;8;138
738;pot, flowerpot;150;;0.05333333333333334;1.0;0.05333333333333334;0.10126582278481014;8;0;142
761;remote control, remote;149;;0.053691275167785234;0.34782608695652173;0.053691275167785234;0.09302325581395349;8;15;141
628;liner, ocean liner;50;;0.04;1.0;0.04;0.07692307692307693;2;0;48
627;limousine, limo;50;;0.04;1.0;0.04;0.07692307692307693;2;0;48
504;coffee mug;150;;0.03333333333333333;0.25;0.03333333333333333;0.058823529411764705;5;15;145
534;dishwasher, dish washer, dishwashing machine;150;;0.03333333333333333;0.23809523809523808;0.03333333333333333;0.058479532163742694;5;16;145
827;stove;150;;0.02666666666666667;1.0;0.02666666666666667;0.05194805194805195;4;0;146
728;plastic bag;50;;0.02;1.0;0.02;0.0392156862745098;1;0;49
720;pill bottle;50;;0.02;1.0;0.02;0.0392156862745098;1;0;49
737;pop bottle, soda bottle;150;;0.013333333333333334;0.06451612903225806;0.013333333333333334;0.022099447513812154;2;29;148
809;soup bowl;100;;0.01;1.0;0.01;0.019801980198019802;1;0;99
812;space shuttle;50;;0.02;0.01818181818181818;0.02;0.01904761904761905;1;54;49
409;analog clock;50;;0.02;0.0136986301369863;0.02;0.016260162601626015;1;72;49
453;bookcase;150;;0.006666666666666667;1.0;0.006666666666666667;0.013245033112582783;1;0;149
651;microwave, microwave oven;150;;0.006666666666666667;0.1;0.006666666666666667;0.0125;1;9;149
0;tench, Tinca tinca;549;;0.0;0.0;0.0;0.0;0;0;549
