value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
acoustic-guitar-1;50;0.22;0.26;50;0.22
analog-clock-1;50;0.02;0.22;50;0.22
assault-rifle-1;50;0.4;0.58;50;0.4
backpack-1;50;0.6;0.66;50;0.6
backpack-2;50;0.1;0.42;50;0.2
bathtub-1;50;0.18;0.76;50;0.18
bathtub-2;50;0.08;0.76;50;0.08
bathtub-3;50;0.16;0.76;50;0.16
bed-1;50;0.0;0.08;50;0.02
bed-2;50;0.0;0.1;50;0.36
bench-1;50;0.28;0.92;50;0.28
bench-2;50;0.0;0.1;50;0.0
bench-3;50;0.44;0.8;50;0.44
birdhouse-1;50;0.2;0.48;50;0.2
birdhouse-2;50;0.38;0.42;50;0.38
birdhouse-3;50;0.28;0.3;50;0.28
bookshelf-1;50;0.02;0.1;50;0.02
bookshelf-2;50;0.0;0.0;50;0.0
bookshelf-3;50;0.0;0.16;50;0.0
bullet-train-1;50;0.0;0.3;50;0.0
bus-1;50;0.08;0.42;50;0.08
bus-2;50;0.22;0.42;50;0.22
bus-3;50;0.04;0.34;50;0.04
can-1;50;0.0;0.0;50;0.0
can-2;50;0.04;0.08;50;0.04
can-3;50;0.0;0.04;50;0.06
china-cabinet-1;50;0.0;0.0;50;0.0
china-cabinet-2;50;0.0;0.0;50;0.0
china-cabinet-3;50;0.0;0.0;50;0.0
computer-keyboard-1;50;0.12;0.22;50;0.12
computer-keyboard-2;50;0.14;0.36;50;0.14
computer-keyboard-3;50;0.96;0.96;50;0.96
cowboy-hat-1;50;0.38;0.58;50;0.38
cowboy-hat-2;50;0.0;0.24;50;0.0
cowboy-hat-3;50;0.1;0.48;50;0.1
crash-helmet-1;50;0.62;0.7;50;0.64
crash-helmet-2;50;0.68;0.78;50;0.78
crate-1;50;0.0;0.06;50;0.0
day-bed-1;50;0.2;0.24;50;0.2
dining-table-1;50;0.0;0.8;50;0.0
dining-table-2;50;0.02;0.08;50;0.06
dining-table-3;50;0.32;0.8;50;0.8
dishwasher-1;50;0.06;0.36;50;0.06
dishwasher-2;50;0.02;0.18;50;0.02
dishwasher-3;50;0.02;0.2;50;0.02
earphone-2;50;0.0;0.0;0;
electric-locomotive-1;50;0.0;0.14;50;0.04
faucet-1;50;0.0;0.0;0;
flowerpot-2;50;0.04;0.66;50;0.04
faucet-2;50;0.0;0.0;0;
faucet-3;50;0.0;0.0;0;
fighter-jet;50;0.2;1.0;50;0.2
file-cabinet-1;50;0.02;0.12;50;0.02
file-cabinet-2;50;0.02;0.14;50;0.02
file-cabinet-3;50;0.2;0.2;50;0.2
flowerpot-1;50;0.1;0.8;50;0.1
football-helmet-1;50;0.68;0.82;50;0.74
flowerpot-3;50;0.02;0.14;50;0.02
folding-chair-1;50;0.1;0.84;50;0.84
folding-chair-2;50;0.6;0.62;50;0.6
iPod-1;50;0.0;0.0;50;0.0
grand-piano-1;50;0.82;0.82;50;0.82
