superclass;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
motorbike;150;;0.7266666666666667;0.923728813559322;0.7266666666666667;0.8134328358208954;109;9;41
helmet;150;;0.72;0.9310344827586207;0.72;0.8120300751879699;108;8;42
keyboard;150;;0.54;0.9642857142857143;0.54;0.6923076923076923;81;3;69
car;150;;0.7;0.6140350877192983;0.7;0.6542056074766356;105;66;45
airplane;150;;0.7333333333333333;0.582010582010582;0.7333333333333333;0.6489675516224188;110;79;40
chair;150;;0.66;0.61875;0.66;0.6387096774193549;99;61;51
guitar;50;;0.46;1.0;0.46;0.6301369863013699;23;0;27
piano;150;;0.5133333333333333;0.7549019607843137;0.5133333333333333;0.6111111111111112;77;25;73
table;150;;0.5466666666666666;0.6721311475409836;0.5466666666666666;0.6029411764705882;82;40;68
watercraft;150;;0.5066666666666667;0.672566371681416;0.5066666666666667;0.5779467680608366;76;37;74
laptop;150;;0.66;0.4852941176470588;0.66;0.5593220338983051;99;105;51
rifle;150;;0.4066666666666667;0.7261904761904762;0.4066666666666667;0.5213675213675214;61;23;89
bench;150;;0.5066666666666667;0.5314685314685315;0.5066666666666667;0.5187713310580205;76;67;74
rocket;149;;0.5503355704697986;0.4685714285714286;0.5503355704697986;0.5061728395061729;82;93;67
tower;150;;0.3466666666666667;0.9122807017543859;0.3466666666666667;0.5024154589371981;52;5;98
mailbox;150;;0.4666666666666667;0.5343511450381679;0.4666666666666667;0.4982206405693951;70;61;80
jar;149;;0.5436241610738255;0.38388625592417064;0.5436241610738255;0.45;81;130;68
bottle;300;;0.3;0.7258064516129032;0.3;0.4245283018867924;90;34;210
lamp;150;;0.25333333333333335;0.9743589743589743;0.25333333333333335;0.40211640211640215;38;1;112
pistol;150;;0.24;1.0;0.24;0.3870967741935484;36;0;114
birdhouse;150;;0.23333333333333334;1.0;0.23333333333333334;0.37837837837837834;35;0;115
bag;150;;0.24666666666666667;0.7708333333333334;0.24666666666666667;0.37373737373737376;37;11;113
trash bin;149;;0.7986577181208053;0.241869918699187;0.7986577181208053;0.3712948517940718;119;373;30
basket;150;;0.24666666666666667;0.6727272727272727;0.24666666666666667;0.36097560975609755;37;18;113
bed;100;;0.21;0.9545454545454546;0.21;0.34426229508196726;21;1;79
washer;150;;0.18666666666666668;0.9032258064516129;0.18666666666666668;0.3093922651933702;28;3;122
camera;150;;0.21333333333333335;0.5423728813559322;0.21333333333333335;0.30622009569377995;32;27;118
clock;149;;0.21476510067114093;0.5333333333333333;0.21476510067114093;0.3062200956937799;32;28;117
mug;150;;0.18666666666666668;0.7;0.18666666666666668;0.29473684210526313;28;12;122
file cabinet;150;;0.18666666666666668;0.509090909090909;0.18666666666666668;0.2731707317073171;28;27;122
display;150;;0.18666666666666668;0.4375;0.18666666666666668;0.26168224299065423;28;36;122
sofa;50;;0.2;0.37037037037037035;0.2;0.2597402597402597;10;17;40
pillow;150;;0.14666666666666667;1.0;0.14666666666666667;0.2558139534883721;22;0;128
microphone;150;;0.13333333333333333;0.9090909090909091;0.13333333333333333;0.2325581395348837;20;2;130
knife;150;;0.09333333333333334;0.9333333333333333;0.09333333333333334;0.1696969696969697;14;1;136
remote;149;;0.09395973154362416;0.5185185185185185;0.09395973154362416;0.1590909090909091;14;13;135
dishwasher;150;;0.09333333333333334;0.3333333333333333;0.09333333333333334;0.14583333333333334;14;28;136
printer;149;;0.06040268456375839;0.3103448275862069;0.06040268456375839;0.10112359550561799;9;20;140
train;150;;0.03333333333333333;1.0;0.03333333333333333;0.06451612903225806;5;0;145
bus;150;;0.03333333333333333;1.0;0.03333333333333333;0.06451612903225806;5;0;145
bookshelf;150;;0.03333333333333333;1.0;0.03333333333333333;0.06451612903225806;5;0;145
loudspeaker;150;;0.03333333333333333;0.8333333333333334;0.03333333333333333;0.06410256410256411;5;1;145
bathtub;150;;0.03333333333333333;0.45454545454545453;0.03333333333333333;0.062111801242236024;5;6;145
cap;150;;0.02666666666666667;0.8;0.02666666666666667;0.05161290322580646;4;1;146
stove;150;;0.02;0.6;0.02;0.03870967741935484;3;2;147
microwaves;150;;0.02;0.3333333333333333;0.02;0.03773584905660377;3;6;147
telephone;150;;0.006666666666666667;1.0;0.006666666666666667;0.013245033112582783;1;0;149
cabinet;150;;0.0;0.0;0.0;0.0;0;0;150
bowl;150;;0.0;0.0;0.0;0.0;0;0;150
flowerpot;150;;0.0;0.0;0.0;0.0;0;0;150
earphone;50;;0.0;0.0;0.0;0.0;0;10;50
