value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
acoustic-guitar-1;50;0.46;0.5;50;0.46
analog-clock-1;50;0.1;0.22;50;0.18
assault-rifle-1;50;0.4;0.46;50;0.42
backpack-1;50;0.6;0.8;50;0.6
backpack-2;50;0.14;0.32;50;0.14
bathtub-1;50;0.04;0.98;50;0.04
bathtub-2;50;0.04;0.98;50;0.04
bathtub-3;50;0.02;0.7;50;0.02
bed-1;50;0.0;0.0;50;0.02
bed-2;50;0.0;0.0;50;0.4
bench-1;50;0.8;0.94;50;0.8
bench-2;50;0.1;0.72;50;0.1
bench-3;50;0.62;0.9;50;0.62
birdhouse-1;50;0.08;0.32;50;0.08
birdhouse-2;50;0.38;0.5;50;0.38
birdhouse-3;50;0.24;0.42;50;0.24
bookshelf-1;50;0.02;0.1;50;0.02
bookshelf-2;50;0.0;0.0;50;0.0
bookshelf-3;50;0.08;0.2;50;0.08
bullet-train-1;50;0.0;0.08;50;0.0
bus-1;50;0.0;0.02;50;0.0
bus-2;50;0.08;0.32;50;0.1
bus-3;50;0.0;0.04;50;0.0
can-1;50;0.0;0.0;50;0.0
can-2;50;0.0;0.12;50;0.08
can-3;50;0.0;0.0;50;0.0
china-cabinet-1;50;0.0;0.0;50;0.0
china-cabinet-2;50;0.0;0.0;50;0.0
china-cabinet-3;50;0.0;0.0;50;0.0
computer-keyboard-1;50;0.38;0.9;50;0.38
computer-keyboard-2;50;0.36;0.64;50;0.36
computer-keyboard-3;50;0.88;0.96;50;0.88
cowboy-hat-1;50;0.06;0.66;50;0.08
cowboy-hat-2;50;0.0;0.0;50;0.0
cowboy-hat-3;50;0.0;0.18;50;0.0
crash-helmet-1;50;0.7;0.82;50;0.7
crash-helmet-2;50;0.56;0.84;50;0.76
crate-1;50;0.04;0.32;50;0.04
day-bed-1;50;0.2;0.22;50;0.2
dining-table-1;50;0.5;0.8;50;0.66
dining-table-2;50;0.0;0.14;50;0.24
dining-table-3;50;0.2;0.8;50;0.74
dishwasher-1;50;0.12;0.3;50;0.12
dishwasher-2;50;0.1;0.3;50;0.1
dishwasher-3;50;0.06;0.24;50;0.06
earphone-2;50;0.0;0.0;0;
electric-locomotive-1;50;0.0;0.18;50;0.06
faucet-1;50;0.0;0.0;0;
flowerpot-2;50;0.0;0.0;50;0.0
faucet-2;50;0.0;0.0;0;
faucet-3;50;0.0;0.0;0;
fighter-jet;50;0.92;1.0;50;0.92
file-cabinet-1;50;0.26;0.56;50;0.26
file-cabinet-2;50;0.1;0.46;50;0.1
file-cabinet-3;50;0.2;0.2;50;0.2
flowerpot-1;50;0.0;0.04;50;0.0
football-helmet-1;50;0.6;0.76;50;0.7
flowerpot-3;50;0.0;0.0;50;0.0
folding-chair-1;50;0.34;0.68;50;0.86
folding-chair-2;50;0.48;0.62;50;0.62
iPod-1;50;0.0;0.06;50;0.0
grand-piano-1;50;0.8;0.84;50;0.8
knife-1;50;0.0;0.02;50;0.0
knife-2;50;0.26;0.4;50;0.26
microwave-2;50;0.0;0.08;50;0.0
knife-3;50;0.02;0.12;50;0.02
laptop-1;50;0.04;0.84;50;0.68
laptop-2;50;0.06;0.8;50;0.64
laptop-3;50;0.02;0.62;50;0.66
limousine-1;50;0.4;0.5;50;0.74
loudspeaker-1;50;0.0;0.0;50;0.0
loudspeaker-2;50;0.1;0.2;50;0.1
loudspeaker-3;50;0.0;0.0;50;0.0
mailbox-1;50;0.66;0.78;50;0.66
mailbox-2;50;0.32;0.72;50;0.32
mailbox-3;50;0.42;0.66;50;0.42
microphone-1;50;0.02;0.1;50;0.02
microphone-2;50;0.0;0.46;50;0.0
microphone-3;50;0.38;0.7;50;0.38
microwave-1;50;0.06;0.14;50;0.06
moped-2;50;0.06;0.8;50;0.8
microwave-3;50;0.0;0.0;50;0.0
missile-2;50;0.04;0.78;50;0.54
mixing-bowl-1;50;0.0;0.0;50;0.0
mobile-phone-2;50;0.02;0.02;50;0.02
mobile-phone-1;50;0.0;0.0;50;0.0
mobile-phone-3;50;0.0;0.0;50;0.0
monitor-1;50;0.22;0.3;50;0.22
mosque-1;50;0.1;0.74;50;0.52
monitor-2;50;0.18;0.2;50;0.18
monitor-3;50;0.1;0.3;50;0.16
moped-1;50;0.4;0.7;50;0.72
mug-1;50;0.46;0.92;50;0.46
moped-3;50;0.3;0.7;50;0.66
mug-3;50;0.1;0.78;50;0.1
mug-2;50;0.0;0.34;50;0.0
trash-can-2;50;0.8;0.8;50;0.8
upright-piano-1;50;0.24;0.48;50;0.28
obelisk-1;50;0.0;0.0;50;0.52
ocean-liner-1;50;0.0;0.04;50;0.26
old-plane;50;0.0;0.3;50;0.32
pas-plane;50;0.94;1.0;50;0.96
pill-bottle-1;50;0.0;0.42;50;0.12
pillow-1;50;0.28;0.58;50;0.28
pillow-2;50;0.02;0.28;50;0.02
pillow-3;50;0.14;0.4;50;0.14
plastic-bag-1;50;0.0;0.2;50;0.0
printer-1;50;0.04;0.4;50;0.04
printer-2;50;0.08;0.26;50;0.08
race-car-1;50;0.48;0.66;50;0.72
reflex-camera-1;50;0.1;0.24;50;0.1
reflex-camera-2;50;0.0;0.0;50;0.0
skateboard-1;50;0.0;0.0;0;
reflex-camera-3;50;0.54;0.8;50;0.54
remote-2;50;0.04;0.1;50;0.04
remote-3;50;0.04;0.06;50;0.04
revolver-2;50;0.4;0.46;50;0.4
revolver-1;50;0.14;0.4;50;0.14
revolver-3;50;0.18;0.4;50;0.18
rifle-1;50;0.4;0.44;50;0.4
skateboard-3;50;0.0;0.0;0;
rifle-2;50;0.34;0.4;50;0.4
shopping-basket-1;50;0.18;0.86;50;0.54
shopping-basket-2;50;0.16;0.9;50;0.16
sofa-1;50;0.0;0.0;0;
skateboard-2;50;0.0;0.0;0;
sofa-3;50;0.0;0.0;0;
sofa-2;50;0.0;0.0;0;
water-bottle-1;50;0.8;0.86;50;0.8
water-tower-1;50;0.0;0.0;50;0.0
soup-bowl-1;50;0.0;0.22;50;0.0
soup-bowl-2;50;0.0;0.68;50;0.0
space-shuttle-1;50;0.04;0.06;50;0.44
speedboat-1;50;0.5;0.66;50;0.5
sports-car-1;50;0.0;0.7;50;0.64
steam-locomotive-1;50;0.04;0.26;50;0.04
stove-1;50;0.0;0.04;50;0.0
stove-2;50;0.0;0.02;50;0.0
stove-3;50;0.06;0.58;50;0.06
table-lamp-1;50;0.44;0.8;50;0.44
table-lamp-2;50;0.04;0.48;50;0.04
table-lamp-3;50;0.28;0.78;50;0.28
toilet-seat-1;50;0.5;0.74;50;0.5
trash-can-1;50;0.8;0.8;50;0.8
yawl-1;50;0.0;0.0;50;0.76
washer-3;50;0.2;0.2;50;0.2
upright-piano-2;50;0.24;0.48;50;0.46
vase-2;50;0.8;0.96;50;0.8
vase-3;50;0.8;0.84;50;0.8
washer-2;50;0.2;0.2;50;0.2
washer-1;50;0.16;0.18;50;0.16
wall-clock-2;50;0.0;0.2;50;0.18
wine-bottle-1;50;0.32;0.8;50;0.8
earphone-1;49;0.0;0.0;0;
missile-1;49;0.0;0.7142857142857143;49;0.673469387755102
printer-3;49;0.061224489795918366;0.3673469387755102;49;0.061224489795918366
remote-1;49;0.20408163265306123;0.24489795918367346;49;0.20408163265306123
wall-clock-1;49;0.0;0.2857142857142857;49;0.2857142857142857
trash-can-3;49;0.7959183673469388;0.8163265306122449;49;0.7959183673469388
vase-1;49;0.02040816326530612;0.7755102040816326;49;0.02040816326530612
