value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
M_Tri_Plastic1_Black;800;0.08375;0.16625;745;0.13020134228187918
M_Tri_Plastic1_Cyan;800;0.08125;0.1725;745;0.1261744966442953
M_Tri_Plastic1_Yellow;800;0.085;0.16375;745;0.13154362416107382
M_Tri_Plastic1_Green;800;0.07875;0.16;745;0.13020134228187918
M_Tri_Plastic1_Grey;799;0.08385481852315395;0.1739674593241552;744;0.1303763440860215
M_Tri_Plastic1_Blue;799;0.07884856070087609;0.17271589486858574;744;0.1303763440860215
M_Tri_Plastic1_Red;799;0.07634543178973717;0.1639549436795995;744;0.125
M_Tri_Plastic1_Pink;798;0.07644110275689223;0.16290726817042606;743;0.12113055181695828
M_Tri_Plastic1_White;798;0.07518796992481203;0.16917293233082706;744;0.1196236559139785
Default;160;0.1;0.25;149;0.16778523489932887
