superclass;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
keyboard;150;;0.9266666666666666;0.9788732394366197;0.9266666666666666;0.952054794520548;139;3;11
pillow;150;;0.8933333333333333;0.9436619718309859;0.8933333333333333;0.9178082191780823;134;8;16
bench;150;;0.8133333333333334;1.0;0.8133333333333334;0.8970588235294117;122;0;28
helmet;150;;0.9333333333333333;0.8536585365853658;0.9333333333333333;0.8917197452229298;140;24;10
chair;150;;0.8733333333333333;0.8851351351351351;0.8733333333333333;0.8791946308724832;131;17;19
laptop;150;;0.9266666666666666;0.8224852071005917;0.9266666666666666;0.8714733542319748;139;30;11
bowl;150;;0.76;0.926829268292683;0.76;0.8351648351648352;114;9;36
piano;150;;0.7666666666666667;0.905511811023622;0.7666666666666667;0.8303249097472925;115;12;35
airplane;150;;0.7133333333333334;0.9907407407407407;0.7133333333333334;0.8294573643410852;107;1;43
lamp;150;;0.6666666666666666;0.9009009009009009;0.6666666666666666;0.7662835249042146;100;11;50
car;150;;0.86;0.6789473684210526;0.86;0.7588235294117647;129;61;21
guitar;50;;0.6;1.0;0.6;0.7499999999999999;30;0;20
train;150;;0.6266666666666667;0.9306930693069307;0.6266666666666667;0.749003984063745;94;7;56
bathtub;150;;0.6266666666666667;0.912621359223301;0.6266666666666667;0.7430830039525693;94;9;56
mailbox;150;;0.6266666666666667;0.8867924528301887;0.6266666666666667;0.734375;94;12;56
pistol;150;;0.5666666666666667;1.0;0.5666666666666667;0.7234042553191489;85;0;65
bag;150;;0.6466666666666666;0.7950819672131147;0.6466666666666666;0.7132352941176471;97;25;53
rifle;150;;0.7;0.7241379310344828;0.7;0.711864406779661;105;40;45
motorbike;150;;0.5533333333333333;0.9764705882352941;0.5533333333333333;0.7063829787234043;83;2;67
table;150;;0.58;0.8969072164948454;0.58;0.7044534412955465;87;10;63
cap;150;;0.6;0.8490566037735849;0.6;0.7031249999999999;90;16;60
watercraft;150;;0.5933333333333334;0.8557692307692307;0.5933333333333334;0.7007874015748031;89;15;61
birdhouse;150;;0.5466666666666666;0.9647058823529412;0.5466666666666666;0.6978723404255319;82;3;68
rocket;149;;0.8523489932885906;0.5746606334841629;0.8523489932885906;0.6864864864864865;127;94;22
bottle;300;;0.52;0.9397590361445783;0.52;0.6695278969957081;156;10;144
stove;150;;0.5;0.9259259259259259;0.5;0.6493506493506493;75;6;75
trash bin;149;;0.738255033557047;0.5789473684210527;0.738255033557047;0.6489675516224189;110;80;39
microphone;150;;0.47333333333333333;0.9342105263157895;0.47333333333333333;0.6283185840707964;71;5;79
knife;150;;0.44;0.9295774647887324;0.44;0.5972850678733032;66;5;84
bed;100;;0.42;0.9767441860465116;0.42;0.5874125874125874;42;1;58
basket;150;;0.5533333333333333;0.6014492753623188;0.5533333333333333;0.576388888888889;83;55;67
tower;150;;0.3466666666666667;0.9629629629629629;0.3466666666666667;0.5098039215686275;52;2;98
camera;150;;0.3333333333333333;1.0;0.3333333333333333;0.5;50;0;100
printer;149;;0.30201342281879195;0.7758620689655172;0.30201342281879195;0.4347826086956522;45;13;104
telephone;150;;0.29333333333333333;0.8301886792452831;0.29333333333333333;0.43349753694581283;44;9;106
jar;149;;0.38926174496644295;0.40559440559440557;0.38926174496644295;0.3972602739726028;58;85;91
sofa;50;;0.28;0.4666666666666667;0.28;0.35000000000000003;14;16;36
earphone;50;;0.2;0.7142857142857143;0.2;0.3125;10;4;40
washer;150;;0.18666666666666668;0.875;0.18666666666666668;0.30769230769230765;28;4;122
bookshelf;150;;0.18666666666666668;0.7567567567567568;0.18666666666666668;0.2994652406417112;28;9;122
dishwasher;150;;0.24666666666666667;0.3425925925925926;0.24666666666666667;0.2868217054263566;37;71;113
clock;149;;0.24161073825503357;0.3;0.24161073825503357;0.26765799256505574;36;84;113
loudspeaker;150;;0.18;0.48214285714285715;0.18;0.2621359223300971;27;29;123
remote;149;;0.12080536912751678;0.9;0.12080536912751678;0.21301775147928995;18;2;131
bus;150;;0.08;1.0;0.08;0.14814814814814814;12;0;138
microwaves;150;;0.08;0.9230769230769231;0.08;0.14723926380368096;12;1;138
file cabinet;150;;0.06666666666666667;0.7692307692307693;0.06666666666666667;0.1226993865030675;10;3;140
flowerpot;150;;0.05333333333333334;1.0;0.05333333333333334;0.10126582278481014;8;0;142
cabinet;150;;0.006666666666666667;0.3333333333333333;0.006666666666666667;0.013071895424836602;1;2;149
display;150;;0.006666666666666667;0.09090909090909091;0.006666666666666667;0.012422360248447206;1;10;149
mug;150;;0.0;0.0;0.0;0.0;0;0;150
