superclass;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
lamp;150;;0.6066666666666667;0.8921568627450981;0.6066666666666667;0.7222222222222222;91;11;59
bowl;150;;0.5266666666666666;0.9634146341463414;0.5266666666666666;0.6810344827586207;79;3;71
laptop;150;;0.6666666666666666;0.5988023952095808;0.6666666666666666;0.6309148264984227;100;67;50
helmet;150;;0.48;0.9113924050632911;0.48;0.62882096069869;72;7;78
birdhouse;150;;0.4266666666666667;0.8888888888888888;0.4266666666666667;0.5765765765765766;64;8;86
guitar;50;;0.38;1.0;0.38;0.5507246376811594;19;0;31
keyboard;150;;0.38;1.0;0.38;0.5507246376811594;57;0;93
chair;150;;0.56;0.5316455696202531;0.56;0.5454545454545455;84;74;66
piano;150;;0.38666666666666666;0.90625;0.38666666666666666;0.5420560747663551;58;6;92
pistol;150;;0.36666666666666664;1.0;0.36666666666666664;0.5365853658536585;55;0;95
rifle;150;;0.4;0.8108108108108109;0.4;0.5357142857142857;60;14;90
bench;150;;0.38666666666666666;0.6744186046511628;0.38666666666666666;0.4915254237288136;58;28;92
bathtub;150;;0.36;0.7714285714285715;0.36;0.49090909090909085;54;16;96
mug;150;;0.3333333333333333;0.819672131147541;0.3333333333333333;0.4739336492890995;50;11;100
bottle;300;;0.3433333333333333;0.6912751677852349;0.3433333333333333;0.45879732739420936;103;46;197
jar;149;;0.4161073825503356;0.5;0.4161073825503356;0.4542124542124542;62;62;87
motorbike;150;;0.28;1.0;0.28;0.43750000000000006;42;0;108
car;150;;0.3466666666666667;0.5909090909090909;0.3466666666666667;0.4369747899159664;52;36;98
microphone;150;;0.28;0.9545454545454546;0.28;0.43298969072164956;42;2;108
basket;150;;0.3333333333333333;0.5208333333333334;0.3333333333333333;0.40650406504065034;50;46;100
bag;150;;0.2733333333333333;0.7192982456140351;0.2733333333333333;0.3961352657004831;41;16;109
airplane;150;;0.8466666666666667;0.24564796905222436;0.8466666666666667;0.38080959520239877;127;390;23
table;150;;0.2733333333333333;0.5540540540540541;0.2733333333333333;0.36607142857142855;41;33;109
trash bin;149;;0.697986577181208;0.21711899791231734;0.697986577181208;0.3312101910828026;104;375;45
rocket;149;;0.26174496644295303;0.4105263157894737;0.26174496644295303;0.319672131147541;39;56;110
display;150;;0.19333333333333333;0.6904761904761905;0.19333333333333333;0.3020833333333333;29;13;121
pillow;150;;0.16666666666666666;1.0;0.16666666666666666;0.2857142857142857;25;0;125
washer;150;;0.16;0.7741935483870968;0.16;0.26519337016574585;24;7;126
mailbox;150;;0.21333333333333335;0.3368421052631579;0.21333333333333335;0.2612244897959184;32;63;118
loudspeaker;150;;0.2;0.3333333333333333;0.2;0.25;30;60;120
cap;150;;0.15333333333333332;0.5348837209302325;0.15333333333333332;0.23834196891191708;23;20;127
sofa;50;;0.26;0.203125;0.26;0.22807017543859648;13;51;37
clock;149;;0.1610738255033557;0.3157894736842105;0.1610738255033557;0.21333333333333332;24;52;125
flowerpot;150;;0.10666666666666667;1.0;0.10666666666666667;0.1927710843373494;16;0;134
bookshelf;150;;0.10666666666666667;0.8888888888888888;0.10666666666666667;0.19047619047619047;16;2;134
camera;150;;0.10666666666666667;0.8;0.10666666666666667;0.18823529411764706;16;4;134
stove;150;;0.10666666666666667;0.8;0.10666666666666667;0.18823529411764706;16;4;134
microwaves;150;;0.10666666666666667;0.6666666666666666;0.10666666666666667;0.1839080459770115;16;8;134
remote;149;;0.08053691275167785;0.8571428571428571;0.08053691275167785;0.14723926380368096;12;2;137
knife;150;;0.08;0.6;0.08;0.14117647058823532;12;8;138
file cabinet;150;;0.06666666666666667;0.5555555555555556;0.06666666666666667;0.11904761904761904;10;8;140
printer;149;;0.06711409395973154;0.2702702702702703;0.06711409395973154;0.1075268817204301;10;27;139
tower;150;;0.06;0.36;0.06;0.10285714285714286;9;16;141
dishwasher;150;;0.06;0.3333333333333333;0.06;0.10169491525423728;9;18;141
train;150;;0.02;1.0;0.02;0.0392156862745098;3;0;147
bed;100;;0.02;0.5;0.02;0.038461538461538464;2;2;98
watercraft;150;;0.02;0.5;0.02;0.038461538461538464;3;3;147
telephone;150;;0.006666666666666667;0.5;0.006666666666666667;0.013157894736842105;1;1;149
bus;150;;0.0;0.0;0.0;0.0;0;0;150
cabinet;150;;0.0;0.0;0.0;0.0;0;2;150
earphone;50;;0.0;0.0;0.0;0.0;0;18;50
