value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
M_Tri_Plastic1_Black;800;0.23875;0.34375;745;0.3046979865771812
M_Tri_Plastic1_Cyan;800;0.1875;0.315;745;0.24966442953020135
M_Tri_Plastic1_Yellow;800;0.1875;0.31625;745;0.24697986577181208
M_Tri_Plastic1_Green;800;0.16375;0.2925;745;0.22684563758389262
M_Tri_Plastic1_Grey;799;0.2065081351689612;0.33291614518147683;744;0.26881720430107525
M_Tri_Plastic1_Blue;799;0.21401752190237797;0.32540675844806005;744;0.26881720430107525
M_Tri_Plastic1_Red;799;0.20400500625782228;0.32540675844806005;744;0.260752688172043
M_Tri_Plastic1_Pink;798;0.19548872180451127;0.3132832080200501;743;0.2489905787348587
M_Tri_Plastic1_White;798;0.20050125313283207;0.3308270676691729;744;0.260752688172043
Default;160;0.30625;0.45625;149;0.4161073825503356
