class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
907;wine bottle;50;;0.92;0.9583333333333334;0.92;0.9387755102040817;46;2;4
579;grand piano, grand;50;;0.72;0.75;0.72;0.7346938775510204;36;12;14
846;table lamp;150;;0.5733333333333334;0.9662921348314607;0.5733333333333334;0.7196652719665273;86;3;64
402;acoustic guitar;50;;0.42;1.0;0.42;0.5915492957746479;21;0;29
898;water bottle;50;;0.8;0.4444444444444444;0.8;0.5714285714285714;40;50;10
518;crash helmet;100;;0.42;0.875;0.42;0.5675675675675675;42;6;58
790;shopping basket;100;;0.54;0.5869565217391305;0.54;0.5625000000000001;54;38;46
763;revolver, six-gun, six-shooter;150;;0.38666666666666666;0.9830508474576272;0.38666666666666666;0.5550239234449761;58;1;92
435;bathtub, bathing tub, bath, tub;150;;0.43333333333333335;0.7386363636363636;0.43333333333333335;0.546218487394958;65;23;85
508;computer keyboard, keypad;150;;0.37333333333333335;1.0;0.37333333333333335;0.5436893203883496;56;0;94
560;football helmet;50;;0.36;0.9473684210526315;0.36;0.5217391304347826;18;1;32
448;birdhouse;150;;0.34;0.9107142857142857;0.34;0.4951456310679612;51;5;99
751;racer, race car, racing car;50;;0.32;0.8421052631578947;0.32;0.463768115942029;16;3;34
414;backpack, back pack, knapsack, packsack, rucksack, haversack;100;;0.32;0.8205128205128205;0.32;0.46043165467625896;32;7;68
861;toilet seat;50;;0.32;0.8;0.32;0.45714285714285713;16;4;34
620;laptop, laptop computer;150;;0.30666666666666664;0.6216216216216216;0.30666666666666664;0.41071428571428564;46;28;104
413;assault rifle, assault gun;50;;0.38;0.4418604651162791;0.38;0.40860215053763443;19;24;31
650;microphone, mike;150;;0.30666666666666664;0.5897435897435898;0.30666666666666664;0.40350877192982454;46;32;104
883;vase;149;;0.3624161073825503;0.43548387096774194;0.3624161073825503;0.3956043956043956;54;70;95
703;park bench;150;;0.28;0.65625;0.28;0.39252336448598135;42;22;108
532;dining table, board;150;;0.24666666666666667;0.5441176470588235;0.24666666666666667;0.3394495412844037;37;31;113
664;monitor;150;;0.18;0.9310344827586207;0.18;0.30167597765363124;27;2;123
881;upright, upright piano;100;;0.17;1.0;0.17;0.2905982905982906;17;0;83
637;mailbox, letter box;150;;0.26666666666666666;0.28776978417266186;0.26666666666666666;0.2768166089965398;40;99;110
559;folding chair;100;;0.18;0.5142857142857142;0.18;0.26666666666666666;18;17;82
409;analog clock;50;;0.16;0.5333333333333333;0.16;0.24615384615384614;8;7;42
897;washer, automatic washer, washing machine;150;;0.15333333333333332;0.6216216216216216;0.15333333333333332;0.24598930481283418;23;14;127
627;limousine, limo;50;;0.14;1.0;0.14;0.24561403508771928;7;0;43
809;soup bowl;100;;0.14;1.0;0.14;0.24561403508771928;14;0;86
547;electric locomotive;50;;0.14;1.0;0.14;0.24561403508771928;7;0;43
