superclass;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
lamp;150;;0.5733333333333334;0.9662921348314607;0.5733333333333334;0.7196652719665273;86;3;64
bowl;150;;0.4533333333333333;1.0;0.4533333333333333;0.6238532110091742;68;0;82
laptop;150;;0.6533333333333333;0.5632183908045977;0.6533333333333333;0.6049382716049383;98;76;52
guitar;50;;0.42;1.0;0.42;0.5915492957746479;21;0;29
helmet;150;;0.42;0.9402985074626866;0.42;0.5806451612903226;63;4;87
pistol;150;;0.38666666666666666;0.9830508474576272;0.38666666666666666;0.5550239234449761;58;1;92
bathtub;150;;0.43333333333333335;0.7471264367816092;0.43333333333333335;0.5485232067510549;65;22;85
keyboard;150;;0.37333333333333335;1.0;0.37333333333333335;0.5436893203883496;56;0;94
rifle;150;;0.3933333333333333;0.8428571428571429;0.3933333333333333;0.5363636363636364;59;11;91
piano;150;;0.37333333333333335;0.8615384615384616;0.37333333333333335;0.5209302325581395;56;9;94
birdhouse;150;;0.34;0.9107142857142857;0.34;0.4951456310679612;51;5;99
car;150;;0.4266666666666667;0.5565217391304348;0.4266666666666667;0.48301886792452836;64;51;86
chair;150;;0.37333333333333335;0.6363636363636364;0.37333333333333335;0.47058823529411764;56;32;94
basket;150;;0.3933333333333333;0.5566037735849056;0.3933333333333333;0.4609375;59;47;91
bottle;300;;0.3333333333333333;0.6097560975609756;0.3333333333333333;0.43103448275862066;100;64;200
microphone;150;;0.30666666666666664;0.71875;0.30666666666666664;0.42990654205607476;46;18;104
table;150;;0.31333333333333335;0.5949367088607594;0.31333333333333335;0.4104803493449782;47;32;103
airplane;150;;0.46;0.35384615384615387;0.46;0.4;69;126;81
bench;150;;0.28;0.6666666666666666;0.28;0.3943661971830986;42;21;108
jar;149;;0.3624161073825503;0.4251968503937008;0.3624161073825503;0.3913043478260869;54;73;95
rocket;149;;0.3691275167785235;0.3548387096774194;0.3691275167785235;0.3618421052631579;55;100;94
motorbike;150;;0.21333333333333335;1.0;0.21333333333333335;0.3516483516483517;32;0;118
bag;150;;0.23333333333333334;0.6363636363636364;0.23333333333333334;0.34146341463414637;35;20;115
display;150;;0.19333333333333333;0.725;0.19333333333333333;0.30526315789473685;29;11;121
mailbox;150;;0.26666666666666666;0.31007751937984496;0.26666666666666666;0.2867383512544803;40;89;110
trash bin;149;;0.7583892617449665;0.14732724902216426;0.7583892617449665;0.2467248908296943;113;654;36
washer;150;;0.15333333333333332;0.6216216216216216;0.15333333333333332;0.24598930481283418;23;14;127
clock;149;;0.18120805369127516;0.36;0.18120805369127516;0.24107142857142855;27;48;122
loudspeaker;150;;0.16666666666666666;0.4098360655737705;0.16666666666666666;0.23696682464454974;25;36;125
mug;150;;0.13333333333333333;1.0;0.13333333333333333;0.23529411764705882;20;0;130
sofa;50;;0.22;0.1774193548387097;0.22;0.1964285714285714;11;51;39
flowerpot;150;;0.10666666666666667;1.0;0.10666666666666667;0.1927710843373494;16;0;134
stove;150;;0.1;0.8823529411764706;0.1;0.17964071856287428;15;2;135
camera;150;;0.09333333333333334;0.8235294117647058;0.09333333333333334;0.16766467065868262;14;3;136
remote;149;;0.087248322147651;0.9285714285714286;0.087248322147651;0.15950920245398773;13;1;136
microwaves;150;;0.08666666666666667;0.8125;0.08666666666666667;0.1566265060240964;13;3;137
bookshelf;150;;0.07333333333333333;1.0;0.07333333333333333;0.13664596273291926;11;0;139
file cabinet;150;;0.06666666666666667;0.9090909090909091;0.06666666666666667;0.12422360248447205;10;1;140
train;150;;0.04666666666666667;1.0;0.04666666666666667;0.089171974522293;7;0;143
printer;149;;0.053691275167785234;0.24242424242424243;0.053691275167785234;0.08791208791208792;8;25;141
watercraft;150;;0.04666666666666667;0.5384615384615384;0.04666666666666667;0.08588957055214724;7;6;143
dishwasher;150;;0.04666666666666667;0.5;0.04666666666666667;0.08536585365853659;7;7;143
pillow;150;;0.04;1.0;0.04;0.07692307692307693;6;0;144
tower;150;;0.04;0.46153846153846156;0.04;0.07361963190184048;6;7;144
cap;150;;0.02;0.1875;0.02;0.03614457831325301;3;13;147
knife;150;;0.013333333333333334;0.13333333333333333;0.013333333333333334;0.024242424242424242;2;13;148
bed;100;;0.01;0.5;0.01;0.0196078431372549;1;1;99
telephone;150;;0.006666666666666667;0.5;0.006666666666666667;0.013157894736842105;1;1;149
bus;150;;0.0;0.0;0.0;0.0;0;0;150
cabinet;150;;0.0;0.0;0.0;0.0;0;0;150
earphone;50;;0.0;0.0;0.0;0.0;0;22;50
