value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;549;0.0;0.0;0;
bottle;300;0.26;0.27666666666666667;300;0.4066666666666667
bag;150;0.23333333333333334;0.4;150;0.31333333333333335
airplane;150;0.5266666666666666;0.6266666666666667;150;0.88
basket;150;0.36666666666666664;0.48;150;0.36666666666666664
bathtub;150;0.46;0.8;150;0.46
birdhouse;150;0.42;0.5666666666666667;150;0.42
bench;150;0.6;0.74;150;0.6
bowl;150;0.25333333333333335;0.68;150;0.7333333333333333
bookshelf;150;0.2;0.23333333333333334;150;0.2
bus;150;0.0;0.0;150;0.013333333333333334
cabinet;150;0.0;0.0;150;0.006666666666666667
chair;150;0.22666666666666666;0.35333333333333333;150;0.58
camera;150;0.16666666666666666;0.26;150;0.16666666666666666
cap;150;0.30666666666666664;0.4866666666666667;150;0.30666666666666664
car;150;0.26666666666666666;0.56;150;0.4266666666666667
display;150;0.42;0.62;150;0.4533333333333333
dishwasher;150;0.04666666666666667;0.12;150;0.04666666666666667
flowerpot;150;0.22;0.44;150;0.22
file cabinet;150;0.10666666666666667;0.2733333333333333;150;0.10666666666666667
train;150;0.006666666666666667;0.013333333333333334;150;0.006666666666666667
washer;150;0.19333333333333333;0.26;150;0.19333333333333333
keyboard;150;0.23333333333333334;0.7333333333333333;150;0.23333333333333334
helmet;150;0.6466666666666666;0.7066666666666667;150;0.66
knife;150;0.02;0.14666666666666667;150;0.02
loudspeaker;150;0.1;0.20666666666666667;150;0.1
laptop;150;0.08;0.7866666666666666;150;0.7
lamp;150;0.6533333333333333;0.9066666666666666;150;0.6533333333333333
microphone;150;0.30666666666666664;0.37333333333333335;150;0.30666666666666664
microwaves;150;0.08666666666666667;0.10666666666666667;150;0.08666666666666667
motorbike;150;0.29333333333333333;0.5933333333333334;150;0.5266666666666666
mailbox;150;0.4266666666666667;0.5133333333333333;150;0.4266666666666667
mug;150;0.28;0.6;150;0.28
pistol;150;0.4;0.41333333333333333;150;0.4
pillow;150;0.12666666666666668;0.36666666666666664;150;0.12666666666666668
piano;150;0.54;0.5533333333333333;150;0.54
tower;150;0.0;0.006666666666666667;150;0.18
telephone;150;0.0;0.02666666666666667;150;0.0
watercraft;150;0.13333333333333333;0.2;150;0.28
rifle;150;0.19333333333333333;0.44666666666666666;150;0.3933333333333333
table;150;0.24;0.3333333333333333;150;0.31333333333333335
stove;150;0.16666666666666666;0.29333333333333333;150;0.16666666666666666
remote;149;0.21476510067114093;0.38926174496644295;149;0.21476510067114093
clock;149;0.14093959731543623;0.2214765100671141;149;0.21476510067114093
trash bin;149;0.785234899328859;0.7986577181208053;149;0.785234899328859
rocket;149;0.2684563758389262;0.4161073825503356;149;0.3624161073825503
jar;149;0.4563758389261745;0.610738255033557;149;0.46308724832214765
printer;149;0.16778523489932887;0.31543624161073824;149;0.16778523489932887
bed;100;0.0;0.14;100;0.05
earphone;50;0.18;0.26;50;0.18
guitar;50;0.46;0.5;50;0.46
sofa;50;0.52;0.58;50;0.52
