superclass;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
helmet;150;;0.5933333333333334;0.89;0.5933333333333334;0.712;89;11;61
lamp;150;;0.5266666666666666;0.7745098039215687;0.5266666666666666;0.6269841269841269;79;23;71
airplane;150;;0.6933333333333334;0.5306122448979592;0.6933333333333334;0.6011560693641619;104;92;46
car;150;;0.47333333333333333;0.6761904761904762;0.47333333333333333;0.5568627450980392;71;34;79
rifle;150;;0.3933333333333333;0.921875;0.3933333333333333;0.5514018691588786;59;5;91
laptop;150;;0.7466666666666667;0.43243243243243246;0.7466666666666667;0.547677261613692;112;147;38
piano;150;;0.37333333333333335;0.9032258064516129;0.37333333333333335;0.5283018867924528;56;6;94
pistol;150;;0.35333333333333333;1.0;0.35333333333333333;0.5221674876847291;53;0;97
motorbike;150;;0.35333333333333333;1.0;0.35333333333333333;0.5221674876847291;53;0;97
birdhouse;150;;0.35333333333333333;0.8688524590163934;0.35333333333333333;0.5023696682464455;53;8;97
cap;150;;0.3333333333333333;0.847457627118644;0.3333333333333333;0.47846889952153104;50;9;100
chair;150;;0.56;0.4158415841584158;0.56;0.4772727272727273;84;118;66
bowl;150;;0.3;1.0;0.3;0.4615384615384615;45;0;105
jar;149;;0.46308724832214765;0.4339622641509434;0.46308724832214765;0.4480519480519481;69;90;80
bench;150;;0.36666666666666664;0.514018691588785;0.36666666666666664;0.42801556420233455;55;52;95
keyboard;150;;0.26;0.9285714285714286;0.26;0.40625;39;3;111
bathtub;150;;0.2866666666666667;0.671875;0.2866666666666667;0.4018691588785047;43;21;107
table;150;;0.28;0.6666666666666666;0.28;0.3943661971830986;42;21;108
bag;150;;0.26666666666666666;0.7017543859649122;0.26666666666666666;0.3864734299516908;40;17;110
rocket;149;;0.3624161073825503;0.4090909090909091;0.3624161073825503;0.38434163701067614;54;78;95
bottle;300;;0.3;0.5202312138728323;0.3;0.38054968287526425;90;83;210
guitar;50;;0.22;1.0;0.22;0.36065573770491804;11;0;39
basket;150;;0.28;0.5060240963855421;0.28;0.3605150214592275;42;41;108
mailbox;150;;0.23333333333333334;0.6363636363636364;0.23333333333333334;0.34146341463414637;35;20;115
trash bin;149;;0.6040268456375839;0.22277227722772278;0.6040268456375839;0.325497287522604;90;314;59
washer;150;;0.18;0.8709677419354839;0.18;0.29834254143646405;27;4;123
sofa;50;;0.52;0.18705035971223022;0.52;0.2751322751322752;26;113;24
clock;149;;0.18120805369127516;0.46551724137931033;0.18120805369127516;0.2608695652173913;27;31;122
dishwasher;150;;0.22666666666666666;0.2463768115942029;0.22666666666666666;0.2361111111111111;34;104;116
watercraft;150;;0.11333333333333333;0.7391304347826086;0.11333333333333333;0.19653179190751444;17;6;133
bookshelf;150;;0.1;0.8333333333333334;0.1;0.17857142857142858;15;3;135
remote;149;;0.087248322147651;1.0;0.087248322147651;0.16049382716049382;13;0;136
pillow;150;;0.08;1.0;0.08;0.14814814814814814;12;0;138
stove;150;;0.08;0.9230769230769231;0.08;0.14723926380368096;12;1;138
microphone;150;;0.06666666666666667;0.7142857142857143;0.06666666666666667;0.12195121951219512;10;4;140
printer;149;;0.09395973154362416;0.16279069767441862;0.09395973154362416;0.11914893617021276;14;72;135
file cabinet;150;;0.06666666666666667;0.5263157894736842;0.06666666666666667;0.1183431952662722;10;9;140
mug;150;;0.05333333333333334;0.42105263157894735;0.05333333333333334;0.09467455621301776;8;11;142
camera;150;;0.04666666666666667;0.7777777777777778;0.04666666666666667;0.08805031446540881;7;2;143
knife;150;;0.04666666666666667;0.35;0.04666666666666667;0.08235294117647057;7;13;143
microwaves;150;;0.03333333333333333;0.625;0.03333333333333333;0.06329113924050632;5;3;145
display;150;;0.03333333333333333;0.29411764705882354;0.03333333333333333;0.059880239520958084;5;12;145
loudspeaker;150;;0.02;0.15789473684210525;0.02;0.03550295857988166;3;16;147
bus;150;;0.013333333333333334;1.0;0.013333333333333334;0.02631578947368421;2;0;148
flowerpot;150;;0.013333333333333334;1.0;0.013333333333333334;0.02631578947368421;2;0;148
bed;100;;0.01;0.5;0.01;0.0196078431372549;1;1;99
telephone;150;;0.006666666666666667;0.3333333333333333;0.006666666666666667;0.013071895424836602;1;2;149
cabinet;150;;0.0;0.0;0.0;0.0;0;2;150
earphone;50;;0.0;0.0;0.0;0.0;0;13;50
tower;150;;0.0;0.0;0.0;0.0;0;3;150
train;150;;0.0;0.0;0.0;0.0;0;0;150
