value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
M_Tri_Plastic1_Black;800;0.21125;0.355;745;0.26040268456375837
M_Tri_Plastic1_Cyan;800;0.18625;0.30875;745;0.23221476510067113
M_Tri_Plastic1_Yellow;800;0.17375;0.30875;745;0.2295302013422819
M_Tri_Plastic1_Green;800;0.155;0.28375;745;0.2040268456375839
M_Tri_Plastic1_Grey;799;0.19899874843554444;0.34668335419274093;744;0.2567204301075269
M_Tri_Plastic1_Blue;799;0.17521902377972465;0.2978723404255319;744;0.22446236559139784
M_Tri_Plastic1_Red;799;0.20275344180225283;0.3053817271589487;744;0.26344086021505375
M_Tri_Plastic1_Pink;798;0.17042606516290726;0.2907268170426065;743;0.2180349932705249
M_Tri_Plastic1_White;798;0.18045112781954886;0.3233082706766917;744;0.22983870967741934
Default;160;0.30625;0.4875;149;0.38926174496644295
