value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
acoustic-guitar-1;50;0.22;0.34;50;0.22
analog-clock-1;50;0.2;0.22;50;0.2
assault-rifle-1;50;0.4;0.4;50;0.4
backpack-1;50;0.54;0.64;50;0.58
backpack-2;50;0.04;0.24;50;0.2
bathtub-1;50;0.36;0.7;50;0.36
bathtub-2;50;0.1;0.72;50;0.1
bathtub-3;50;0.4;0.8;50;0.4
bed-1;50;0.0;0.0;50;0.02
bed-2;50;0.0;0.0;50;0.0
bench-1;50;0.98;1.0;50;0.98
bench-2;50;0.06;0.14;50;0.06
bench-3;50;0.06;0.14;50;0.06
birdhouse-1;50;0.04;0.14;50;0.04
birdhouse-2;50;0.4;0.4;50;0.4
birdhouse-3;50;0.62;0.68;50;0.62
bookshelf-1;50;0.0;0.08;50;0.0
bookshelf-2;50;0.12;0.22;50;0.12
bookshelf-3;50;0.18;0.2;50;0.18
bullet-train-1;50;0.0;0.0;50;0.0
bus-1;50;0.0;0.0;50;0.0
bus-2;50;0.0;0.0;50;0.0
bus-3;50;0.0;0.0;50;0.04
can-1;50;0.0;0.0;50;0.02
can-2;50;0.0;0.04;50;0.08
can-3;50;0.0;0.08;50;0.02
china-cabinet-1;50;0.0;0.14;50;0.0
china-cabinet-2;50;0.0;0.04;50;0.0
china-cabinet-3;50;0.0;0.04;50;0.0
computer-keyboard-1;50;0.14;0.6;50;0.14
computer-keyboard-2;50;0.24;0.76;50;0.24
computer-keyboard-3;50;0.4;0.82;50;0.4
cowboy-hat-1;50;0.42;0.66;50;0.42
cowboy-hat-2;50;0.24;0.26;50;0.24
cowboy-hat-3;50;0.34;0.72;50;0.34
crash-helmet-1;50;0.68;0.78;50;0.68
crash-helmet-2;50;0.52;0.72;50;0.58
crate-1;50;0.02;0.04;50;0.02
day-bed-1;50;0.52;0.56;50;0.52
dining-table-1;50;0.04;0.5;50;0.04
dining-table-2;50;0.0;0.02;50;0.08
dining-table-3;50;0.72;0.8;50;0.72
dishwasher-1;50;0.16;0.3;50;0.16
dishwasher-2;50;0.32;0.54;50;0.32
dishwasher-3;50;0.2;0.34;50;0.2
earphone-2;50;0.0;0.0;0;
electric-locomotive-1;50;0.0;0.04;50;0.0
faucet-1;50;0.0;0.0;0;
flowerpot-2;50;0.02;0.38;50;0.02
faucet-2;50;0.0;0.0;0;
faucet-3;50;0.0;0.0;0;
fighter-jet;50;0.8;0.88;50;0.82
file-cabinet-1;50;0.0;0.0;50;0.0
file-cabinet-2;50;0.0;0.02;50;0.0
file-cabinet-3;50;0.2;0.2;50;0.2
flowerpot-1;50;0.02;0.4;50;0.02
football-helmet-1;50;0.48;0.52;50;0.52
flowerpot-3;50;0.0;0.02;50;0.0
folding-chair-1;50;0.28;0.68;50;0.46
folding-chair-2;50;0.06;0.28;50;0.64
iPod-1;50;0.0;0.08;50;0.0
grand-piano-1;50;0.52;0.7;50;0.52
knife-1;50;0.0;0.02;50;0.0
knife-2;50;0.02;0.1;50;0.04
microwave-2;50;0.02;0.02;50;0.02
knife-3;50;0.1;0.16;50;0.1
laptop-1;50;0.72;0.84;50;0.74
laptop-2;50;0.68;0.78;50;0.74
