superclass;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
keyboard;150;;0.46;1.0;0.46;0.6301369863013699;69;0;81
lamp;150;;0.46;1.0;0.46;0.6301369863013699;69;0;81
jar;149;;0.5704697986577181;0.6028368794326241;0.5704697986577181;0.5862068965517241;85;56;64
helmet;150;;0.43333333333333335;0.8783783783783784;0.43333333333333335;0.5803571428571429;65;9;85
laptop;150;;0.64;0.4873096446700508;0.64;0.553314121037464;96;101;54
rifle;150;;0.38;0.8769230769230769;0.38;0.530232558139535;57;8;93
car;150;;0.44;0.6285714285714286;0.44;0.5176470588235295;66;39;84
motorbike;150;;0.34;1.0;0.34;0.5074626865671642;51;0;99
piano;150;;0.3466666666666667;0.9285714285714286;0.3466666666666667;0.5048543689320388;52;4;98
bathtub;150;;0.38;0.7125;0.38;0.49565217391304345;57;23;93
pistol;150;;0.32;1.0;0.32;0.48484848484848486;48;0;102
airplane;150;;0.4266666666666667;0.5565217391304348;0.4266666666666667;0.48301886792452836;64;51;86
chair;150;;0.4666666666666667;0.47619047619047616;0.4666666666666667;0.47138047138047134;70;77;80
birdhouse;150;;0.2866666666666667;0.9555555555555556;0.2866666666666667;0.44102564102564107;43;2;107
bench;150;;0.36;0.5567010309278351;0.36;0.437246963562753;54;43;96
basket;150;;0.36;0.5242718446601942;0.36;0.42687747035573126;54;49;96
sofa;50;;0.42;0.38181818181818183;0.42;0.4000000000000001;21;34;29
rocket;149;;0.3691275167785235;0.4198473282442748;0.3691275167785235;0.3928571428571429;55;76;94
table;150;;0.26;0.75;0.26;0.38613861386138615;39;13;111
mailbox;150;;0.3;0.5172413793103449;0.3;0.379746835443038;45;42;105
bag;150;;0.24;0.8372093023255814;0.24;0.3730569948186529;36;7;114
bottle;300;;0.2833333333333333;0.5120481927710844;0.2833333333333333;0.3648068669527897;85;81;215
bowl;150;;0.18;1.0;0.18;0.3050847457627119;27;0;123
washer;150;;0.16666666666666666;0.8928571428571429;0.16666666666666666;0.2808988764044944;25;3;125
microphone;150;;0.15333333333333332;0.8214285714285714;0.15333333333333332;0.2584269662921348;23;5;127
guitar;50;;0.14;1.0;0.14;0.24561403508771928;7;0;43
clock;149;;0.18120805369127516;0.35526315789473684;0.18120805369127516;0.24;27;49;122
trash bin;149;;0.7114093959731543;0.12045454545454545;0.7114093959731543;0.20602526724975703;106;774;43
dishwasher;150;;0.15333333333333332;0.25274725274725274;0.15333333333333332;0.1908713692946058;23;68;127
display;150;;0.12666666666666668;0.37254901960784315;0.12666666666666668;0.1890547263681592;19;32;131
stove;150;;0.09333333333333334;1.0;0.09333333333333334;0.17073170731707318;14;0;136
earphone;50;;0.1;0.5555555555555556;0.1;0.16949152542372883;5;4;45
remote;149;;0.087248322147651;0.9285714285714286;0.087248322147651;0.15950920245398773;13;1;136
watercraft;150;;0.08;0.6666666666666666;0.08;0.14285714285714285;12;6;138
bookshelf;150;;0.06666666666666667;1.0;0.06666666666666667;0.125;10;0;140
file cabinet;150;;0.06666666666666667;0.6666666666666666;0.06666666666666667;0.1212121212121212;10;5;140
mug;150;;0.06666666666666667;0.625;0.06666666666666667;0.12048192771084337;10;6;140
camera;150;;0.05333333333333334;0.8;0.05333333333333334;0.1;8;2;142
printer;149;;0.053691275167785234;0.23529411764705882;0.053691275167785234;0.08743169398907104;8;26;141
knife;150;;0.03333333333333333;0.35714285714285715;0.03333333333333333;0.06097560975609756;5;9;145
pillow;150;;0.02;1.0;0.02;0.0392156862745098;3;0;147
microwaves;150;;0.02;0.6;0.02;0.03870967741935484;3;2;147
loudspeaker;150;;0.02;0.08333333333333333;0.02;0.03225806451612903;3;33;147
bus;150;;0.013333333333333334;1.0;0.013333333333333334;0.02631578947368421;2;0;148
cap;150;;0.013333333333333334;0.2;0.013333333333333334;0.025;2;8;148
flowerpot;150;;0.006666666666666667;1.0;0.006666666666666667;0.013245033112582783;1;0;149
bed;100;;0.0;0.0;0.0;0.0;0;0;100
cabinet;150;;0.0;0.0;0.0;0.0;0;0;150
telephone;150;;0.0;0.0;0.0;0.0;0;1;150
tower;150;;0.0;0.0;0.0;0.0;0;1;150
train;150;;0.0;0.0;0.0;0.0;0;0;150
