value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
acoustic-guitar-1;50;0.0;0.02;50;0.0
analog-clock-1;50;0.1;0.24;50;0.2
assault-rifle-1;50;0.28;0.32;50;0.28
backpack-1;50;0.08;0.3;50;0.12
backpack-2;50;0.0;0.06;50;0.02
bathtub-1;50;0.0;0.06;50;0.0
bathtub-2;50;0.0;0.1;50;0.0
bathtub-3;50;0.0;0.02;50;0.0
bed-1;50;0.0;0.0;50;0.0
bed-2;50;0.0;0.0;50;0.0
bench-1;50;0.36;0.6;50;0.36
bench-2;50;0.0;0.0;50;0.0
bench-3;50;0.0;0.06;50;0.0
birdhouse-1;50;0.0;0.12;50;0.0
birdhouse-2;50;0.4;0.4;50;0.4
birdhouse-3;50;0.22;0.68;50;0.22
bookshelf-1;50;0.02;0.08;50;0.02
bookshelf-2;50;0.02;0.2;50;0.02
bookshelf-3;50;0.02;0.2;50;0.02
bullet-train-1;50;0.0;0.0;50;0.0
bus-1;50;0.0;0.0;50;0.0
bus-2;50;0.0;0.0;50;0.0
bus-3;50;0.0;0.0;50;0.0
can-1;50;0.0;0.0;50;0.02
can-2;50;0.04;0.18;50;0.12
can-3;50;0.06;0.26;50;0.14
china-cabinet-1;50;0.0;0.06;50;0.02
china-cabinet-2;50;0.0;0.16;50;0.0
china-cabinet-3;50;0.0;0.08;50;0.02
computer-keyboard-1;50;0.0;0.0;50;0.0
computer-keyboard-2;50;0.0;0.04;50;0.0
computer-keyboard-3;50;0.12;0.36;50;0.12
cowboy-hat-1;50;0.04;0.04;50;0.04
cowboy-hat-2;50;0.0;0.0;50;0.0
cowboy-hat-3;50;0.0;0.0;50;0.0
crash-helmet-1;50;0.02;0.06;50;0.02
crash-helmet-2;50;0.0;0.0;50;0.0
crate-1;50;0.0;0.04;50;0.0
day-bed-1;50;0.1;0.22;50;0.1
dining-table-1;50;0.04;0.22;50;0.04
dining-table-2;50;0.0;0.0;50;0.0
dining-table-3;50;0.42;0.6;50;0.42
dishwasher-1;50;0.04;0.06;50;0.04
dishwasher-2;50;0.1;0.26;50;0.1
dishwasher-3;50;0.0;0.0;50;0.0
earphone-2;50;0.0;0.0;0;
electric-locomotive-1;50;0.0;0.0;50;0.0
faucet-1;50;0.0;0.0;0;
flowerpot-2;50;0.14;0.26;50;0.14
faucet-2;50;0.0;0.0;0;
faucet-3;50;0.0;0.0;0;
fighter-jet;50;0.5;0.76;50;0.56
file-cabinet-1;50;0.0;0.04;50;0.0
file-cabinet-2;50;0.0;0.02;50;0.0
file-cabinet-3;50;0.12;0.18;50;0.12
flowerpot-1;50;0.0;0.0;50;0.0
football-helmet-1;50;0.06;0.12;50;0.06
flowerpot-3;50;0.0;0.0;50;0.0
folding-chair-1;50;0.16;0.5;50;0.2
folding-chair-2;50;0.02;0.16;50;0.46
iPod-1;50;0.0;0.0;50;0.0
grand-piano-1;50;0.06;0.1;50;0.06
knife-1;50;0.0;0.24;50;0.0
knife-2;50;0.1;0.62;50;0.1
microwave-2;50;0.02;0.16;50;0.02
knife-3;50;0.16;0.3;50;0.16
laptop-1;50;0.6;0.7;50;0.64
laptop-2;50;0.64;0.8;50;0.74
laptop-3;50;0.52;0.7;50;0.6
limousine-1;50;0.0;0.08;50;0.22
loudspeaker-1;50;0.02;0.08;50;0.02
loudspeaker-2;50;0.02;0.26;50;0.02
loudspeaker-3;50;0.0;0.14;50;0.0
mailbox-1;50;0.0;0.0;50;0.0
mailbox-2;50;0.0;0.0;50;0.0
mailbox-3;50;0.04;0.08;50;0.04
microphone-1;50;0.02;0.08;50;0.02
microphone-2;50;0.0;0.1;50;0.0
microphone-3;50;0.04;0.26;50;0.04
microwave-1;50;0.04;0.06;50;0.04
moped-2;50;0.04;0.18;50;0.12
microwave-3;50;0.04;0.14;50;0.04
missile-2;50;0.14;0.34;50;0.2
mixing-bowl-1;50;0.0;0.0;50;0.0
mobile-phone-2;50;0.08;0.2;50;0.08
mobile-phone-1;50;0.06;0.08;50;0.06
mobile-phone-3;50;0.02;0.04;50;0.02
monitor-1;50;0.02;0.14;50;0.04
mosque-1;50;0.02;0.36;50;0.42
monitor-2;50;0.04;0.22;50;0.12
monitor-3;50;0.06;0.22;50;0.06
moped-1;50;0.0;0.0;50;0.0
mug-1;50;0.66;0.8;50;0.66
moped-3;50;0.2;0.32;50;0.2
mug-3;50;0.1;0.32;50;0.1
mug-2;50;0.0;0.08;50;0.0
trash-can-2;50;0.16;0.3;50;0.16
upright-piano-1;50;0.0;0.0;50;0.0
obelisk-1;50;0.14;0.44;50;0.24
ocean-liner-1;50;0.0;0.04;50;0.04
old-plane;50;0.18;0.44;50;0.32
pas-plane;50;0.54;0.74;50;0.6
pill-bottle-1;50;0.0;0.0;50;0.48
pillow-1;50;0.0;0.0;50;0.0
pillow-2;50;0.0;0.0;50;0.0
pillow-3;50;0.0;0.0;50;0.0
plastic-bag-1;50;0.02;0.08;50;0.02
printer-1;50;0.02;0.14;50;0.02
printer-2;50;0.0;0.06;50;0.0
race-car-1;50;0.1;0.46;50;0.44
reflex-camera-1;50;0.0;0.0;50;0.0
reflex-camera-2;50;0.0;0.0;50;0.0
skateboard-1;50;0.0;0.0;0;
reflex-camera-3;50;0.02;0.06;50;0.02
remote-2;50;0.12;0.16;50;0.12
remote-3;50;0.0;0.02;50;0.0
revolver-2;50;0.38;0.4;50;0.38
revolver-1;50;0.3;0.3;50;0.3
revolver-3;50;0.02;0.12;50;0.02
rifle-1;50;0.02;0.12;50;0.06
skateboard-3;50;0.0;0.0;0;
rifle-2;50;0.0;0.0;50;0.04
shopping-basket-1;50;0.18;0.66;50;0.18
shopping-basket-2;50;0.0;0.44;50;0.0
sofa-1;50;0.0;0.0;0;
skateboard-2;50;0.0;0.0;0;
sofa-3;50;0.0;0.0;0;
sofa-2;50;0.0;0.0;0;
water-bottle-1;50;0.8;0.8;50;0.8
water-tower-1;50;0.0;0.0;50;0.14
soup-bowl-1;50;0.0;0.1;50;0.24
soup-bowl-2;50;0.0;0.04;50;0.18
space-shuttle-1;50;0.0;0.04;50;0.06
speedboat-1;50;0.16;0.3;50;0.16
sports-car-1;50;0.2;0.44;50;0.5
steam-locomotive-1;50;0.0;0.0;50;0.0
stove-1;50;0.0;0.0;50;0.0
stove-2;50;0.0;0.0;50;0.0
stove-3;50;0.06;0.14;50;0.06
table-lamp-1;50;0.72;0.86;50;0.72
table-lamp-2;50;0.18;0.64;50;0.18
table-lamp-3;50;0.38;0.56;50;0.38
toilet-seat-1;50;0.04;0.26;50;0.04
trash-can-1;50;0.46;0.66;50;0.46
yawl-1;50;0.0;0.0;50;0.2
washer-3;50;0.0;0.02;50;0.0
upright-piano-2;50;0.02;0.08;50;0.02
vase-2;50;0.22;0.64;50;0.22
vase-3;50;0.02;0.22;50;0.02
washer-2;50;0.08;0.1;50;0.08
washer-1;50;0.0;0.06;50;0.0
wall-clock-2;50;0.1;0.16;50;0.2
wine-bottle-1;50;0.06;0.52;50;0.6
earphone-1;49;0.0;0.0;0;
missile-1;49;0.3673469387755102;0.6122448979591837;49;0.42857142857142855
printer-3;49;0.0;0.02040816326530612;49;0.0
remote-1;49;0.08163265306122448;0.12244897959183673;49;0.08163265306122448
wall-clock-1;49;0.0;0.12244897959183673;49;0.08163265306122448
trash-can-3;49;0.42857142857142855;0.6530612244897959;49;0.42857142857142855
vase-1;49;0.22448979591836735;0.6530612244897959;49;0.22448979591836735
