class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
620;laptop, laptop computer;150;;0.43333333333333335;0.6435643564356436;0.43333333333333335;0.5179282868525897;65;36;85
846;table lamp;150;;0.38;0.6951219512195121;0.38;0.49137931034482746;57;25;93
504;coffee mug;150;;0.21333333333333335;0.8;0.21333333333333335;0.3368421052631579;32;8;118
790;shopping basket;100;;0.21;0.7241379310344828;0.21;0.3255813953488372;21;8;79
895;warplane, military plane;50;;0.68;0.2073170731707317;0.68;0.31775700934579443;34;130;16
763;revolver, six-gun, six-shooter;150;;0.18666666666666668;0.9655172413793104;0.18666666666666668;0.3128491620111732;28;1;122
448;birdhouse;150;;0.18666666666666668;0.9333333333333333;0.18666666666666668;0.31111111111111106;28;2;122
413;assault rifle, assault gun;50;;0.2;0.6666666666666666;0.2;0.30769230769230765;10;5;40
883;vase;149;;0.2214765100671141;0.34375;0.2214765100671141;0.2693877551020408;33;63;116
814;speedboat;50;;0.16;0.8;0.16;0.26666666666666666;8;2;42
831;studio couch, day bed;50;;0.22;0.3333333333333333;0.22;0.26506024096385544;11;22;39
907;wine bottle;50;;0.28;0.23728813559322035;0.28;0.25688073394495414;14;45;36
559;folding chair;100;;0.17;0.4358974358974359;0.17;0.2446043165467626;17;22;83
650;microphone, mike;150;;0.14;0.9545454545454546;0.14;0.24418604651162792;21;1;129
827;stove;150;;0.2;0.3;0.2;0.24;30;70;120
532;dining table, board;150;;0.13333333333333333;0.9090909090909091;0.13333333333333333;0.2325581395348837;20;2;130
861;toilet seat;50;;0.14;0.6363636363636364;0.14;0.22950819672131148;7;4;43
412;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;149;;0.2483221476510067;0.17703349282296652;0.2483221476510067;0.20670391061452514;37;172;112
414;backpack, back pack, knapsack, packsack, rucksack, haversack;100;;0.11;1.0;0.11;0.19819819819819817;11;0;89
764;rifle;100;;0.12;0.5454545454545454;0.12;0.19672131147540983;12;10;88
898;water bottle;50;;0.8;0.11204481792717087;0.8;0.19656019656019658;40;317;10
