class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
895;warplane, military plane;50;;0.62;0.3974358974358974;0.62;0.484375;31;47;19
846;table lamp;150;;0.3466666666666667;0.7027027027027027;0.3466666666666667;0.46428571428571436;52;22;98
790;shopping basket;100;;0.33;0.6111111111111112;0.33;0.42857142857142855;33;21;67
532;dining table, board;150;;0.30666666666666664;0.6666666666666666;0.30666666666666664;0.4200913242009132;46;23;104
907;wine bottle;50;;0.24;0.9230769230769231;0.24;0.38095238095238093;12;1;38
883;vase;149;;0.30201342281879195;0.5113636363636364;0.30201342281879195;0.37974683544303794;45;43;104
650;microphone, mike;150;;0.22666666666666666;0.7906976744186046;0.22666666666666666;0.35233160621761656;34;9;116
448;birdhouse;150;;0.21333333333333335;0.8;0.21333333333333335;0.3368421052631579;32;8;118
763;revolver, six-gun, six-shooter;150;;0.2;1.0;0.2;0.33333333333333337;30;0;120
560;football helmet;50;;0.2;0.9090909090909091;0.2;0.32786885245901637;10;1;40
579;grand piano, grand;50;;0.2;0.8333333333333334;0.2;0.3225806451612903;10;2;40
814;speedboat;50;;0.24;0.46153846153846156;0.24;0.3157894736842105;12;14;38
413;assault rifle, assault gun;50;;0.22;0.5238095238095238;0.22;0.3098591549295775;11;10;39
435;bathtub, bathing tub, bath, tub;150;;0.17333333333333334;0.6666666666666666;0.17333333333333334;0.2751322751322751;26;13;124
861;toilet seat;50;;0.28;0.2692307692307692;0.28;0.27450980392156865;14;38;36
898;water bottle;50;;0.8;0.1652892561983471;0.8;0.273972602739726;40;202;10
751;racer, race car, racing car;50;;0.16;0.8888888888888888;0.16;0.27118644067796616;8;1;42
412;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;149;;0.697986577181208;0.15615615615615616;0.697986577181208;0.2552147239263804;104;562;45
831;studio couch, day bed;50;;0.26;0.23214285714285715;0.26;0.24528301886792453;13;43;37
414;backpack, back pack, knapsack, packsack, rucksack, haversack;100;;0.15;0.625;0.15;0.24193548387096772;15;9;85
703;park bench;150;;0.18;0.32926829268292684;0.18;0.23275862068965517;27;55;123
897;washer, automatic washer, washing machine;150;;0.11333333333333333;0.8947368421052632;0.11333333333333333;0.2011834319526627;17;2;133
559;folding chair;100;;0.13;0.3939393939393939;0.13;0.19548872180451127;13;20;87
620;laptop, laptop computer;150;;0.18;0.20300751879699247;0.18;0.19081272084805653;27;106;123
761;remote control, remote;149;;0.10067114093959731;0.8823529411764706;0.10067114093959731;0.18072289156626506;15;2;134
504;coffee mug;150;;0.1;0.9375;0.1;0.18072289156626503;15;1;135
627;limousine, limo;50;;0.1;0.8333333333333334;0.1;0.17857142857142858;5;1;45
892;wall clock;99;;0.12121212121212122;0.3333333333333333;0.12121212121212122;0.17777777777777776;12;24;87
764;rifle;100;;0.1;0.43478260869565216;0.1;0.16260162601626016;10;13;90
605;iPod;50;;0.1;0.4166666666666667;0.1;0.16129032258064516;5;7;45
827;stove;150;;0.08666666666666667;0.7222222222222222;0.08666666666666667;0.15476190476190477;13;5;137
881;upright, upright piano;100;;0.08;1.0;0.08;0.14814814814814814;8;0;92
402;acoustic guitar;50;;0.06;1.0;0.06;0.11320754716981131;3;0;47
508;computer keyboard, keypad;150;;0.06;1.0;0.06;0.11320754716981131;9;0;141
664;monitor;150;;0.06;0.8181818181818182;0.06;0.11180124223602485;9;2;141
553;file, file cabinet, filing cabinet;150;;0.08666666666666667;0.13541666666666666;0.08666666666666667;0.1056910569105691;13;83;137
534;dishwasher, dish washer, dishwashing machine;150;;0.06;0.4090909090909091;0.06;0.10465116279069768;9;13;141
632;loudspeaker, speaker, speaker unit, loudspeaker system, speaker system;150;;0.06;0.36;0.06;0.10285714285714286;9;16;141
738;pot, flowerpot;150;;0.05333333333333334;0.8888888888888888;0.05333333333333334;0.10062893081761007;8;1;142
518;crash helmet;100;;0.05;0.625;0.05;0.09259259259259259;5;3;95
742;printer;149;;0.053691275167785234;0.14814814814814814;0.053691275167785234;0.07881773399014778;8;46;141
817;sports car, sport car;50;;0.04;0.2857142857142857;0.04;0.07017543859649124;2;5;48
637;mailbox, letter box;150;;0.05333333333333334;0.06299212598425197;0.05333333333333334;0.057761732851985555;8;119;142
728;plastic bag;50;;0.06;0.05084745762711865;0.06;0.05504587155963303;3;56;47
651;microwave, microwave oven;150;;0.02666666666666667;1.0;0.02666666666666667;0.05194805194805195;4;0;146
665;moped;150;;0.02666666666666667;1.0;0.02666666666666667;0.05194805194805195;4;0;146
759;reflex camera;150;;0.02;1.0;0.02;0.0392156862745098;3;0;147
515;cowboy hat, ten-gallon hat;150;;0.02;1.0;0.02;0.0392156862745098;3;0;147
519;crate;50;;0.02;0.02702702702702703;0.02;0.022988505747126433;1;36;49
809;soup bowl;100;;0.01;0.5;0.01;0.0196078431372549;1;1;99
721;pillow;150;;0.006666666666666667;1.0;0.006666666666666667;0.013245033112582783;1;0;149
453;bookcase;150;;0.006666666666666667;1.0;0.006666666666666667;0.013245033112582783;1;0;149
623;letter opener, paper knife, paperknife;150;;0.006666666666666667;1.0;0.006666666666666667;0.013245033112582783;1;0;149
487;cellular telephone, cellular phone, cellphone, cell, mobile phone;150;;0.006666666666666667;1.0;0.006666666666666667;0.013245033112582783;1;0;149
404;airliner;100;;0.0;0.0;0.0;0.0;0;2;100
0;tench, Tinca tinca;549;;0.0;0.0;0.0;0.0;0;0;549
409;analog clock;50;;0.0;0.0;0.0;0.0;0;2;50
682;obelisk;50;;0.0;0.0;0.0;0.0;0;3;50
668;mosque;50;;0.0;0.0;0.0;0.0;0;0;50
657;missile;99;;0.0;0.0;0.0;0.0;0;4;99
659;mixing bowl;50;;0.0;0.0;0.0;0.0;0;16;50
628;liner, ocean liner;50;;0.0;0.0;0.0;0.0;0;1;50
495;china cabinet, china closet;150;;0.0;0.0;0.0;0.0;0;0;150
547;electric locomotive;50;;0.0;0.0;0.0;0.0;0;0;50
564;four-poster;100;;0.0;0.0;0.0;0.0;0;0;100
466;bullet train, bullet;50;;0.0;0.0;0.0;0.0;0;0;50
779;school bus;150;;0.0;0.0;0.0;0.0;0;0;150
720;pill bottle;50;;0.0;0.0;0.0;0.0;0;1;50
737;pop bottle, soda bottle;150;;0.0;0.0;0.0;0.0;0;0;150
812;space shuttle;50;;0.0;0.0;0.0;0.0;0;1;50
820;steam locomotive;50;;0.0;0.0;0.0;0.0;0;0;50
900;water tower;50;;0.0;0.0;0.0;0.0;0;0;50
914;yawl;50;;0.0;0.0;0.0;0.0;0;0;50
