value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
acoustic-guitar-1;50;0.06;0.08;50;0.06
analog-clock-1;50;0.0;0.2;50;0.14
assault-rifle-1;50;0.22;0.4;50;0.32
backpack-1;50;0.3;0.7;50;0.44
backpack-2;50;0.0;0.04;50;0.04
bathtub-1;50;0.34;0.76;50;0.34
bathtub-2;50;0.06;0.92;50;0.06
bathtub-3;50;0.12;0.3;50;0.12
bed-1;50;0.0;0.0;50;0.0
bed-2;50;0.0;0.0;50;0.02
bench-1;50;0.42;0.8;50;0.42
bench-2;50;0.08;0.22;50;0.08
bench-3;50;0.04;0.6;50;0.04
birdhouse-1;50;0.0;0.02;50;0.0
birdhouse-2;50;0.42;0.44;50;0.42
birdhouse-3;50;0.22;0.52;50;0.22
bookshelf-1;50;0.0;0.0;50;0.0
bookshelf-2;50;0.0;0.08;50;0.0
bookshelf-3;50;0.02;0.12;50;0.02
bullet-train-1;50;0.0;0.0;50;0.0
bus-1;50;0.0;0.0;50;0.0
bus-2;50;0.0;0.0;50;0.0
bus-3;50;0.0;0.0;50;0.02
can-1;50;0.0;0.0;50;0.0
can-2;50;0.0;0.02;50;0.08
can-3;50;0.0;0.0;50;0.28
china-cabinet-1;50;0.0;0.0;50;0.0
china-cabinet-2;50;0.0;0.0;50;0.0
china-cabinet-3;50;0.0;0.0;50;0.12
computer-keyboard-1;50;0.02;0.12;50;0.02
computer-keyboard-2;50;0.04;0.18;50;0.04
computer-keyboard-3;50;0.12;0.66;50;0.12
cowboy-hat-1;50;0.04;0.38;50;0.04
cowboy-hat-2;50;0.02;0.1;50;0.02
cowboy-hat-3;50;0.0;0.2;50;0.0
crash-helmet-1;50;0.08;0.14;50;0.08
crash-helmet-2;50;0.02;0.06;50;0.04
crate-1;50;0.02;0.56;50;0.02
day-bed-1;50;0.26;0.42;50;0.26
dining-table-1;50;0.6;0.8;50;0.6
dining-table-2;50;0.0;0.0;50;0.24
dining-table-3;50;0.32;0.76;50;0.74
dishwasher-1;50;0.06;0.16;50;0.06
dishwasher-2;50;0.08;0.38;50;0.08
dishwasher-3;50;0.04;0.14;50;0.04
earphone-2;50;0.0;0.0;0;
electric-locomotive-1;50;0.0;0.0;50;0.0
faucet-1;50;0.0;0.0;0;
flowerpot-2;50;0.14;0.38;50;0.14
faucet-2;50;0.0;0.0;0;
faucet-3;50;0.0;0.0;0;
fighter-jet;50;0.62;0.86;50;0.62
file-cabinet-1;50;0.04;0.22;50;0.04
file-cabinet-2;50;0.04;0.04;50;0.04
file-cabinet-3;50;0.18;0.26;50;0.18
flowerpot-1;50;0.0;0.18;50;0.0
football-helmet-1;50;0.2;0.22;50;0.22
flowerpot-3;50;0.02;0.08;50;0.02
folding-chair-1;50;0.16;0.48;50;0.16
folding-chair-2;50;0.1;0.34;50;0.72
iPod-1;50;0.1;0.28;50;0.1
grand-piano-1;50;0.2;0.34;50;0.2
knife-1;50;0.0;0.0;50;0.0
knife-2;50;0.02;0.18;50;0.02
