class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
907;wine bottle;50;;0.84;0.8936170212765957;0.84;0.8659793814432989;42;5;8
560;football helmet;50;;0.6;0.8823529411764706;0.6;0.7142857142857143;30;4;20
846;table lamp;150;;0.52;1.0;0.52;0.6842105263157895;78;0;72
579;grand piano, grand;50;;0.58;0.8055555555555556;0.58;0.6744186046511629;29;7;21
620;laptop, laptop computer;150;;0.6466666666666666;0.6423841059602649;0.6466666666666666;0.6445182724252492;97;54;53
508;computer keyboard, keypad;150;;0.4666666666666667;1.0;0.4666666666666667;0.6363636363636364;70;0;80
898;water bottle;50;;0.58;0.5918367346938775;0.58;0.5858585858585857;29;20;21
435;bathtub, bathing tub, bath, tub;150;;0.5066666666666667;0.6031746031746031;0.5066666666666667;0.5507246376811594;76;50;74
703;park bench;150;;0.43333333333333335;0.6372549019607843;0.43333333333333335;0.5158730158730159;65;37;85
763;revolver, six-gun, six-shooter;150;;0.3466666666666667;1.0;0.3466666666666667;0.5148514851485149;52;0;98
559;folding chair;100;;0.45;0.5921052631578947;0.45;0.5113636363636364;45;31;55
518;crash helmet;100;;0.37;0.6491228070175439;0.37;0.47133757961783446;37;20;63
861;toilet seat;50;;0.66;0.358695652173913;0.66;0.46478873239436624;33;59;17
448;birdhouse;150;;0.3;1.0;0.3;0.4615384615384615;45;0;105
657;missile;99;;0.5252525252525253;0.3939393939393939;0.5252525252525253;0.45021645021645024;52;80;47
883;vase;149;;0.38926174496644295;0.5321100917431193;0.38926174496644295;0.4496124031007752;58;51;91
402;acoustic guitar;50;;0.26;1.0;0.26;0.41269841269841273;13;0;37
404;airliner;100;;0.34;0.5074626865671642;0.34;0.407185628742515;34;33;66
414;backpack, back pack, knapsack, packsack, rucksack, haversack;100;;0.26;0.9285714285714286;0.26;0.40625;26;2;74
790;shopping basket;100;;0.31;0.5849056603773585;0.31;0.40522875816993464;31;22;69
895;warplane, military plane;50;;0.44;0.36666666666666664;0.44;0.4;22;38;28
738;pot, flowerpot;150;;0.24;1.0;0.24;0.3870967741935484;36;0;114
532;dining table, board;150;;0.25333333333333335;0.76;0.25333333333333335;0.38;38;12;112
412;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;149;;0.7046979865771812;0.2599009900990099;0.7046979865771812;0.379746835443038;105;299;44
504;coffee mug;150;;0.24;0.8780487804878049;0.24;0.37696335078534027;36;5;114
515;cowboy hat, ten-gallon hat;150;;0.23333333333333334;0.9722222222222222;0.23333333333333334;0.37634408602150543;35;1;115
413;assault rifle, assault gun;50;;0.4;0.3333333333333333;0.4;0.3636363636363636;20;40;30
881;upright, upright piano;100;;0.22;1.0;0.22;0.36065573770491804;22;0;78
721;pillow;150;;0.20666666666666667;1.0;0.20666666666666667;0.3425414364640884;31;0;119
814;speedboat;50;;0.2;0.8333333333333334;0.2;0.3225806451612903;10;2;40
897;washer, automatic washer, washing machine;150;;0.2;0.75;0.2;0.31578947368421056;30;10;120
665;moped;150;;0.15333333333333332;1.0;0.15333333333333332;0.2658959537572254;23;0;127
409;analog clock;50;;0.2;0.38461538461538464;0.2;0.2631578947368421;10;16;40
637;mailbox, letter box;150;;0.24;0.28125;0.24;0.2589928057553957;36;92;114
627;limousine, limo;50;;0.14;1.0;0.14;0.24561403508771928;7;0;43
664;monitor;150;;0.14;0.75;0.14;0.2359550561797753;21;7;129
761;remote control, remote;149;;0.1342281879194631;0.8695652173913043;0.1342281879194631;0.23255813953488375;20;3;129
659;mixing bowl;50;;0.28;0.16091954022988506;0.28;0.20437956204379562;14;73;36
534;dishwasher, dish washer, dishwashing machine;150;;0.11333333333333333;0.32075471698113206;0.11333333333333333;0.167487684729064;17;36;133
827;stove;150;;0.09333333333333334;0.7777777777777778;0.09333333333333334;0.16666666666666666;14;4;136
831;studio couch, day bed;50;;0.38;0.10106382978723404;0.38;0.15966386554621848;19;169;31
764;rifle;100;;0.1;0.30303030303030304;0.1;0.15037593984962405;10;23;90
650;microphone, mike;150;;0.08;1.0;0.08;0.14814814814814814;12;0;138
728;plastic bag;50;;0.14;0.15217391304347827;0.14;0.14583333333333334;7;39;43
453;bookcase;150;;0.07333333333333333;0.7333333333333333;0.07333333333333333;0.13333333333333333;11;4;139
742;printer;149;;0.0738255033557047;0.2391304347826087;0.0738255033557047;0.11282051282051282;11;35;138
632;loudspeaker, speaker, speaker unit, loudspeaker system, speaker system;150;;0.06;0.3;0.06;0.09999999999999999;9;21;141
751;racer, race car, racing car;50;;0.04;1.0;0.04;0.07692307692307693;2;0;48
759;reflex camera;150;;0.04;0.75;0.04;0.07594936708860758;6;2;144
668;mosque;50;;0.04;0.2222222222222222;0.04;0.06779661016949154;2;7;48
900;water tower;50;;0.04;0.18181818181818182;0.04;0.06557377049180327;2;9;48
651;microwave, microwave oven;150;;0.03333333333333333;0.8333333333333334;0.03333333333333333;0.06410256410256411;5;1;145
553;file, file cabinet, filing cabinet;150;;0.03333333333333333;0.7142857142857143;0.03333333333333333;0.06369426751592357;5;2;145
737;pop bottle, soda bottle;150;;0.03333333333333333;0.1;0.03333333333333333;0.05;5;45;145
519;crate;50;;0.02;0.1111111111111111;0.02;0.03389830508474577;1;8;49
605;iPod;50;;0.02;0.043478260869565216;0.02;0.0273972602739726;1;22;49
564;four-poster;100;;0.01;1.0;0.01;0.019801980198019802;1;0;99
809;soup bowl;100;;0.01;0.5;0.01;0.0196078431372549;1;1;99
623;letter opener, paper knife, paperknife;150;;0.006666666666666667;0.25;0.006666666666666667;0.012987012987012988;1;3;149
487;cellular telephone, cellular phone, cellphone, cell, mobile phone;150;;0.006666666666666667;0.25;0.006666666666666667;0.012987012987012988;1;3;149
0;tench, Tinca tinca;549;;0.0;0.0;0.0;0.0;0;0;549
495;china cabinet, china closet;150;;0.0;0.0;0.0;0.0;0;0;150
628;liner, ocean liner;50;;0.0;0.0;0.0;0.0;0;0;50
466;bullet train, bullet;50;;0.0;0.0;0.0;0.0;0;0;50
547;electric locomotive;50;;0.0;0.0;0.0;0.0;0;0;50
682;obelisk;50;;0.0;0.0;0.0;0.0;0;8;50
812;space shuttle;50;;0.0;0.0;0.0;0.0;0;8;50
720;pill bottle;50;;0.0;0.0;0.0;0.0;0;0;50
779;school bus;150;;0.0;0.0;0.0;0.0;0;0;150
817;sports car, sport car;50;;0.0;0.0;0.0;0.0;0;4;50
820;steam locomotive;50;;0.0;0.0;0.0;0.0;0;0;50
892;wall clock;99;;0.0;0.0;0.0;0.0;0;16;99
914;yawl;50;;0.0;0.0;0.0;0.0;0;0;50
