value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
acoustic-guitar-1;50;0.26;0.32;50;0.26
analog-clock-1;50;0.2;0.22;50;0.2
assault-rifle-1;50;0.4;0.4;50;0.4
backpack-1;50;0.5;0.62;50;0.58
backpack-2;50;0.02;0.46;50;0.44
bathtub-1;50;0.46;0.74;50;0.46
bathtub-2;50;0.54;0.9;50;0.54
bathtub-3;50;0.52;0.92;50;0.52
bed-1;50;0.0;0.0;50;0.0
bed-2;50;0.02;0.22;50;0.04
bench-1;50;0.8;0.94;50;0.8
bench-2;50;0.06;0.1;50;0.06
bench-3;50;0.44;0.56;50;0.44
birdhouse-1;50;0.14;0.18;50;0.14
birdhouse-2;50;0.4;0.4;50;0.4
birdhouse-3;50;0.36;0.6;50;0.36
bookshelf-1;50;0.0;0.06;50;0.0
bookshelf-2;50;0.02;0.12;50;0.02
bookshelf-3;50;0.2;0.2;50;0.2
bullet-train-1;50;0.0;0.0;50;0.0
bus-1;50;0.0;0.0;50;0.0
bus-2;50;0.0;0.0;50;0.0
bus-3;50;0.0;0.0;50;0.0
can-1;50;0.0;0.02;50;0.0
can-2;50;0.06;0.36;50;0.14
can-3;50;0.04;0.14;50;0.04
china-cabinet-1;50;0.0;0.04;50;0.0
china-cabinet-2;50;0.0;0.0;50;0.0
china-cabinet-3;50;0.0;0.0;50;0.02
computer-keyboard-1;50;0.42;0.48;50;0.42
computer-keyboard-2;50;0.3;0.4;50;0.3
computer-keyboard-3;50;0.68;0.82;50;0.68
cowboy-hat-1;50;0.26;0.56;50;0.26
cowboy-hat-2;50;0.06;0.24;50;0.06
cowboy-hat-3;50;0.38;0.58;50;0.38
crash-helmet-1;50;0.4;0.64;50;0.4
crash-helmet-2;50;0.34;0.6;50;0.42
crate-1;50;0.02;0.06;50;0.02
day-bed-1;50;0.38;0.52;50;0.38
dining-table-1;50;0.0;0.36;50;0.0
dining-table-2;50;0.0;0.0;50;0.14
dining-table-3;50;0.76;0.8;50;0.76
dishwasher-1;50;0.06;0.3;50;0.06
dishwasher-2;50;0.1;0.26;50;0.1
dishwasher-3;50;0.18;0.56;50;0.18
earphone-2;50;0.0;0.0;0;
electric-locomotive-1;50;0.0;0.02;50;0.0
faucet-1;50;0.0;0.0;0;
flowerpot-2;50;0.12;0.34;50;0.12
faucet-2;50;0.0;0.0;0;
faucet-3;50;0.0;0.0;0;
fighter-jet;50;0.44;0.9;50;0.44
file-cabinet-1;50;0.0;0.0;50;0.0
file-cabinet-2;50;0.0;0.0;50;0.0
file-cabinet-3;50;0.1;0.14;50;0.1
flowerpot-1;50;0.48;0.74;50;0.48
football-helmet-1;50;0.6;0.6;50;0.62
flowerpot-3;50;0.12;0.22;50;0.12
folding-chair-1;50;0.52;0.96;50;0.82
folding-chair-2;50;0.38;0.52;50;0.6
iPod-1;50;0.02;0.08;50;0.02
grand-piano-1;50;0.58;0.64;50;0.58
knife-1;50;0.0;0.16;50;0.0
knife-2;50;0.0;0.38;50;0.0
microwave-2;50;0.0;0.0;50;0.0
knife-3;50;0.02;0.1;50;0.02
laptop-1;50;0.74;0.84;50;0.74
laptop-2;50;0.78;0.92;50;0.84
laptop-3;50;0.42;0.78;50;0.42
limousine-1;50;0.14;0.36;50;0.46
loudspeaker-1;50;0.06;0.36;50;0.06
loudspeaker-2;50;0.12;0.38;50;0.12
loudspeaker-3;50;0.0;0.0;50;0.0
mailbox-1;50;0.32;0.56;50;0.32
mailbox-2;50;0.18;0.38;50;0.18
mailbox-3;50;0.22;0.36;50;0.22
microphone-1;50;0.0;0.08;50;0.0
microphone-2;50;0.0;0.02;50;0.0
microphone-3;50;0.24;0.32;50;0.24
microwave-1;50;0.1;0.12;50;0.1
moped-2;50;0.08;0.64;50;0.62
microwave-3;50;0.0;0.02;50;0.0
missile-2;50;0.64;0.72;50;0.64
mixing-bowl-1;50;0.28;0.42;50;0.3
mobile-phone-2;50;0.02;0.14;50;0.02
mobile-phone-1;50;0.0;0.02;50;0.0
mobile-phone-3;50;0.0;0.02;50;0.14
monitor-1;50;0.1;0.4;50;0.1
mosque-1;50;0.04;0.16;50;0.66
monitor-2;50;0.22;0.42;50;0.24
monitor-3;50;0.1;0.38;50;0.14
moped-1;50;0.08;0.36;50;0.08
mug-1;50;0.66;0.98;50;0.66
moped-3;50;0.3;0.4;50;0.36
mug-3;50;0.06;0.7;50;0.06
mug-2;50;0.0;0.02;50;0.0
trash-can-2;50;0.78;0.8;50;0.78
upright-piano-1;50;0.22;0.22;50;0.22
obelisk-1;50;0.0;0.0;50;0.18
ocean-liner-1;50;0.0;0.0;50;0.06
old-plane;50;0.0;0.12;50;0.22
pas-plane;50;0.68;1.0;50;0.78
pill-bottle-1;50;0.0;0.0;50;0.14
pillow-1;50;0.26;0.3;50;0.26
pillow-2;50;0.18;0.2;50;0.18
pillow-3;50;0.18;0.24;50;0.18
plastic-bag-1;50;0.14;0.44;50;0.46
printer-1;50;0.02;0.16;50;0.02
printer-2;50;0.16;0.22;50;0.16
race-car-1;50;0.04;0.4;50;0.56
reflex-camera-1;50;0.0;0.02;50;0.0
reflex-camera-2;50;0.0;0.0;50;0.0
skateboard-1;50;0.0;0.0;0;
reflex-camera-3;50;0.12;0.3;50;0.12
remote-2;50;0.18;0.18;50;0.18
remote-3;50;0.02;0.02;50;0.02
revolver-2;50;0.4;0.4;50;0.4
revolver-1;50;0.4;0.4;50;0.4
revolver-3;50;0.24;0.4;50;0.24
rifle-1;50;0.2;0.5;50;0.4
skateboard-3;50;0.0;0.0;0;
rifle-2;50;0.0;0.6;50;0.38
shopping-basket-1;50;0.48;0.82;50;0.48
shopping-basket-2;50;0.14;0.8;50;0.14
sofa-1;50;0.0;0.0;0;
skateboard-2;50;0.0;0.0;0;
sofa-3;50;0.0;0.0;0;
sofa-2;50;0.0;0.0;0;
water-bottle-1;50;0.58;0.78;50;0.68
water-tower-1;50;0.04;0.34;50;0.04
soup-bowl-1;50;0.0;0.76;50;0.76
soup-bowl-2;50;0.02;0.8;50;0.72
space-shuttle-1;50;0.0;0.0;50;0.24
speedboat-1;50;0.2;0.36;50;0.2
sports-car-1;50;0.0;0.8;50;0.8
steam-locomotive-1;50;0.0;0.0;50;0.0
stove-1;50;0.02;0.14;50;0.02
stove-2;50;0.02;0.12;50;0.02
stove-3;50;0.24;0.3;50;0.24
table-lamp-1;50;0.78;0.82;50;0.78
table-lamp-2;50;0.24;0.5;50;0.24
table-lamp-3;50;0.54;0.7;50;0.54
toilet-seat-1;50;0.66;0.94;50;0.66
trash-can-1;50;0.74;0.8;50;0.74
yawl-1;50;0.0;0.4;50;0.38
washer-3;50;0.2;0.22;50;0.2
upright-piano-2;50;0.22;0.26;50;0.24
vase-2;50;0.8;0.8;50;0.8
vase-3;50;0.04;0.54;50;0.28
washer-2;50;0.22;0.22;50;0.22
washer-1;50;0.18;0.18;50;0.18
wall-clock-2;50;0.0;0.2;50;0.2
wine-bottle-1;50;0.84;0.98;50;0.96
earphone-1;49;0.0;0.0;0;
missile-1;49;0.40816326530612246;0.4897959183673469;49;0.4489795918367347
printer-3;49;0.04081632653061224;0.14285714285714285;49;0.04081632653061224
remote-1;49;0.20408163265306123;0.24489795918367346;49;0.20408163265306123
wall-clock-1;49;0.0;0.20408163265306123;49;0.10204081632653061
trash-can-3;49;0.5918367346938775;0.7346938775510204;49;0.5918367346938775
vase-1;49;0.32653061224489793;0.6326530612244898;49;0.32653061224489793
