value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;549;0.0;0.0;0;
bottle;300;0.25333333333333335;0.38;300;0.32666666666666666
bag;150;0.22;0.5066666666666667;150;0.49333333333333335
airplane;150;0.37333333333333335;0.6733333333333333;150;0.48
basket;150;0.21333333333333335;0.56;150;0.21333333333333335
bathtub;150;0.5066666666666667;0.8533333333333334;150;0.5066666666666667
birdhouse;150;0.3;0.3933333333333333;150;0.3
bench;150;0.43333333333333335;0.5333333333333333;150;0.43333333333333335
bowl;150;0.1;0.66;150;0.5933333333333334
bookshelf;150;0.07333333333333333;0.12666666666666668;150;0.07333333333333333
bus;150;0.0;0.0;150;0.0
cabinet;150;0.0;0.013333333333333334;150;0.006666666666666667
chair;150;0.52;0.8066666666666666;150;0.6933333333333334
camera;150;0.04;0.10666666666666667;150;0.04
cap;150;0.23333333333333334;0.46;150;0.23333333333333334
car;150;0.06;0.52;150;0.6066666666666667
display;150;0.14;0.4;150;0.16
dishwasher;150;0.11333333333333333;0.37333333333333335;150;0.11333333333333333
flowerpot;150;0.24;0.43333333333333335;150;0.24
file cabinet;150;0.03333333333333333;0.04666666666666667;150;0.03333333333333333
train;150;0.0;0.006666666666666667;150;0.0
washer;150;0.2;0.20666666666666667;150;0.2
keyboard;150;0.4666666666666667;0.5666666666666667;150;0.4666666666666667
helmet;150;0.44666666666666666;0.6133333333333333;150;0.48
knife;150;0.006666666666666667;0.21333333333333335;150;0.006666666666666667
loudspeaker;150;0.06;0.24666666666666667;150;0.06
laptop;150;0.6466666666666666;0.8466666666666667;150;0.6666666666666666
lamp;150;0.52;0.6733333333333333;150;0.52
microphone;150;0.08;0.14;150;0.08
microwaves;150;0.03333333333333333;0.04666666666666667;150;0.03333333333333333
motorbike;150;0.15333333333333332;0.4666666666666667;150;0.35333333333333333
mailbox;150;0.24;0.43333333333333335;150;0.24
mug;150;0.24;0.5666666666666667;150;0.24
pistol;150;0.3466666666666667;0.4;150;0.3466666666666667
pillow;150;0.20666666666666667;0.24666666666666667;150;0.20666666666666667
piano;150;0.34;0.37333333333333335;150;0.3466666666666667
tower;150;0.02666666666666667;0.16666666666666666;150;0.29333333333333333
telephone;150;0.006666666666666667;0.06;150;0.05333333333333334
watercraft;150;0.06666666666666667;0.25333333333333335;150;0.21333333333333335
rifle;150;0.2;0.5;150;0.3933333333333333
table;150;0.25333333333333335;0.38666666666666666;150;0.3
stove;150;0.09333333333333334;0.18666666666666668;150;0.09333333333333334
remote;149;0.1342281879194631;0.1476510067114094;149;0.1342281879194631
clock;149;0.06711409395973154;0.2080536912751678;149;0.16778523489932887
trash bin;149;0.7046979865771812;0.7785234899328859;149;0.7046979865771812
rocket;149;0.348993288590604;0.40268456375838924;149;0.4429530201342282
jar;149;0.38926174496644295;0.6577181208053692;149;0.4697986577181208
printer;149;0.0738255033557047;0.174496644295302;149;0.0738255033557047
bed;100;0.01;0.11;100;0.02
earphone;50;0.02;0.08;50;0.02
guitar;50;0.26;0.32;50;0.26
sofa;50;0.38;0.52;50;0.38
