class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
907;wine bottle;50;;0.86;0.7413793103448276;0.86;0.7962962962962963;43;15;7
560;football helmet;50;;0.6;1.0;0.6;0.7499999999999999;30;0;20
508;computer keyboard, keypad;150;;0.5666666666666667;1.0;0.5666666666666667;0.7234042553191489;85;0;65
579;grand piano, grand;50;;0.54;0.84375;0.54;0.6585365853658537;27;5;23
435;bathtub, bathing tub, bath, tub;150;;0.52;0.8478260869565217;0.52;0.6446280991735537;78;14;72
846;table lamp;150;;0.4666666666666667;1.0;0.4666666666666667;0.6363636363636364;70;0;80
898;water bottle;50;;0.58;0.6304347826086957;0.58;0.6041666666666666;29;17;21
620;laptop, laptop computer;150;;0.7;0.481651376146789;0.7;0.5706521739130436;105;113;45
763;revolver, six-gun, six-shooter;150;;0.3933333333333333;1.0;0.3933333333333333;0.5645933014354066;59;0;91
518;crash helmet;100;;0.4;0.851063829787234;0.4;0.54421768707483;40;7;60
703;park bench;150;;0.44;0.6875;0.44;0.5365853658536586;66;30;84
861;toilet seat;50;;0.62;0.36904761904761907;0.62;0.4626865671641791;31;53;19
883;vase;149;;0.3959731543624161;0.5462962962962963;0.3959731543624161;0.45914396887159536;59;49;90
559;folding chair;100;;0.37;0.5522388059701493;0.37;0.4431137724550898;37;30;63
790;shopping basket;100;;0.31;0.775;0.31;0.44285714285714284;31;9;69
402;acoustic guitar;50;;0.28;1.0;0.28;0.43750000000000006;14;0;36
414;backpack, back pack, knapsack, packsack, rucksack, haversack;100;;0.28;0.9032258064516129;0.28;0.42748091603053445;28;3;72
448;birdhouse;150;;0.2733333333333333;0.9761904761904762;0.2733333333333333;0.4270833333333333;41;1;109
664;monitor;150;;0.2866666666666667;0.7166666666666667;0.2866666666666667;0.4095238095238095;43;17;107
881;upright, upright piano;100;;0.25;1.0;0.25;0.4;25;0;75
504;coffee mug;150;;0.26;0.8666666666666667;0.26;0.4;39;6;111
404;airliner;100;;0.31;0.5081967213114754;0.31;0.3850931677018634;31;30;69
413;assault rifle, assault gun;50;;0.4;0.36363636363636365;0.4;0.380952380952381;20;35;30
532;dining table, board;150;;0.26;0.6610169491525424;0.26;0.37320574162679426;39;20;111
895;warplane, military plane;50;;0.86;0.23756906077348067;0.86;0.3722943722943723;43;138;7
721;pillow;150;;0.22666666666666666;1.0;0.22666666666666666;0.3695652173913044;34;0;116
657;missile;99;;0.5050505050505051;0.28735632183908044;0.5050505050505051;0.3663003663003663;50;124;49
412;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;149;;0.738255033557047;0.2386117136659436;0.738255033557047;0.3606557377049181;110;351;39
637;mailbox, letter box;150;;0.30666666666666664;0.323943661971831;0.30666666666666664;0.3150684931506849;46;96;104
814;speedboat;50;;0.2;0.7142857142857143;0.2;0.3125;10;4;40
659;mixing bowl;50;;0.46;0.23;0.46;0.30666666666666664;23;77;27
627;limousine, limo;50;;0.18;1.0;0.18;0.3050847457627119;9;0;41
897;washer, automatic washer, washing machine;150;;0.19333333333333333;0.6590909090909091;0.19333333333333333;0.29896907216494845;29;15;121
738;pot, flowerpot;150;;0.16666666666666666;1.0;0.16666666666666666;0.2857142857142857;25;0;125
409;analog clock;50;;0.2;0.45454545454545453;0.2;0.2777777777777778;10;12;40
665;moped;150;;0.14666666666666667;1.0;0.14666666666666667;0.2558139534883721;22;0;128
515;cowboy hat, ten-gallon hat;150;;0.13333333333333333;0.9523809523809523;0.13333333333333333;0.23391812865497078;20;1;130
761;remote control, remote;149;;0.1342281879194631;0.8695652173913043;0.1342281879194631;0.23255813953488375;20;3;129
827;stove;150;;0.12;0.75;0.12;0.20689655172413793;18;6;132
831;studio couch, day bed;50;;0.44;0.09734513274336283;0.44;0.15942028985507248;22;204;28
453;bookcase;150;;0.07333333333333333;0.9166666666666666;0.07333333333333333;0.1358024691358025;11;1;139
742;printer;149;;0.0738255033557047;0.2972972972972973;0.0738255033557047;0.11827956989247312;11;26;138
623;letter opener, paper knife, paperknife;150;;0.06666666666666667;0.47619047619047616;0.06666666666666667;0.11695906432748539;10;11;140
764;rifle;100;;0.06;1.0;0.06;0.11320754716981131;6;0;94
759;reflex camera;150;;0.06;0.8181818181818182;0.06;0.11180124223602485;9;2;141
632;loudspeaker, speaker, speaker unit, loudspeaker system, speaker system;150;;0.06666666666666667;0.3125;0.06666666666666667;0.10989010989010989;10;22;140
900;water tower;50;;0.06;0.3;0.06;0.09999999999999999;3;7;47
650;microphone, mike;150;;0.05333333333333334;0.5;0.05333333333333334;0.0963855421686747;8;8;142
651;microwave, microwave oven;150;;0.04666666666666667;0.875;0.04666666666666667;0.08860759493670886;7;1;143
519;crate;50;;0.06;0.14285714285714285;0.06;0.08450704225352111;3;18;47
728;plastic bag;50;;0.06;0.10714285714285714;0.06;0.07692307692307691;3;25;47
553;file, file cabinet, filing cabinet;150;;0.02666666666666667;0.6666666666666666;0.02666666666666667;0.05128205128205129;4;2;146
534;dishwasher, dish washer, dishwashing machine;150;;0.02666666666666667;0.3076923076923077;0.02666666666666667;0.049079754601227;4;9;146
914;yawl;50;;0.02;1.0;0.02;0.0392156862745098;1;0;49
547;electric locomotive;50;;0.02;1.0;0.02;0.0392156862745098;1;0;49
820;steam locomotive;50;;0.02;1.0;0.02;0.0392156862745098;1;0;49
605;iPod;50;;0.02;0.037037037037037035;0.02;0.025974025974025972;1;26;49
487;cellular telephone, cellular phone, cellphone, cell, mobile phone;150;;0.013333333333333334;0.25;0.013333333333333334;0.025316455696202535;2;6;148
737;pop bottle, soda bottle;150;;0.006666666666666667;0.041666666666666664;0.006666666666666667;0.011494252873563218;1;23;149
0;tench, Tinca tinca;549;;0.0;0.0;0.0;0.0;0;0;549
668;mosque;50;;0.0;0.0;0.0;0.0;0;6;50
466;bullet train, bullet;50;;0.0;0.0;0.0;0.0;0;0;50
495;china cabinet, china closet;150;;0.0;0.0;0.0;0.0;0;0;150
628;liner, ocean liner;50;;0.0;0.0;0.0;0.0;0;0;50
564;four-poster;100;;0.0;0.0;0.0;0.0;0;0;100
682;obelisk;50;;0.0;0.0;0.0;0.0;0;5;50
812;space shuttle;50;;0.0;0.0;0.0;0.0;0;13;50
779;school bus;150;;0.0;0.0;0.0;0.0;0;0;150
751;racer, race car, racing car;50;;0.0;0.0;0.0;0.0;0;0;50
720;pill bottle;50;;0.0;0.0;0.0;0.0;0;0;50
809;soup bowl;100;;0.0;0.0;0.0;0.0;0;1;100
817;sports car, sport car;50;;0.0;0.0;0.0;0.0;0;8;50
892;wall clock;99;;0.0;0.0;0.0;0.0;0;17;99
