value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;549;0.0;0.0;0;
bottle;300;0.24333333333333335;0.34;300;0.29333333333333333
bag;150;0.20666666666666667;0.6733333333333333;150;0.5133333333333333
airplane;150;0.49333333333333335;0.8066666666666666;150;0.7133333333333334
basket;150;0.22666666666666666;0.6466666666666666;150;0.22666666666666666
bathtub;150;0.52;0.9066666666666666;150;0.52
birdhouse;150;0.2733333333333333;0.36;150;0.2733333333333333
bench;150;0.44;0.6266666666666667;150;0.44
bowl;150;0.15333333333333332;0.7;150;0.6733333333333333
bookshelf;150;0.07333333333333333;0.12666666666666668;150;0.07333333333333333
bus;150;0.0;0.006666666666666667;150;0.0
cabinet;150;0.0;0.006666666666666667;150;0.013333333333333334
chair;150;0.4533333333333333;0.82;150;0.66
camera;150;0.06;0.17333333333333334;150;0.06666666666666667
cap;150;0.13333333333333333;0.5133333333333333;150;0.14666666666666667
car;150;0.06;0.56;150;0.6333333333333333
display;150;0.2866666666666667;0.5933333333333334;150;0.2866666666666667
dishwasher;150;0.02666666666666667;0.28;150;0.02666666666666667
flowerpot;150;0.16666666666666666;0.47333333333333333;150;0.16666666666666666
file cabinet;150;0.02666666666666667;0.13333333333333333;150;0.02666666666666667
train;150;0.013333333333333334;0.04666666666666667;150;0.013333333333333334
washer;150;0.19333333333333333;0.21333333333333335;150;0.19333333333333333
keyboard;150;0.5666666666666667;0.8133333333333334;150;0.5666666666666667
helmet;150;0.4666666666666667;0.6133333333333333;150;0.47333333333333333
knife;150;0.06666666666666667;0.4666666666666667;150;0.06666666666666667
loudspeaker;150;0.06666666666666667;0.18;150;0.06666666666666667
laptop;150;0.7;0.9666666666666667;150;0.7
lamp;150;0.4666666666666667;0.6866666666666666;150;0.4666666666666667
microphone;150;0.05333333333333334;0.2;150;0.05333333333333334
microwaves;150;0.04666666666666667;0.07333333333333333;150;0.04666666666666667
motorbike;150;0.14666666666666667;0.52;150;0.37333333333333335
mailbox;150;0.30666666666666664;0.5266666666666666;150;0.30666666666666664
mug;150;0.26;0.5933333333333334;150;0.26
pistol;150;0.3933333333333333;0.41333333333333333;150;0.3933333333333333
pillow;150;0.22666666666666666;0.2866666666666667;150;0.22666666666666666
piano;150;0.3466666666666667;0.44666666666666666;150;0.3466666666666667
tower;150;0.02;0.28;150;0.3
telephone;150;0.013333333333333334;0.12;150;0.07333333333333333
watercraft;150;0.07333333333333333;0.2733333333333333;150;0.21333333333333335
rifle;150;0.17333333333333334;0.4266666666666667;150;0.3933333333333333
table;150;0.26;0.4;150;0.26666666666666666
stove;150;0.12;0.17333333333333334;150;0.12
remote;149;0.1342281879194631;0.1476510067114094;149;0.1342281879194631
clock;149;0.06711409395973154;0.2080536912751678;149;0.14093959731543623
trash bin;149;0.738255033557047;0.7919463087248322;149;0.738255033557047
rocket;149;0.33557046979865773;0.5100671140939598;149;0.44966442953020136
jar;149;0.3959731543624161;0.785234899328859;149;0.47651006711409394
printer;149;0.0738255033557047;0.19463087248322147;149;0.0738255033557047
bed;100;0.0;0.18;100;0.01
earphone;50;0.02;0.3;50;0.02
guitar;50;0.28;0.38;50;0.28
sofa;50;0.44;0.56;50;0.44
