value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
M_Tri_Plastic1_Black;800;0.19875;0.4;745;0.2791946308724832
M_Tri_Plastic1_Cyan;800;0.1825;0.36125;745;0.27114093959731544
M_Tri_Plastic1_Yellow;800;0.19;0.365;745;0.2644295302013423
M_Tri_Plastic1_Green;800;0.17;0.35125;745;0.2523489932885906
M_Tri_Plastic1_Grey;799;0.19524405506883605;0.3904881101376721;744;0.2661290322580645
M_Tri_Plastic1_Blue;799;0.2065081351689612;0.37546933667083854;744;0.28763440860215056
M_Tri_Plastic1_Red;799;0.1927409261576971;0.376720901126408;744;0.2782258064516129
M_Tri_Plastic1_Pink;798;0.19172932330827067;0.37343358395989973;743;0.2718707940780619
M_Tri_Plastic1_White;798;0.17167919799498746;0.3659147869674185;744;0.24596774193548387
Default;160;0.34375;0.56875;149;0.4697986577181208
