value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;549;0.0;0.0;0;
bottle;300;0.27;0.37333333333333335;300;0.31333333333333335
bag;150;0.18;0.5266666666666666;150;0.43333333333333335
airplane;150;0.38;0.7333333333333333;150;0.5933333333333334
basket;150;0.35333333333333333;0.7;150;0.36666666666666664
bathtub;150;0.30666666666666664;0.8133333333333334;150;0.30666666666666664
birdhouse;150;0.2733333333333333;0.36666666666666664;150;0.2733333333333333
bench;150;0.5066666666666667;0.6933333333333334;150;0.5066666666666667
bowl;150;0.26;0.6133333333333333;150;0.6133333333333333
bookshelf;150;0.08;0.12;150;0.08
bus;150;0.0;0.0;150;0.006666666666666667
cabinet;150;0.0;0.0;150;0.0
chair;150;0.30666666666666664;0.54;150;0.5266666666666666
camera;150;0.03333333333333333;0.07333333333333333;150;0.03333333333333333
cap;150;0.1;0.5733333333333334;150;0.10666666666666667
car;150;0.24;0.5733333333333334;150;0.6133333333333333
display;150;0.26;0.56;150;0.26666666666666666
dishwasher;150;0.05333333333333334;0.18666666666666668;150;0.05333333333333334
flowerpot;150;0.35333333333333333;0.6666666666666666;150;0.35333333333333333
file cabinet;150;0.04;0.16666666666666666;150;0.04
train;150;0.0;0.02;150;0.0
washer;150;0.16666666666666666;0.20666666666666667;150;0.16666666666666666
keyboard;150;0.38;0.7666666666666667;150;0.38
helmet;150;0.34;0.58;150;0.3933333333333333
knife;150;0.04666666666666667;0.24666666666666667;150;0.04666666666666667
loudspeaker;150;0.12666666666666668;0.26;150;0.12666666666666668
laptop;150;0.32666666666666666;0.8933333333333333;150;0.6866666666666666
lamp;150;0.3933333333333333;0.6466666666666666;150;0.3933333333333333
microphone;150;0.22666666666666666;0.62;150;0.22666666666666666
microwaves;150;0.02666666666666667;0.05333333333333334;150;0.02666666666666667
motorbike;150;0.23333333333333334;0.5133333333333333;150;0.3333333333333333
mailbox;150;0.2866666666666667;0.4866666666666667;150;0.2866666666666667
mug;150;0.12;0.56;150;0.12
pistol;150;0.35333333333333333;0.4066666666666667;150;0.35333333333333333
pillow;150;0.14;0.2733333333333333;150;0.14
piano;150;0.3933333333333333;0.4866666666666667;150;0.41333333333333333
tower;150;0.0;0.02666666666666667;150;0.24
telephone;150;0.013333333333333334;0.05333333333333334;150;0.04666666666666667
watercraft;150;0.1;0.26;150;0.22
rifle;150;0.28;0.44666666666666666;150;0.3933333333333333
table;150;0.26666666666666666;0.5266666666666666;150;0.4
stove;150;0.11333333333333333;0.16;150;0.11333333333333333
remote;149;0.1342281879194631;0.1476510067114094;149;0.1342281879194631
clock;149;0.06711409395973154;0.19463087248322147;149;0.174496644295302
trash bin;149;0.7785234899328859;0.7986577181208053;149;0.7785234899328859
rocket;149;0.0;0.46308724832214765;149;0.47651006711409394
jar;149;0.4563758389261745;0.785234899328859;149;0.5369127516778524
printer;149;0.06711409395973154;0.18791946308724833;149;0.06711409395973154
bed;100;0.0;0.09;100;0.0
earphone;50;0.06;0.36;50;0.06
guitar;50;0.2;0.34;50;0.2
sofa;50;0.34;0.46;50;0.34
