value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
acoustic-guitar-1;50;0.38;0.42;50;0.38
analog-clock-1;50;0.22;0.22;50;0.22
assault-rifle-1;50;0.4;0.4;50;0.4
backpack-1;50;0.54;0.62;50;0.56
backpack-2;50;0.04;0.4;50;0.42
bathtub-1;50;0.54;0.8;50;0.54
bathtub-2;50;0.4;0.82;50;0.4
bathtub-3;50;0.32;0.92;50;0.32
bed-1;50;0.0;0.1;50;0.04
bed-2;50;0.06;0.14;50;0.08
bench-1;50;0.8;0.88;50;0.8
bench-2;50;0.04;0.3;50;0.04
bench-3;50;0.82;1.0;50;0.82
birdhouse-1;50;0.1;0.2;50;0.1
birdhouse-2;50;0.4;0.42;50;0.4
birdhouse-3;50;0.4;0.52;50;0.4
bookshelf-1;50;0.0;0.12;50;0.0
bookshelf-2;50;0.08;0.22;50;0.08
bookshelf-3;50;0.2;0.2;50;0.2
bullet-train-1;50;0.04;0.2;50;0.04
bus-1;50;0.0;0.0;50;0.0
bus-2;50;0.0;0.0;50;0.0
bus-3;50;0.0;0.0;50;0.0
can-1;50;0.0;0.02;50;0.0
can-2;50;0.0;0.3;50;0.08
can-3;50;0.0;0.24;50;0.04
china-cabinet-1;50;0.0;0.2;50;0.0
china-cabinet-2;50;0.0;0.0;50;0.0
china-cabinet-3;50;0.0;0.0;50;0.04
computer-keyboard-1;50;0.38;0.5;50;0.38
computer-keyboard-2;50;0.34;0.4;50;0.34
computer-keyboard-3;50;0.74;0.86;50;0.74
cowboy-hat-1;50;0.12;0.66;50;0.12
cowboy-hat-2;50;0.14;0.18;50;0.14
cowboy-hat-3;50;0.08;0.76;50;0.08
crash-helmet-1;50;0.68;0.82;50;0.68
crash-helmet-2;50;0.56;0.76;50;0.56
crate-1;50;0.06;0.18;50;0.06
day-bed-1;50;0.4;0.62;50;0.4
dining-table-1;50;0.1;0.56;50;0.1
dining-table-2;50;0.0;0.0;50;0.18
dining-table-3;50;0.3;0.78;50;0.3
dishwasher-1;50;0.08;0.28;50;0.08
dishwasher-2;50;0.12;0.26;50;0.12
dishwasher-3;50;0.08;0.38;50;0.08
earphone-2;50;0.0;0.0;0;
electric-locomotive-1;50;0.0;0.06;50;0.02
faucet-1;50;0.0;0.0;0;
flowerpot-2;50;0.0;0.14;50;0.0
faucet-2;50;0.0;0.0;0;
faucet-3;50;0.0;0.0;0;
fighter-jet;50;0.2;1.0;50;0.2
file-cabinet-1;50;0.0;0.0;50;0.0
file-cabinet-2;50;0.0;0.0;50;0.0
file-cabinet-3;50;0.16;0.18;50;0.16
flowerpot-1;50;0.18;0.62;50;0.18
football-helmet-1;50;0.6;0.62;50;0.7
flowerpot-3;50;0.06;0.18;50;0.06
folding-chair-1;50;0.24;0.82;50;0.64
folding-chair-2;50;0.22;0.54;50;0.68
iPod-1;50;0.0;0.06;50;0.0
grand-piano-1;50;0.8;0.82;50;0.8
knife-1;50;0.0;0.0;50;0.06
knife-2;50;0.0;0.26;50;0.0
microwave-2;50;0.0;0.02;50;0.0
knife-3;50;0.0;0.04;50;0.0
laptop-1;50;0.7;0.8;50;0.7
laptop-2;50;0.74;0.8;50;0.74
laptop-3;50;0.62;0.66;50;0.62
limousine-1;50;0.16;0.26;50;0.46
loudspeaker-1;50;0.04;0.38;50;0.04
loudspeaker-2;50;0.32;0.44;50;0.32
loudspeaker-3;50;0.0;0.0;50;0.0
mailbox-1;50;0.6;0.74;50;0.6
mailbox-2;50;0.38;0.48;50;0.38
mailbox-3;50;0.18;0.38;50;0.18
microphone-1;50;0.04;0.2;50;0.04
microphone-2;50;0.06;0.1;50;0.06
microphone-3;50;0.78;0.8;50;0.78
microwave-1;50;0.06;0.18;50;0.06
moped-2;50;0.1;0.8;50;0.8
microwave-3;50;0.0;0.02;50;0.0
missile-2;50;0.52;0.62;50;0.52
mixing-bowl-1;50;0.24;0.44;50;0.24
mobile-phone-2;50;0.02;0.08;50;0.02
mobile-phone-1;50;0.0;0.02;50;0.0
mobile-phone-3;50;0.0;0.04;50;0.02
monitor-1;50;0.04;0.4;50;0.04
mosque-1;50;0.1;0.3;50;0.8
monitor-2;50;0.14;0.38;50;0.14
monitor-3;50;0.0;0.3;50;0.0
moped-1;50;0.42;0.56;50;0.42
mug-1;50;0.28;0.88;50;0.28
moped-3;50;0.32;0.52;50;0.44
mug-3;50;0.06;0.66;50;0.06
mug-2;50;0.02;0.06;50;0.02
trash-can-2;50;0.8;0.8;50;0.8
upright-piano-1;50;0.22;0.26;50;0.22
obelisk-1;50;0.0;0.0;50;0.18
ocean-liner-1;50;0.02;0.08;50;0.28
old-plane;50;0.0;0.26;50;0.02
pas-plane;50;0.84;0.98;50;0.84
pill-bottle-1;50;0.0;0.0;50;0.2
pillow-1;50;0.22;0.24;50;0.22
pillow-2;50;0.02;0.18;50;0.02
pillow-3;50;0.14;0.14;50;0.14
plastic-bag-1;50;0.0;0.1;50;0.18
printer-1;50;0.06;0.2;50;0.06
printer-2;50;0.2;0.28;50;0.2
race-car-1;50;0.08;0.4;50;0.5
reflex-camera-1;50;0.0;0.0;50;0.0
reflex-camera-2;50;0.0;0.0;50;0.0
skateboard-1;50;0.0;0.0;0;
reflex-camera-3;50;0.3;0.54;50;0.3
remote-2;50;0.16;0.2;50;0.16
remote-3;50;0.02;0.02;50;0.02
revolver-2;50;0.4;0.4;50;0.4
revolver-1;50;0.4;0.4;50;0.4
revolver-3;50;0.4;0.4;50;0.4
rifle-1;50;0.1;0.5;50;0.4
skateboard-3;50;0.0;0.0;0;
rifle-2;50;0.0;0.44;50;0.4
shopping-basket-1;50;0.6;0.94;50;0.6
shopping-basket-2;50;0.12;0.8;50;0.12
sofa-1;50;0.0;0.0;0;
skateboard-2;50;0.0;0.0;0;
sofa-3;50;0.0;0.0;0;
sofa-2;50;0.0;0.0;0;
water-bottle-1;50;0.8;0.8;50;0.8
water-tower-1;50;0.28;0.6;50;0.3
soup-bowl-1;50;0.0;0.12;50;0.86
soup-bowl-2;50;0.0;0.66;50;0.8
space-shuttle-1;50;0.0;0.0;50;0.34
speedboat-1;50;0.1;0.24;50;0.1
