value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;549;0.0;0.0;0;
bottle;300;0.24666666666666667;0.39;300;0.32
bag;150;0.19333333333333333;0.37333333333333335;150;0.38666666666666666
airplane;150;0.3466666666666667;0.7466666666666667;150;0.35333333333333333
basket;150;0.26;0.64;150;0.26
bathtub;150;0.42;0.8466666666666667;150;0.42
birdhouse;150;0.3;0.38;150;0.3
bench;150;0.5533333333333333;0.7266666666666667;150;0.5533333333333333
bowl;150;0.08;0.4066666666666667;150;0.6333333333333333
bookshelf;150;0.09333333333333334;0.18;150;0.09333333333333334
bus;150;0.0;0.0;150;0.0
cabinet;150;0.0;0.06666666666666667;150;0.013333333333333334
chair;150;0.37333333333333335;0.7;150;0.66
camera;150;0.1;0.18;150;0.1
cap;150;0.11333333333333333;0.5333333333333333;150;0.11333333333333333
car;150;0.08666666666666667;0.46;150;0.5866666666666667
display;150;0.06;0.36;150;0.06
dishwasher;150;0.09333333333333334;0.30666666666666664;150;0.09333333333333334
flowerpot;150;0.08;0.31333333333333335;150;0.08
file cabinet;150;0.05333333333333334;0.06;150;0.05333333333333334
train;150;0.013333333333333334;0.08666666666666667;150;0.02
washer;150;0.16666666666666666;0.18666666666666668;150;0.16666666666666666
keyboard;150;0.4866666666666667;0.5866666666666667;150;0.4866666666666667
helmet;150;0.6133333333333333;0.7333333333333333;150;0.6466666666666666
knife;150;0.0;0.1;150;0.02
loudspeaker;150;0.12;0.2733333333333333;150;0.12
laptop;150;0.6866666666666666;0.7533333333333333;150;0.6866666666666666
lamp;150;0.5533333333333333;0.6733333333333333;150;0.5533333333333333
microphone;150;0.29333333333333333;0.36666666666666664;150;0.29333333333333333
microwaves;150;0.02;0.07333333333333333;150;0.02
motorbike;150;0.28;0.6266666666666667;150;0.5533333333333333
mailbox;150;0.38666666666666666;0.5333333333333333;150;0.38666666666666666
mug;150;0.12;0.5333333333333333;150;0.12
pistol;150;0.4;0.4;150;0.4
pillow;150;0.12666666666666668;0.18666666666666668;150;0.12666666666666668
piano;150;0.44;0.48;150;0.4533333333333333
tower;150;0.12666666666666668;0.3;150;0.4266666666666667
telephone;150;0.006666666666666667;0.04666666666666667;150;0.013333333333333334
watercraft;150;0.04;0.22;150;0.26666666666666666
rifle;150;0.16666666666666666;0.44666666666666666;150;0.4
table;150;0.13333333333333333;0.44666666666666666;150;0.19333333333333333
stove;150;0.11333333333333333;0.21333333333333335;150;0.11333333333333333
remote;149;0.12751677852348994;0.14093959731543623;149;0.12751677852348994
clock;149;0.0738255033557047;0.20134228187919462;149;0.21476510067114093
trash bin;149;0.7583892617449665;0.7986577181208053;149;0.7583892617449665
rocket;149;0.3288590604026846;0.4429530201342282;149;0.4429530201342282
jar;149;0.28187919463087246;0.6510067114093959;149;0.28859060402684567
printer;149;0.10738255033557047;0.24161073825503357;149;0.10738255033557047
bed;100;0.03;0.12;100;0.06
earphone;50;0.0;0.06;50;0.0
guitar;50;0.38;0.42;50;0.38
sofa;50;0.4;0.62;50;0.4
