class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
907;wine bottle;50;;0.72;1.0;0.72;0.8372093023255813;36;0;14
579;grand piano, grand;50;;0.82;0.6949152542372882;0.82;0.7522935779816514;41;18;9
560;football helmet;50;;0.6;1.0;0.6;0.7499999999999999;30;0;20
790;shopping basket;100;;0.63;0.7974683544303798;0.63;0.7039106145251396;63;16;37
846;table lamp;150;;0.5266666666666666;1.0;0.5266666666666666;0.6899563318777292;79;0;71
738;pot, flowerpot;150;;0.5466666666666666;0.9318181818181818;0.5466666666666666;0.6890756302521007;82;6;68
703;park bench;150;;0.5866666666666667;0.7333333333333333;0.5866666666666667;0.6518518518518519;88;32;62
518;crash helmet;100;;0.5;0.8064516129032258;0.5;0.6172839506172839;50;12;50
861;toilet seat;50;;0.58;0.6444444444444445;0.58;0.6105263157894737;29;16;21
508;computer keyboard, keypad;150;;0.43333333333333335;1.0;0.43333333333333335;0.6046511627906976;65;0;85
435;bathtub, bathing tub, bath, tub;150;;0.4666666666666667;0.8433734939759037;0.4666666666666667;0.6008583690987125;70;13;80
883;vase;149;;0.5570469798657718;0.532051282051282;0.5570469798657718;0.5442622950819672;83;73;66
763;revolver, six-gun, six-shooter;150;;0.37333333333333335;1.0;0.37333333333333335;0.5436893203883496;56;0;94
898;water bottle;50;;0.72;0.4235294117647059;0.72;0.5333333333333333;36;49;14
895;warplane, military plane;50;;0.86;0.37719298245614036;0.86;0.524390243902439;43;71;7
402;acoustic guitar;50;;0.34;1.0;0.34;0.5074626865671642;17;0;33
650;microphone, mike;150;;0.47333333333333333;0.4896551724137931;0.47333333333333333;0.48135593220338985;71;74;79
532;dining table, board;150;;0.32;0.8888888888888888;0.32;0.47058823529411764;48;6;102
448;birdhouse;150;;0.3;0.9782608695652174;0.3;0.4591836734693877;45;1;105
404;airliner;100;;0.4;0.5063291139240507;0.4;0.446927374301676;40;39;60
881;upright, upright piano;100;;0.29;0.90625;0.29;0.4393939393939394;29;3;71
751;racer, race car, racing car;50;;0.36;0.5625;0.36;0.43902439024390244;18;14;32
914;yawl;50;;0.28;1.0;0.28;0.43750000000000006;14;0;36
627;limousine, limo;50;;0.3;0.7894736842105263;0.3;0.4347826086956521;15;4;35
664;monitor;150;;0.28;0.8571428571428571;0.28;0.4221105527638192;42;7;108
413;assault rifle, assault gun;50;;0.4;0.425531914893617;0.4;0.4123711340206186;20;27;30
414;backpack, back pack, knapsack, packsack, rucksack, haversack;100;;0.24;1.0;0.24;0.3870967741935484;24;0;76
637;mailbox, letter box;150;;0.36666666666666664;0.3819444444444444;0.36666666666666664;0.37414965986394555;55;89;95
