value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
acoustic-guitar-1;50;0.34;0.42;50;0.34
analog-clock-1;50;0.22;0.22;50;0.22
assault-rifle-1;50;0.4;0.44;50;0.4
backpack-1;50;0.48;0.6;50;0.54
backpack-2;50;0.0;0.08;50;0.36
bathtub-1;50;0.44;0.92;50;0.44
bathtub-2;50;0.36;0.94;50;0.36
bathtub-3;50;0.6;0.96;50;0.6
bed-1;50;0.0;0.02;50;0.0
bed-2;50;0.04;0.24;50;0.06
bench-1;50;0.8;0.94;50;0.8
bench-2;50;0.14;0.7;50;0.14
bench-3;50;0.82;1.0;50;0.82
birdhouse-1;50;0.08;0.2;50;0.08
birdhouse-2;50;0.42;0.42;50;0.42
birdhouse-3;50;0.4;0.7;50;0.4
bookshelf-1;50;0.0;0.06;50;0.0
bookshelf-2;50;0.04;0.28;50;0.04
bookshelf-3;50;0.2;0.2;50;0.2
bullet-train-1;50;0.0;0.02;50;0.0
bus-1;50;0.0;0.0;50;0.0
bus-2;50;0.0;0.0;50;0.0
bus-3;50;0.0;0.0;50;0.0
can-1;50;0.0;0.0;50;0.0
can-2;50;0.0;0.0;50;0.08
can-3;50;0.0;0.0;50;0.06
china-cabinet-1;50;0.0;0.08;50;0.0
china-cabinet-2;50;0.0;0.0;50;0.0
china-cabinet-3;50;0.0;0.0;50;0.0
computer-keyboard-1;50;0.42;0.88;50;0.42
computer-keyboard-2;50;0.3;0.72;50;0.3
computer-keyboard-3;50;0.58;1.0;50;0.58
cowboy-hat-1;50;0.08;0.82;50;0.08
cowboy-hat-2;50;0.02;0.36;50;0.02
cowboy-hat-3;50;0.0;0.78;50;0.0
crash-helmet-1;50;0.56;0.78;50;0.56
crash-helmet-2;50;0.44;0.7;50;0.44
crate-1;50;0.12;0.5;50;0.12
day-bed-1;50;0.42;0.46;50;0.42
dining-table-1;50;0.32;0.74;50;0.32
dining-table-2;50;0.0;0.0;50;0.38
dining-table-3;50;0.64;0.8;50;0.64
dishwasher-1;50;0.04;0.2;50;0.04
dishwasher-2;50;0.08;0.32;50;0.08
dishwasher-3;50;0.0;0.02;50;0.0
earphone-2;50;0.0;0.0;0;
electric-locomotive-1;50;0.06;0.22;50;0.06
faucet-1;50;0.0;0.0;0;
flowerpot-2;50;0.52;0.8;50;0.52
faucet-2;50;0.0;0.0;0;
faucet-3;50;0.0;0.0;0;
fighter-jet;50;0.86;1.0;50;0.86
file-cabinet-1;50;0.0;0.2;50;0.0
file-cabinet-2;50;0.0;0.12;50;0.0
file-cabinet-3;50;0.2;0.2;50;0.2
flowerpot-1;50;0.74;0.8;50;0.74
football-helmet-1;50;0.6;0.66;50;0.64
flowerpot-3;50;0.38;0.66;50;0.38
folding-chair-1;50;0.26;0.4;50;0.48
folding-chair-2;50;0.0;0.4;50;0.66
iPod-1;50;0.08;0.44;50;0.08
grand-piano-1;50;0.82;0.84;50;0.84
knife-1;50;0.0;0.02;50;0.0
knife-2;50;0.04;0.28;50;0.08
microwave-2;50;0.02;0.04;50;0.02
knife-3;50;0.0;0.04;50;0.0
laptop-1;50;0.26;0.8;50;0.62
laptop-2;50;0.28;0.76;50;0.62
laptop-3;50;0.26;0.76;50;0.62
limousine-1;50;0.3;0.54;50;0.54
loudspeaker-1;50;0.02;0.12;50;0.02
loudspeaker-2;50;0.38;0.6;50;0.38
loudspeaker-3;50;0.0;0.0;50;0.0
mailbox-1;50;0.58;0.8;50;0.58
mailbox-2;50;0.4;0.58;50;0.4
mailbox-3;50;0.12;0.48;50;0.12
microphone-1;50;0.08;0.46;50;0.08
microphone-2;50;0.44;0.94;50;0.44
microphone-3;50;0.9;0.98;50;0.9
microwave-1;50;0.06;0.18;50;0.06
moped-2;50;0.26;0.84;50;0.74
microwave-3;50;0.0;0.02;50;0.0
missile-2;50;0.0;0.72;50;0.6
mixing-bowl-1;50;0.0;0.22;50;0.08
mobile-phone-2;50;0.0;0.06;50;0.0
mobile-phone-1;50;0.0;0.02;50;0.0
mobile-phone-3;50;0.0;0.0;50;0.02
monitor-1;50;0.26;0.64;50;0.3
mosque-1;50;0.02;0.52;50;0.78
monitor-2;50;0.36;0.6;50;0.36
monitor-3;50;0.22;0.52;50;0.26
moped-1;50;0.38;0.62;50;0.38
mug-1;50;0.42;1.0;50;0.42
moped-3;50;0.04;0.62;50;0.04
mug-3;50;0.0;0.46;50;0.0
mug-2;50;0.0;0.08;50;0.0
trash-can-2;50;0.8;0.88;50;0.8
upright-piano-1;50;0.22;0.3;50;0.22
obelisk-1;50;0.0;0.0;50;0.18
