value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
M_Tri_Plastic1_Black;800;0.20875;0.33625;745;0.2791946308724832
M_Tri_Plastic1_Cyan;800;0.16;0.29;745;0.22684563758389262
M_Tri_Plastic1_Yellow;800;0.15;0.2725;745;0.22281879194630871
M_Tri_Plastic1_Green;800;0.14875;0.26;745;0.2134228187919463
M_Tri_Plastic1_Grey;799;0.1739674593241552;0.32040050062578224;744;0.24865591397849462
M_Tri_Plastic1_Blue;799;0.15143929912390489;0.27784730913642053;744;0.22983870967741934
M_Tri_Plastic1_Red;799;0.17772215269086358;0.29161451814768463;744;0.25268817204301075
M_Tri_Plastic1_Pink;798;0.16165413533834586;0.2869674185463659;743;0.23822341857335128
M_Tri_Plastic1_White;798;0.15664160401002505;0.3007518796992481;744;0.2217741935483871
Default;160;0.29375;0.48125;149;0.37583892617449666
