superclass;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
bowl;150;;0.6533333333333333;0.9702970297029703;0.6533333333333333;0.7808764940239044;98;3;52
lamp;150;;0.5866666666666667;0.8627450980392157;0.5866666666666667;0.6984126984126984;88;14;62
laptop;150;;0.6866666666666666;0.6560509554140127;0.6866666666666666;0.6710097719869706;103;54;47
motorbike;150;;0.47333333333333333;1.0;0.47333333333333333;0.6425339366515836;71;0;79
helmet;150;;0.6;0.6716417910447762;0.6;0.6338028169014084;90;44;60
chair;150;;0.7666666666666667;0.5088495575221239;0.7666666666666667;0.6117021276595744;115;111;35
car;150;;0.49333333333333335;0.6788990825688074;0.49333333333333335;0.5714285714285715;74;35;76
airplane;150;;0.6533333333333333;0.47572815533980584;0.6533333333333333;0.550561797752809;98;108;52
rifle;150;;0.3933333333333333;0.855072463768116;0.3933333333333333;0.5388127853881278;59;10;91
pistol;150;;0.36;1.0;0.36;0.5294117647058824;54;0;96
bench;150;;0.43333333333333335;0.6190476190476191;0.43333333333333335;0.5098039215686274;65;40;85
bag;150;;0.30666666666666664;0.8518518518518519;0.30666666666666664;0.45098039215686275;46;8;104
piano;150;;0.30666666666666664;0.8363636363636363;0.30666666666666664;0.44878048780487795;46;9;104
bathtub;150;;0.32666666666666666;0.6901408450704225;0.32666666666666666;0.4434389140271493;49;22;101
birdhouse;150;;0.2866666666666667;0.9347826086956522;0.2866666666666667;0.43877551020408156;43;3;107
bottle;300;;0.35;0.5833333333333334;0.35;0.4375;105;75;195
jar;149;;0.46308724832214765;0.4107142857142857;0.46308724832214765;0.43533123028391163;69;99;80
cap;150;;0.2733333333333333;0.9761904761904762;0.2733333333333333;0.4270833333333333;41;1;109
microphone;150;;0.26666666666666666;1.0;0.26666666666666666;0.4210526315789474;40;0;110
mug;150;;0.28;0.8076923076923077;0.28;0.4158415841584159;42;10;108
trash bin;149;;0.6778523489932886;0.2997032640949555;0.6778523489932886;0.4156378600823045;101;236;48
flowerpot;150;;0.25333333333333335;1.0;0.25333333333333335;0.4042553191489362;38;0;112
watercraft;150;;0.26666666666666666;0.7272727272727273;0.26666666666666666;0.3902439024390244;40;15;110
tower;150;;0.26;0.78;0.26;0.39;39;11;111
keyboard;150;;0.23333333333333334;1.0;0.23333333333333334;0.37837837837837834;35;0;115
rocket;149;;0.28187919463087246;0.45652173913043476;0.28187919463087246;0.34854771784232363;42;50;107
table;150;;0.20666666666666667;0.7560975609756098;0.20666666666666667;0.3246073298429319;31;10;119
basket;150;;0.26;0.42857142857142855;0.26;0.3236514522821577;39;52;111
guitar;50;;0.18;1.0;0.18;0.3050847457627119;9;0;41
mailbox;150;;0.21333333333333335;0.4507042253521127;0.21333333333333335;0.2895927601809955;32;39;118
pillow;150;;0.15333333333333332;1.0;0.15333333333333332;0.2658959537572254;23;0;127
sofa;50;;0.54;0.16167664670658682;0.54;0.2488479262672811;27;140;23
clock;149;;0.1476510067114094;0.6111111111111112;0.1476510067114094;0.23783783783783785;22;14;127
display;150;;0.14666666666666667;0.5238095238095238;0.14666666666666667;0.22916666666666669;22;20;128
loudspeaker;150;;0.14666666666666667;0.36666666666666664;0.14666666666666667;0.2095238095238095;22;38;128
bookshelf;150;;0.12;0.8181818181818182;0.12;0.20930232558139536;18;4;132
washer;150;;0.12;0.72;0.12;0.2057142857142857;18;7;132
remote;149;;0.10738255033557047;0.8;0.10738255033557047;0.18934911242603553;16;4;133
stove;150;;0.1;0.9375;0.1;0.18072289156626503;15;1;135
dishwasher;150;;0.11333333333333333;0.2537313432835821;0.11333333333333333;0.15668202764976957;17;50;133
printer;149;;0.10067114093959731;0.30612244897959184;0.10067114093959731;0.15151515151515152;15;34;134
file cabinet;150;;0.06666666666666667;0.5555555555555556;0.06666666666666667;0.11904761904761904;10;8;140
cabinet;150;;0.04;0.21428571428571427;0.04;0.06741573033707865;6;22;144
camera;150;;0.03333333333333333;0.29411764705882354;0.03333333333333333;0.059880239520958084;5;12;145
microwaves;150;;0.02666666666666667;0.5;0.02666666666666667;0.05063291139240507;4;4;146
knife;150;;0.02666666666666667;0.4;0.02666666666666667;0.05;4;6;146
bed;100;;0.01;0.3333333333333333;0.01;0.019417475728155338;1;2;99
bus;150;;0.006666666666666667;1.0;0.006666666666666667;0.013245033112582783;1;0;149
earphone;50;;0.0;0.0;0.0;0.0;0;1;50
telephone;150;;0.0;0.0;0.0;0.0;0;5;150
train;150;;0.0;0.0;0.0;0.0;0;0;150
