value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
acoustic-guitar-1;50;0.18;0.24;50;0.18
analog-clock-1;50;0.2;0.22;50;0.2
assault-rifle-1;50;0.4;0.42;50;0.4
backpack-1;50;0.46;0.62;50;0.58
backpack-2;50;0.02;0.38;50;0.32
bathtub-1;50;0.38;0.84;50;0.38
bathtub-2;50;0.4;0.82;50;0.4
bathtub-3;50;0.2;0.92;50;0.2
bed-1;50;0.0;0.06;50;0.0
bed-2;50;0.0;0.02;50;0.02
bench-1;50;0.84;1.0;50;0.84
bench-2;50;0.04;0.36;50;0.04
bench-3;50;0.42;0.7;50;0.42
birdhouse-1;50;0.1;0.2;50;0.1
birdhouse-2;50;0.4;0.4;50;0.4
birdhouse-3;50;0.36;0.42;50;0.36
bookshelf-1;50;0.02;0.08;50;0.02
bookshelf-2;50;0.16;0.36;50;0.16
bookshelf-3;50;0.18;0.2;50;0.18
bullet-train-1;50;0.0;0.0;50;0.0
bus-1;50;0.0;0.0;50;0.0
bus-2;50;0.0;0.0;50;0.0
bus-3;50;0.0;0.0;50;0.02
can-1;50;0.04;0.16;50;0.04
can-2;50;0.12;0.52;50;0.2
can-3;50;0.08;0.44;50;0.08
china-cabinet-1;50;0.0;0.14;50;0.0
china-cabinet-2;50;0.0;0.0;50;0.0
china-cabinet-3;50;0.0;0.0;50;0.12
computer-keyboard-1;50;0.04;0.48;50;0.04
computer-keyboard-2;50;0.32;0.46;50;0.32
computer-keyboard-3;50;0.34;0.82;50;0.34
cowboy-hat-1;50;0.3;0.38;50;0.3
cowboy-hat-2;50;0.04;0.14;50;0.04
cowboy-hat-3;50;0.42;0.7;50;0.48
crash-helmet-1;50;0.6;0.74;50;0.6
crash-helmet-2;50;0.54;0.64;50;0.54
crate-1;50;0.0;0.0;50;0.0
day-bed-1;50;0.54;0.78;50;0.54
dining-table-1;50;0.12;0.7;50;0.12
dining-table-2;50;0.0;0.04;50;0.06
dining-table-3;50;0.44;0.66;50;0.44
dishwasher-1;50;0.1;0.3;50;0.1
dishwasher-2;50;0.12;0.36;50;0.12
dishwasher-3;50;0.12;0.22;50;0.12
earphone-2;50;0.0;0.0;0;
electric-locomotive-1;50;0.0;0.0;50;0.0
faucet-1;50;0.0;0.0;0;
flowerpot-2;50;0.26;0.68;50;0.26
faucet-2;50;0.0;0.0;0;
faucet-3;50;0.0;0.0;0;
fighter-jet;50;0.78;0.9;50;0.78
file-cabinet-1;50;0.0;0.08;50;0.0
file-cabinet-2;50;0.0;0.0;50;0.0
file-cabinet-3;50;0.2;0.2;50;0.2
flowerpot-1;50;0.38;0.74;50;0.38
football-helmet-1;50;0.56;0.6;50;0.66
flowerpot-3;50;0.12;0.26;50;0.12
folding-chair-1;50;0.76;1.0;50;0.92
folding-chair-2;50;0.6;0.62;50;0.64
iPod-1;50;0.0;0.02;50;0.0
grand-piano-1;50;0.5;0.58;50;0.5
knife-1;50;0.0;0.2;50;0.0
knife-2;50;0.04;0.4;50;0.04
microwave-2;50;0.0;0.0;50;0.0
knife-3;50;0.04;0.16;50;0.04
laptop-1;50;0.66;0.78;50;0.66
laptop-2;50;0.76;0.82;50;0.76
laptop-3;50;0.64;0.82;50;0.64
limousine-1;50;0.18;0.34;50;0.4
loudspeaker-1;50;0.06;0.22;50;0.06
loudspeaker-2;50;0.38;0.54;50;0.38
loudspeaker-3;50;0.0;0.0;50;0.0
mailbox-1;50;0.3;0.56;50;0.3
mailbox-2;50;0.06;0.58;50;0.06
mailbox-3;50;0.28;0.5;50;0.28
microphone-1;50;0.0;0.06;50;0.0
microphone-2;50;0.0;0.02;50;0.0
microphone-3;50;0.8;0.8;50;0.8
microwave-1;50;0.08;0.1;50;0.08
moped-2;50;0.0;0.62;50;0.64
microwave-3;50;0.0;0.0;50;0.0
missile-2;50;0.1;0.58;50;0.36
mixing-bowl-1;50;0.34;0.6;50;0.34
mobile-phone-2;50;0.0;0.08;50;0.0
mobile-phone-1;50;0.0;0.0;50;0.0
mobile-phone-3;50;0.0;0.0;50;0.0
monitor-1;50;0.06;0.3;50;0.06
mosque-1;50;0.0;0.04;50;0.64
monitor-2;50;0.06;0.22;50;0.06
monitor-3;50;0.28;0.38;50;0.32
moped-1;50;0.38;0.42;50;0.38
mug-1;50;0.6;0.78;50;0.6
moped-3;50;0.36;0.4;50;0.4
mug-3;50;0.24;0.74;50;0.24
mug-2;50;0.0;0.02;50;0.0
trash-can-2;50;0.74;0.8;50;0.74
upright-piano-1;50;0.1;0.18;50;0.14
obelisk-1;50;0.0;0.0;50;0.14
ocean-liner-1;50;0.04;0.06;50;0.22
old-plane;50;0.0;0.08;50;0.28
pas-plane;50;0.66;0.96;50;0.9
pill-bottle-1;50;0.0;0.1;50;0.24
pillow-1;50;0.2;0.22;50;0.2
pillow-2;50;0.08;0.18;50;0.08
pillow-3;50;0.18;0.2;50;0.18
plastic-bag-1;50;0.0;0.1;50;0.02
printer-1;50;0.06;0.12;50;0.06
printer-2;50;0.22;0.28;50;0.22
race-car-1;50;0.06;0.44;50;0.42
reflex-camera-1;50;0.0;0.16;50;0.0
