value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
acoustic-guitar-1;50;0.18;0.46;50;0.18
analog-clock-1;50;0.14;0.22;50;0.2
assault-rifle-1;50;0.34;0.42;50;0.4
backpack-1;50;0.56;0.66;50;0.58
backpack-2;50;0.0;0.28;50;0.26
bathtub-1;50;0.3;0.88;50;0.3
bathtub-2;50;0.42;1.0;50;0.42
bathtub-3;50;0.62;1.0;50;0.62
bed-1;50;0.0;0.0;50;0.0
bed-2;50;0.0;0.0;50;0.02
bench-1;50;0.78;0.94;50;0.78
bench-2;50;0.06;0.2;50;0.06
bench-3;50;0.4;0.64;50;0.4
birdhouse-1;50;0.04;0.18;50;0.04
birdhouse-2;50;0.4;0.4;50;0.4
birdhouse-3;50;0.38;0.44;50;0.38
bookshelf-1;50;0.02;0.04;50;0.02
bookshelf-2;50;0.0;0.24;50;0.0
bookshelf-3;50;0.16;0.2;50;0.16
bullet-train-1;50;0.0;0.0;50;0.0
bus-1;50;0.0;0.0;50;0.0
bus-2;50;0.0;0.0;50;0.0
bus-3;50;0.0;0.0;50;0.02
can-1;50;0.0;0.0;50;0.0
can-2;50;0.0;0.1;50;0.12
can-3;50;0.0;0.0;50;0.06
china-cabinet-1;50;0.0;0.04;50;0.0
china-cabinet-2;50;0.0;0.0;50;0.0
china-cabinet-3;50;0.0;0.0;50;0.06
computer-keyboard-1;50;0.12;0.76;50;0.12
computer-keyboard-2;50;0.36;0.62;50;0.36
computer-keyboard-3;50;0.64;0.92;50;0.64
cowboy-hat-1;50;0.02;0.56;50;0.02
cowboy-hat-2;50;0.04;0.14;50;0.04
cowboy-hat-3;50;0.0;0.68;50;0.0
crash-helmet-1;50;0.5;0.76;50;0.5
crash-helmet-2;50;0.36;0.66;50;0.36
crate-1;50;0.08;0.24;50;0.08
day-bed-1;50;0.38;0.56;50;0.38
dining-table-1;50;0.2;0.76;50;0.2
dining-table-2;50;0.0;0.26;50;0.32
dining-table-3;50;0.7;0.8;50;0.74
dishwasher-1;50;0.06;0.16;50;0.06
dishwasher-2;50;0.06;0.28;50;0.06
dishwasher-3;50;0.0;0.02;50;0.0
earphone-2;50;0.0;0.0;0;
electric-locomotive-1;50;0.0;0.02;50;0.0
faucet-1;50;0.0;0.0;0;
flowerpot-2;50;0.6;0.78;50;0.6
faucet-2;50;0.0;0.0;0;
faucet-3;50;0.0;0.0;0;
fighter-jet;50;0.66;0.9;50;0.66
file-cabinet-1;50;0.0;0.14;50;0.0
file-cabinet-2;50;0.0;0.02;50;0.0
file-cabinet-3;50;0.2;0.2;50;0.2
flowerpot-1;50;0.54;0.74;50;0.54
football-helmet-1;50;0.54;0.6;50;0.56
flowerpot-3;50;0.06;0.34;50;0.06
folding-chair-1;50;0.46;0.9;50;0.66
folding-chair-2;50;0.4;0.62;50;0.62
iPod-1;50;0.04;0.38;50;0.04
grand-piano-1;50;0.5;0.7;50;0.5
knife-1;50;0.0;0.34;50;0.06
knife-2;50;0.0;0.34;50;0.08
microwave-2;50;0.0;0.0;50;0.0
knife-3;50;0.0;0.16;50;0.0
laptop-1;50;0.22;0.72;50;0.64
laptop-2;50;0.38;0.82;50;0.74
laptop-3;50;0.34;0.76;50;0.6
limousine-1;50;0.18;0.38;50;0.4
loudspeaker-1;50;0.0;0.04;50;0.0
loudspeaker-2;50;0.36;0.56;50;0.36
loudspeaker-3;50;0.0;0.0;50;0.0
mailbox-1;50;0.38;0.58;50;0.38
mailbox-2;50;0.1;0.36;50;0.1
mailbox-3;50;0.16;0.46;50;0.16
microphone-1;50;0.08;0.34;50;0.08
microphone-2;50;0.16;0.42;50;0.16
microphone-3;50;0.8;0.84;50;0.8
microwave-1;50;0.1;0.14;50;0.1
moped-2;50;0.04;0.76;50;0.6
microwave-3;50;0.0;0.06;50;0.0
missile-2;50;0.0;0.54;50;0.32
mixing-bowl-1;50;0.0;0.4;50;0.0
mobile-phone-2;50;0.02;0.12;50;0.02
mobile-phone-1;50;0.0;0.0;50;0.0
mobile-phone-3;50;0.0;0.0;50;0.0
monitor-1;50;0.1;0.38;50;0.16
mosque-1;50;0.0;0.06;50;0.56
monitor-2;50;0.2;0.28;50;0.2
monitor-3;50;0.3;0.46;50;0.34
moped-1;50;0.32;0.42;50;0.32
mug-1;50;0.62;0.84;50;0.62
moped-3;50;0.38;0.4;50;0.4
mug-3;50;0.06;0.44;50;0.06
mug-2;50;0.0;0.14;50;0.0
trash-can-2;50;0.8;0.84;50;0.8
upright-piano-1;50;0.1;0.24;50;0.12
obelisk-1;50;0.0;0.0;50;0.1
ocean-liner-1;50;0.02;0.04;50;0.28
old-plane;50;0.0;0.4;50;0.12
pas-plane;50;0.2;1.0;50;0.24
pill-bottle-1;50;0.02;0.28;50;0.2
pillow-1;50;0.06;0.2;50;0.06
pillow-2;50;0.0;0.14;50;0.0
pillow-3;50;0.14;0.2;50;0.14
plastic-bag-1;50;0.02;0.26;50;0.02
printer-1;50;0.06;0.22;50;0.06
printer-2;50;0.24;0.3;50;0.24
race-car-1;50;0.18;0.62;50;0.4
reflex-camera-1;50;0.0;0.04;50;0.0
reflex-camera-2;50;0.0;0.0;50;0.0
skateboard-1;50;0.0;0.0;0;
reflex-camera-3;50;0.08;0.24;50;0.08
remote-2;50;0.12;0.2;50;0.12
remote-3;50;0.02;0.06;50;0.02
revolver-2;50;0.4;0.42;50;0.4
revolver-1;50;0.4;0.4;50;0.4
revolver-3;50;0.26;0.4;50;0.26
rifle-1;50;0.4;0.4;50;0.4
skateboard-3;50;0.0;0.0;0;
rifle-2;50;0.26;0.38;50;0.38
shopping-basket-1;50;0.74;0.88;50;0.76
shopping-basket-2;50;0.46;0.8;50;0.46
sofa-1;50;0.0;0.0;0;
skateboard-2;50;0.0;0.0;0;
sofa-3;50;0.0;0.0;0;
sofa-2;50;0.0;0.0;0;
water-bottle-1;50;0.8;0.8;50;0.8
water-tower-1;50;0.0;0.0;50;0.0
soup-bowl-1;50;0.0;0.72;50;0.74
soup-bowl-2;50;0.08;0.76;50;0.6
space-shuttle-1;50;0.0;0.0;50;0.08
speedboat-1;50;0.18;0.4;50;0.22
sports-car-1;50;0.26;0.72;50;0.62
steam-locomotive-1;50;0.0;0.04;50;0.0
stove-1;50;0.06;0.12;50;0.06
stove-2;50;0.0;0.04;50;0.0
stove-3;50;0.32;0.48;50;0.32
table-lamp-1;50;0.78;0.8;50;0.78
table-lamp-2;50;0.06;0.54;50;0.06
table-lamp-3;50;0.62;0.82;50;0.62
toilet-seat-1;50;0.66;0.82;50;0.66
trash-can-1;50;0.8;0.8;50;0.8
yawl-1;50;0.1;0.38;50;0.34
washer-3;50;0.2;0.22;50;0.2
upright-piano-2;50;0.22;0.42;50;0.32
vase-2;50;0.8;0.8;50;0.8
vase-3;50;0.54;0.8;50;0.58
washer-2;50;0.14;0.2;50;0.14
washer-1;50;0.04;0.24;50;0.04
wall-clock-2;50;0.04;0.2;50;0.18
wine-bottle-1;50;0.72;0.84;50;0.72
earphone-1;49;0.0;0.0;0;
missile-1;49;0.0;0.6530612244897959;49;0.40816326530612246
printer-3;49;0.10204081632653061;0.2653061224489796;49;0.10204081632653061
remote-1;49;0.20408163265306123;0.24489795918367346;49;0.20408163265306123
wall-clock-1;49;0.0;0.20408163265306123;49;0.04081632653061224
trash-can-3;49;0.7346938775510204;0.7959183673469388;49;0.7346938775510204
vase-1;49;0.46938775510204084;0.7755102040816326;49;0.46938775510204084
