superclass;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
bowl;150;;0.5266666666666666;0.8876404494382022;0.5266666666666666;0.6610878661087866;79;10;71
airplane;150;;0.6133333333333333;0.5679012345679012;0.6133333333333333;0.5897435897435898;92;70;58
helmet;150;;0.38;0.8636363636363636;0.38;0.5277777777777778;57;9;93
guitar;50;;0.36;0.9473684210526315;0.36;0.5217391304347826;18;1;32
pistol;150;;0.34;1.0;0.34;0.5074626865671642;51;0;99
rifle;150;;0.38;0.7215189873417721;0.38;0.49781659388646293;57;22;93
motorbike;150;;0.32666666666666666;1.0;0.32666666666666666;0.4924623115577889;49;0;101
jar;149;;0.4563758389261745;0.5230769230769231;0.4563758389261745;0.4874551971326165;68;62;81
mug;150;;0.35333333333333333;0.7571428571428571;0.35333333333333333;0.4818181818181818;53;17;97
table;150;;0.43333333333333335;0.5241935483870968;0.43333333333333335;0.4744525547445255;65;59;85
bench;150;;0.30666666666666664;0.5411764705882353;0.30666666666666664;0.3914893617021276;46;39;104
laptop;150;;0.3;0.5421686746987951;0.3;0.3862660944206009;45;38;105
chair;150;;0.4533333333333333;0.3285024154589372;0.4533333333333333;0.380952380952381;68;139;82
lamp;150;;0.26666666666666666;0.6349206349206349;0.26666666666666666;0.37558685446009393;40;23;110
sofa;50;;0.36;0.3829787234042553;0.36;0.37113402061855666;18;29;32
bottle;300;;0.31;0.42660550458715596;0.31;0.3590733590733591;93;125;207
watercraft;150;;0.20666666666666667;0.8857142857142857;0.20666666666666667;0.33513513513513515;31;4;119
bag;150;;0.22666666666666666;0.5396825396825397;0.22666666666666666;0.31924882629107976;34;29;116
trash bin;149;;0.6912751677852349;0.19884169884169883;0.6912751677852349;0.30884557721139433;103;415;46
basket;150;;0.21333333333333335;0.38095238095238093;0.21333333333333335;0.2735042735042735;32;52;118
rocket;149;;0.30201342281879195;0.21634615384615385;0.30201342281879195;0.25210084033613445;45;163;104
knife;150;;0.22666666666666666;0.272;0.22666666666666666;0.24727272727272728;34;91;116
birdhouse;150;;0.13333333333333333;1.0;0.13333333333333333;0.23529411764705882;20;0;130
piano;150;;0.13333333333333333;0.9090909090909091;0.13333333333333333;0.2325581395348837;20;2;130
car;150;;0.14;0.5526315789473685;0.14;0.22340425531914898;21;17;129
display;150;;0.16;0.36363636363636365;0.16;0.2222222222222222;24;42;126
microphone;150;;0.14;0.4772727272727273;0.14;0.21649484536082478;21;23;129
earphone;50;;0.16;0.27586206896551724;0.16;0.20253164556962025;8;21;42
clock;149;;0.12080536912751678;0.42857142857142855;0.12080536912751678;0.18848167539267016;18;24;131
mailbox;150;;0.12;0.42857142857142855;0.12;0.1875;18;24;132
keyboard;150;;0.1;1.0;0.1;0.18181818181818182;15;0;135
bathtub;150;;0.09333333333333334;0.6086956521739131;0.09333333333333334;0.16184971098265896;14;9;136
remote;149;;0.08053691275167785;0.631578947368421;0.08053691275167785;0.14285714285714285;12;7;137
bookshelf;150;;0.06;1.0;0.06;0.11320754716981131;9;0;141
cap;150;;0.06;0.5294117647058824;0.06;0.10778443113772455;9;8;141
loudspeaker;150;;0.07333333333333333;0.1134020618556701;0.07333333333333333;0.08906882591093117;11;86;139
stove;150;;0.04666666666666667;0.2916666666666667;0.04666666666666667;0.08045977011494253;7;17;143
printer;149;;0.04697986577181208;0.18421052631578946;0.04697986577181208;0.07486631016042782;7;31;142
camera;150;;0.03333333333333333;1.0;0.03333333333333333;0.06451612903225806;5;0;145
washer;150;;0.03333333333333333;0.8333333333333334;0.03333333333333333;0.06410256410256411;5;1;145
file cabinet;150;;0.04666666666666667;0.08536585365853659;0.04666666666666667;0.0603448275862069;7;75;143
flowerpot;150;;0.02666666666666667;1.0;0.02666666666666667;0.05194805194805195;4;0;146
telephone;150;;0.02666666666666667;0.36363636363636365;0.02666666666666667;0.04968944099378882;4;7;146
pillow;150;;0.02;1.0;0.02;0.0392156862745098;3;0;147
dishwasher;150;;0.02;0.23076923076923078;0.02;0.03680981595092024;3;10;147
tower;150;;0.013333333333333334;0.05555555555555555;0.013333333333333334;0.02150537634408602;2;34;148
bed;100;;0.01;1.0;0.01;0.019801980198019802;1;0;99
microwaves;150;;0.006666666666666667;0.1111111111111111;0.006666666666666667;0.012578616352201259;1;8;149
bus;150;;0.0;0.0;0.0;0.0;0;0;150
cabinet;150;;0.0;0.0;0.0;0.0;0;6;150
train;150;;0.0;0.0;0.0;0.0;0;0;150
