value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
acoustic-guitar-1;50;0.36;0.46;50;0.36
analog-clock-1;50;0.16;0.18;50;0.16
assault-rifle-1;50;0.42;0.42;50;0.42
backpack-1;50;0.24;0.62;50;0.42
backpack-2;50;0.02;0.24;50;0.2
bathtub-1;50;0.1;0.3;50;0.1
bathtub-2;50;0.12;0.6;50;0.12
bathtub-3;50;0.06;0.28;50;0.06
bed-1;50;0.0;0.0;50;0.02
bed-2;50;0.0;0.02;50;0.0
bench-1;50;0.42;0.54;50;0.42
bench-2;50;0.16;0.26;50;0.16
bench-3;50;0.34;0.44;50;0.34
birdhouse-1;50;0.0;0.0;50;0.0
birdhouse-2;50;0.3;0.36;50;0.3
birdhouse-3;50;0.1;0.32;50;0.1
bookshelf-1;50;0.0;0.0;50;0.0
bookshelf-2;50;0.0;0.04;50;0.0
bookshelf-3;50;0.18;0.18;50;0.18
bullet-train-1;50;0.0;0.0;50;0.0
bus-1;50;0.0;0.0;50;0.0
bus-2;50;0.0;0.0;50;0.0
bus-3;50;0.0;0.02;50;0.0
can-1;50;0.0;0.02;50;0.06
can-2;50;0.0;0.16;50;0.2
can-3;50;0.0;0.0;50;0.0
china-cabinet-1;50;0.0;0.02;50;0.0
china-cabinet-2;50;0.0;0.0;50;0.0
china-cabinet-3;50;0.0;0.0;50;0.0
computer-keyboard-1;50;0.08;0.14;50;0.08
computer-keyboard-2;50;0.04;0.14;50;0.04
computer-keyboard-3;50;0.18;0.32;50;0.18
cowboy-hat-1;50;0.02;0.3;50;0.02
cowboy-hat-2;50;0.02;0.04;50;0.04
cowboy-hat-3;50;0.12;0.5;50;0.12
crash-helmet-1;50;0.26;0.38;50;0.28
crash-helmet-2;50;0.42;0.6;50;0.44
crate-1;50;0.0;0.02;50;0.02
day-bed-1;50;0.36;0.4;50;0.36
dining-table-1;50;0.3;0.62;50;0.3
dining-table-2;50;0.24;0.34;50;0.28
dining-table-3;50;0.7;0.76;50;0.72
dishwasher-1;50;0.02;0.04;50;0.02
dishwasher-2;50;0.0;0.02;50;0.0
dishwasher-3;50;0.04;0.06;50;0.04
earphone-2;50;0.0;0.0;0;
electric-locomotive-1;50;0.0;0.0;50;0.0
faucet-1;50;0.0;0.0;0;
flowerpot-2;50;0.0;0.04;50;0.0
faucet-2;50;0.0;0.0;0;
faucet-3;50;0.0;0.0;0;
fighter-jet;50;0.68;0.76;50;0.7
file-cabinet-1;50;0.02;0.1;50;0.02
file-cabinet-2;50;0.0;0.08;50;0.0
file-cabinet-3;50;0.12;0.24;50;0.12
flowerpot-1;50;0.06;0.18;50;0.06
football-helmet-1;50;0.4;0.42;50;0.42
flowerpot-3;50;0.02;0.06;50;0.02
folding-chair-1;50;0.4;0.72;50;0.52
folding-chair-2;50;0.36;0.6;50;0.5
iPod-1;50;0.16;0.34;50;0.16
grand-piano-1;50;0.16;0.24;50;0.16
knife-1;50;0.22;0.62;50;0.22
knife-2;50;0.3;0.9;50;0.3
microwave-2;50;0.0;0.02;50;0.0
knife-3;50;0.16;0.86;50;0.16
laptop-1;50;0.28;0.56;50;0.52
laptop-2;50;0.06;0.26;50;0.28
laptop-3;50;0.08;0.12;50;0.1
limousine-1;50;0.02;0.2;50;0.08
loudspeaker-1;50;0.04;0.16;50;0.04
loudspeaker-2;50;0.14;0.42;50;0.14
loudspeaker-3;50;0.04;0.18;50;0.04
mailbox-1;50;0.26;0.34;50;0.26
mailbox-2;50;0.08;0.18;50;0.08
mailbox-3;50;0.02;0.02;50;0.02
microphone-1;50;0.14;0.22;50;0.14
microphone-2;50;0.14;0.18;50;0.14
microphone-3;50;0.14;0.16;50;0.14
microwave-1;50;0.02;0.06;50;0.02
moped-2;50;0.08;0.42;50;0.26
microwave-3;50;0.0;0.02;50;0.0
missile-2;50;0.08;0.3;50;0.2
mixing-bowl-1;50;0.06;0.54;50;0.4
mobile-phone-2;50;0.04;0.18;50;0.04
mobile-phone-1;50;0.02;0.02;50;0.02
mobile-phone-3;50;0.02;0.02;50;0.02
monitor-1;50;0.12;0.26;50;0.18
mosque-1;50;0.0;0.0;50;0.02
monitor-2;50;0.06;0.2;50;0.12
monitor-3;50;0.16;0.26;50;0.18
moped-1;50;0.24;0.38;50;0.32
mug-1;50;0.8;0.86;50;0.8
moped-3;50;0.36;0.44;50;0.4
mug-3;50;0.24;0.52;50;0.24
mug-2;50;0.02;0.04;50;0.02
trash-can-2;50;0.8;0.8;50;0.8
upright-piano-1;50;0.0;0.02;50;0.02
obelisk-1;50;0.02;0.4;50;0.02
ocean-liner-1;50;0.0;0.02;50;0.12
old-plane;50;0.0;0.22;50;0.32
pas-plane;50;0.54;0.84;50;0.82
