class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
907;wine bottle;50;;0.76;0.7450980392156863;0.76;0.7524752475247525;38;13;12
883;vase;149;;0.7046979865771812;0.481651376146789;0.7046979865771812;0.5722070844686648;105;113;44
895;warplane, military plane;50;;0.7;0.47297297297297297;0.7;0.5645161290322581;35;39;15
846;table lamp;150;;0.4066666666666667;0.8840579710144928;0.4066666666666667;0.5570776255707763;61;8;89
790;shopping basket;100;;0.52;0.5777777777777777;0.52;0.5473684210526315;52;38;48
560;football helmet;50;;0.36;0.8571428571428571;0.36;0.5070422535211268;18;3;32
532;dining table, board;150;;0.37333333333333335;0.7567567567567568;0.37333333333333335;0.5;56;18;94
763;revolver, six-gun, six-shooter;150;;0.32;1.0;0.32;0.48484848484848486;48;0;102
898;water bottle;50;;0.6;0.379746835443038;0.6;0.46511627906976744;30;49;20
861;toilet seat;50;;0.38;0.5588235294117647;0.38;0.4523809523809524;19;15;31
402;acoustic guitar;50;;0.28;0.9333333333333333;0.28;0.4307692307692308;14;1;36
413;assault rifle, assault gun;50;;0.4;0.425531914893617;0.4;0.4123711340206186;20;27;30
703;park bench;150;;0.3933333333333333;0.42142857142857143;0.3933333333333333;0.40689655172413786;59;81;91
404;airliner;100;;0.25;0.78125;0.25;0.3787878787878788;25;7;75
817;sports car, sport car;50;;0.26;0.5;0.26;0.34210526315789475;13;13;37
764;rifle;100;;0.2;0.9523809523809523;0.2;0.3305785123966942;20;1;80
738;pot, flowerpot;150;;0.22666666666666666;0.5964912280701754;0.22666666666666666;0.32850241545893716;34;23;116
809;soup bowl;100;;0.2;0.8;0.2;0.32000000000000006;20;5;80
504;coffee mug;150;;0.21333333333333335;0.6274509803921569;0.21333333333333335;0.31840796019900497;32;19;118
579;grand piano, grand;50;;0.2;0.7142857142857143;0.2;0.3125;10;4;40
518;crash helmet;100;;0.19;0.8636363636363636;0.19;0.31147540983606553;19;3;81
412;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;149;;0.7181208053691275;0.16138763197586728;0.7181208053691275;0.26354679802955666;107;556;42
620;laptop, laptop computer;150;;0.17333333333333334;0.5306122448979592;0.17333333333333334;0.2613065326633166;26;23;124
448;birdhouse;150;;0.14666666666666667;0.9565217391304348;0.14666666666666667;0.2543352601156069;22;1;128
559;folding chair;100;;0.23;0.27710843373493976;0.23;0.25136612021857924;23;60;77
664;monitor;150;;0.15333333333333332;0.6571428571428571;0.15333333333333332;0.2486486486486486;23;12;127
665;moped;150;;0.14;1.0;0.14;0.24561403508771928;21;0;129
831;studio couch, day bed;50;;0.48;0.16;0.48;0.23999999999999996;24;126;26
637;mailbox, letter box;150;;0.16;0.38095238095238093;0.16;0.22535211267605634;24;39;126
881;upright, upright piano;100;;0.12;0.8571428571428571;0.12;0.21052631578947367;12;2;88
720;pill bottle;50;;0.18;0.20930232558139536;0.18;0.19354838709677422;9;34;41
761;remote control, remote;149;;0.11409395973154363;0.6071428571428571;0.11409395973154363;0.19209039548022597;17;11;132
409;analog clock;50;;0.14;0.30434782608695654;0.14;0.19178082191780824;7;16;43
508;computer keyboard, keypad;150;;0.09333333333333334;1.0;0.09333333333333334;0.17073170731707318;14;0;136
627;limousine, limo;50;;0.1;0.5555555555555556;0.1;0.16949152542372883;5;4;45
650;microphone, mike;150;;0.08666666666666667;0.5909090909090909;0.08666666666666667;0.1511627906976744;13;9;137
914;yawl;50;;0.08;1.0;0.08;0.14814814814814814;4;0;46
814;speedboat;50;;0.08;0.8;0.08;0.14545454545454545;4;1;46
519;crate;50;;0.1;0.21739130434782608;0.1;0.136986301369863;5;18;45
751;racer, race car, racing car;50;;0.08;0.25;0.08;0.12121212121212122;4;12;46
827;stove;150;;0.08;0.23529411764705882;0.08;0.11940298507462688;12;39;138
453;bookcase;150;;0.06;0.9;0.06;0.1125;9;1;141
728;plastic bag;50;;0.06;0.2727272727272727;0.06;0.09836065573770492;3;8;47
892;wall clock;99;;0.0707070707070707;0.15217391304347827;0.0707070707070707;0.09655172413793103;7;39;92
632;loudspeaker, speaker, speaker unit, loudspeaker system, speaker system;150;;0.06;0.16363636363636364;0.06;0.08780487804878048;9;46;141
515;cowboy hat, ten-gallon hat;150;;0.04666666666666667;0.5833333333333334;0.04666666666666667;0.08641975308641976;7;5;143
897;washer, automatic washer, washing machine;150;;0.04;0.6666666666666666;0.04;0.07547169811320754;6;3;144
623;letter opener, paper knife, paperknife;150;;0.04;0.42857142857142855;0.04;0.07317073170731708;6;8;144
435;bathtub, bathing tub, bath, tub;150;;0.04;0.2608695652173913;0.04;0.06936416184971099;6;17;144
487;cellular telephone, cellular phone, cellphone, cell, mobile phone;150;;0.03333333333333333;1.0;0.03333333333333333;0.06451612903225806;5;0;145
659;mixing bowl;50;;0.06;0.06976744186046512;0.06;0.06451612903225805;3;40;47
742;printer;149;;0.026845637583892617;0.1;0.026845637583892617;0.04232804232804233;4;36;145
414;backpack, back pack, knapsack, packsack, rucksack, haversack;100;;0.02;1.0;0.02;0.0392156862745098;2;0;98
553;file, file cabinet, filing cabinet;150;;0.02;0.5;0.02;0.038461538461538464;3;3;147
651;microwave, microwave oven;150;;0.02;0.5;0.02;0.038461538461538464;3;3;147
534;dishwasher, dish washer, dishwashing machine;150;;0.02;0.23076923076923078;0.02;0.03680981595092024;3;10;147
605;iPod;50;;0.02;0.045454545454545456;0.02;0.027777777777777776;1;21;49
0;tench, Tinca tinca;549;;0.0;0.0;0.0;0.0;0;0;549
668;mosque;50;;0.0;0.0;0.0;0.0;0;0;50
657;missile;99;;0.0;0.0;0.0;0.0;0;0;99
628;liner, ocean liner;50;;0.0;0.0;0.0;0.0;0;1;50
466;bullet train, bullet;50;;0.0;0.0;0.0;0.0;0;0;50
495;china cabinet, china closet;150;;0.0;0.0;0.0;0.0;0;0;150
547;electric locomotive;50;;0.0;0.0;0.0;0.0;0;0;50
564;four-poster;100;;0.0;0.0;0.0;0.0;0;0;100
682;obelisk;50;;0.0;0.0;0.0;0.0;0;0;50
