value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
M_Tri_Plastic1_Black;800;0.17125;0.36125;745;0.24026845637583893
M_Tri_Plastic1_Cyan;800;0.14375;0.29375;745;0.2
M_Tri_Plastic1_Yellow;800;0.1375;0.295;745;0.19463087248322147
M_Tri_Plastic1_Green;800;0.125;0.25875;745;0.16241610738255033
M_Tri_Plastic1_Grey;799;0.1639549436795995;0.3354192740926158;744;0.22043010752688172
M_Tri_Plastic1_Blue;799;0.14893617021276595;0.2753441802252816;744;0.20295698924731181
M_Tri_Plastic1_Red;799;0.14893617021276595;0.31289111389236546;744;0.1975806451612903
M_Tri_Plastic1_Pink;798;0.14035087719298245;0.3132832080200501;743;0.19380888290713325
M_Tri_Plastic1_White;798;0.14035087719298245;0.3132832080200501;744;0.19623655913978494
Default;160;0.24375;0.45;149;0.33557046979865773
