value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
acoustic-guitar-1;50;0.28;0.48;50;0.28
analog-clock-1;50;0.14;0.18;50;0.16
assault-rifle-1;50;0.4;0.44;50;0.42
backpack-1;50;0.04;0.42;50;0.28
backpack-2;50;0.0;0.24;50;0.18
bathtub-1;50;0.02;0.3;50;0.02
bathtub-2;50;0.06;0.66;50;0.06
bathtub-3;50;0.04;0.46;50;0.04
bed-1;50;0.0;0.0;50;0.0
bed-2;50;0.0;0.0;50;0.0
bench-1;50;0.5;0.7;50;0.5
bench-2;50;0.14;0.28;50;0.14
bench-3;50;0.54;0.7;50;0.54
birdhouse-1;50;0.0;0.0;50;0.0
birdhouse-2;50;0.32;0.4;50;0.32
birdhouse-3;50;0.12;0.26;50;0.12
bookshelf-1;50;0.0;0.06;50;0.0
bookshelf-2;50;0.0;0.0;50;0.0
bookshelf-3;50;0.18;0.2;50;0.18
bullet-train-1;50;0.0;0.0;50;0.0
bus-1;50;0.0;0.0;50;0.0
bus-2;50;0.0;0.0;50;0.0
bus-3;50;0.0;0.0;50;0.0
can-1;50;0.0;0.0;50;0.06
can-2;50;0.0;0.14;50;0.28
can-3;50;0.0;0.0;50;0.0
china-cabinet-1;50;0.0;0.02;50;0.0
china-cabinet-2;50;0.0;0.0;50;0.0
china-cabinet-3;50;0.0;0.0;50;0.0
computer-keyboard-1;50;0.06;0.26;50;0.06
computer-keyboard-2;50;0.08;0.18;50;0.08
computer-keyboard-3;50;0.14;0.5;50;0.14
cowboy-hat-1;50;0.04;0.56;50;0.04
cowboy-hat-2;50;0.1;0.2;50;0.1
cowboy-hat-3;50;0.0;0.72;50;0.0
crash-helmet-1;50;0.22;0.46;50;0.22
crash-helmet-2;50;0.16;0.52;50;0.24
crate-1;50;0.1;0.42;50;0.1
day-bed-1;50;0.48;0.54;50;0.48
dining-table-1;50;0.32;0.62;50;0.32
dining-table-2;50;0.14;0.34;50;0.22
dining-table-3;50;0.66;0.8;50;0.66
dishwasher-1;50;0.02;0.1;50;0.02
