value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;549;0.0;0.0;0;
bottle;300;0.25666666666666665;0.41;300;0.37333333333333335
bag;150;0.03333333333333333;0.3466666666666667;150;0.18
airplane;150;0.4;0.64;150;0.5333333333333333
basket;150;0.38;0.7;150;0.38666666666666666
bathtub;150;0.04;0.47333333333333333;150;0.04
birdhouse;150;0.14666666666666667;0.22;150;0.14666666666666667
bench;150;0.3933333333333333;0.56;150;0.3933333333333333
bowl;150;0.15333333333333332;0.68;150;0.43333333333333335
bookshelf;150;0.06;0.08666666666666667;150;0.06
bus;150;0.0;0.0;150;0.0
cabinet;150;0.0;0.006666666666666667;150;0.0
chair;150;0.28;0.6733333333333333;150;0.4866666666666667
camera;150;0.0;0.07333333333333333;150;0.0
cap;150;0.04666666666666667;0.49333333333333335;150;0.04666666666666667
car;150;0.14666666666666667;0.35333333333333333;150;0.3
display;150;0.15333333333333332;0.28;150;0.18666666666666668
dishwasher;150;0.02;0.12;150;0.02
flowerpot;150;0.22666666666666666;0.5266666666666666;150;0.22666666666666666
file cabinet;150;0.02;0.08666666666666667;150;0.02
train;150;0.0;0.0;150;0.0
washer;150;0.04;0.14;150;0.04
keyboard;150;0.09333333333333334;0.31333333333333335;150;0.09333333333333334
helmet;150;0.24666666666666667;0.47333333333333333;150;0.2733333333333333
knife;150;0.04;0.48;150;0.04
loudspeaker;150;0.06;0.19333333333333333;150;0.06
laptop;150;0.17333333333333334;0.48;150;0.36
lamp;150;0.4066666666666667;0.6133333333333333;150;0.4066666666666667
microphone;150;0.08666666666666667;0.24;150;0.08666666666666667
microwaves;150;0.02;0.03333333333333333;150;0.02
motorbike;150;0.14;0.36666666666666664;150;0.24
mailbox;150;0.16;0.21333333333333335;150;0.16
mug;150;0.21333333333333335;0.62;150;0.21333333333333335
pistol;150;0.32;0.4266666666666667;150;0.32
pillow;150;0.0;0.09333333333333334;150;0.0
piano;150;0.14666666666666667;0.26666666666666666;150;0.16
tower;150;0.0;0.013333333333333334;150;0.013333333333333334
telephone;150;0.03333333333333333;0.06666666666666667;150;0.03333333333333333
watercraft;150;0.05333333333333334;0.23333333333333334;150;0.18666666666666668
rifle;150;0.26666666666666666;0.41333333333333333;150;0.3466666666666667
table;150;0.37333333333333335;0.5866666666666667;150;0.4
stove;150;0.08;0.21333333333333335;150;0.08
remote;149;0.11409395973154363;0.2080536912751678;149;0.11409395973154363
clock;149;0.09395973154362416;0.2080536912751678;149;0.1342281879194631
trash bin;149;0.7181208053691275;0.785234899328859;149;0.7181208053691275
rocket;149;0.0;0.3959731543624161;149;0.4429530201342282
jar;149;0.7046979865771812;0.8053691275167785;149;0.7046979865771812
printer;149;0.026845637583892617;0.1476510067114094;149;0.026845637583892617
bed;100;0.0;0.0;100;0.0
earphone;50;0.02;0.16;50;0.02
guitar;50;0.28;0.48;50;0.28
sofa;50;0.48;0.54;50;0.48
