value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;549;0.0;0.0;0;
bottle;300;0.24;0.35333333333333333;300;0.36666666666666664
bag;150;0.13333333333333333;0.31333333333333335;150;0.25333333333333335
airplane;150;0.4266666666666667;0.5333333333333333;150;0.64
basket;150;0.2866666666666667;0.4533333333333333;150;0.29333333333333333
bathtub;150;0.06666666666666667;0.3466666666666667;150;0.06666666666666667
birdhouse;150;0.14666666666666667;0.24666666666666667;150;0.14666666666666667
bench;150;0.4066666666666667;0.47333333333333333;150;0.4066666666666667
bowl;150;0.16;0.56;150;0.47333333333333333
bookshelf;150;0.08;0.08;150;0.08
bus;150;0.0;0.0;150;0.0
cabinet;150;0.0;0.06;150;0.02
chair;150;0.32;0.5733333333333334;150;0.38
camera;150;0.1;0.22;150;0.1
cap;150;0.36;0.5933333333333334;150;0.36666666666666664
car;150;0.07333333333333333;0.3;150;0.12
display;150;0.2;0.6866666666666666;150;0.28
dishwasher;150;0.013333333333333334;0.04;150;0.013333333333333334
flowerpot;150;0.02;0.19333333333333333;150;0.02
file cabinet;150;0.06666666666666667;0.18666666666666668;150;0.06666666666666667
train;150;0.0;0.006666666666666667;150;0.0
washer;150;0.04666666666666667;0.08;150;0.04666666666666667
keyboard;150;0.07333333333333333;0.41333333333333333;150;0.08
helmet;150;0.43333333333333335;0.52;150;0.48
knife;150;0.06;0.47333333333333333;150;0.06
loudspeaker;150;0.07333333333333333;0.14;150;0.07333333333333333
laptop;150;0.25333333333333335;0.62;150;0.44
lamp;150;0.5466666666666666;0.6866666666666666;150;0.5466666666666666
microphone;150;0.14666666666666667;0.2733333333333333;150;0.14666666666666667
microwaves;150;0.02666666666666667;0.07333333333333333;150;0.02666666666666667
motorbike;150;0.34;0.49333333333333335;150;0.37333333333333335
mailbox;150;0.17333333333333334;0.22666666666666666;150;0.17333333333333334
mug;150;0.4266666666666667;0.6066666666666667;150;0.4266666666666667
pistol;150;0.3933333333333333;0.4066666666666667;150;0.3933333333333333
pillow;150;0.06666666666666667;0.15333333333333332;150;0.06666666666666667
piano;150;0.18666666666666668;0.23333333333333334;150;0.21333333333333335
tower;150;0.0;0.0;150;0.0
telephone;150;0.006666666666666667;0.04;150;0.006666666666666667
watercraft;150;0.0;0.08;150;0.09333333333333334
rifle;150;0.24;0.4;150;0.38666666666666666
table;150;0.4266666666666667;0.5466666666666666;150;0.5933333333333334
stove;150;0.02666666666666667;0.09333333333333334;150;0.02666666666666667
remote;149;0.10738255033557047;0.22818791946308725;149;0.10738255033557047
clock;149;0.08053691275167785;0.20134228187919462;149;0.18120805369127516
trash bin;149;0.738255033557047;0.7785234899328859;149;0.738255033557047
rocket;149;0.14093959731543623;0.3288590604026846;149;0.3221476510067114
jar;149;0.40268456375838924;0.610738255033557;149;0.40268456375838924
printer;149;0.12080536912751678;0.26174496644295303;149;0.12080536912751678
bed;100;0.02;0.14;100;0.04
earphone;50;0.0;0.06;50;0.0
guitar;50;0.08;0.14;50;0.12
sofa;50;0.28;0.4;50;0.28
