class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
560;football helmet;21;1.0;0.8095238095238095;1.0;0.8095238095238095;0.8947368421052632;17;0;4
402;acoustic guitar;21;1.0;0.7142857142857143;1.0;0.7142857142857143;0.8333333333333333;15;0;6
881;upright, upright piano;42;1.0;0.7142857142857143;0.8333333333333334;0.7142857142857143;0.7692307692307692;30;6;12
907;wine bottle;21;1.0;0.8571428571428571;0.6923076923076923;0.8571428571428571;0.7659574468085107;18;8;3
579;grand piano, grand;21;1.0;0.8571428571428571;0.6;0.8571428571428571;0.7058823529411764;18;12;3
898;water bottle;21;1.0;0.9523809523809523;0.5555555555555556;0.9523809523809523;0.7017543859649122;20;16;1
448;birdhouse;63;0.6666666666666666;0.5238095238095238;1.0;0.5238095238095238;0.6875000000000001;33;0;30
895;warplane, military plane;21;1.0;0.8095238095238095;0.5666666666666667;0.8095238095238095;0.6666666666666666;17;13;4
412;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;63;1.0;0.7936507936507936;0.5617977528089888;0.7936507936507936;0.6578947368421053;50;39;13
651;microwave, microwave oven;63;1.0;0.5079365079365079;0.9142857142857143;0.5079365079365079;0.653061224489796;32;3;31
897;washer, automatic washer, washing machine;63;0.6666666666666666;0.5555555555555556;0.7291666666666666;0.5555555555555556;0.6306306306306306;35;13;28
827;stove;63;1.0;0.4603174603174603;1.0;0.4603174603174603;0.6304347826086957;29;0;34
883;vase;63;1.0;0.6507936507936508;0.6029411764705882;0.6507936507936508;0.6259541984732825;41;27;22
846;table lamp;63;0.6666666666666666;0.5714285714285714;0.6666666666666666;0.5714285714285714;0.6153846153846153;36;18;27
761;remote control, remote;63;1.0;0.4603174603174603;0.8787878787878788;0.4603174603174603;0.6041666666666666;29;4;34
738;pot, flowerpot;63;1.0;0.42857142857142855;1.0;0.42857142857142855;0.6;27;0;36
703;park bench;63;0.6666666666666666;0.49206349206349204;0.7560975609756098;0.49206349206349204;0.5961538461538461;31;10;32
508;computer keyboard, keypad;63;0.3333333333333333;0.36507936507936506;1.0;0.36507936507936506;0.5348837209302325;23;0;40
534;dishwasher, dish washer, dishwashing machine;63;0.6666666666666666;0.36507936507936506;0.92;0.36507936507936506;0.5227272727272727;23;2;40
404;airliner;42;0.5;0.3333333333333333;0.9333333333333333;0.3333333333333333;0.4912280701754386;14;1;28
861;toilet seat;21;1.0;0.8571428571428571;0.33962264150943394;0.8571428571428571;0.48648648648648646;18;35;3
515;cowboy hat, ten-gallon hat;63;0.3333333333333333;0.30158730158730157;1.0;0.30158730158730157;0.46341463414634143;19;0;44
409;analog clock;21;1.0;0.7142857142857143;0.3409090909090909;0.7142857142857143;0.4615384615384615;15;29;6
532;dining table, board;63;0.3333333333333333;0.30158730158730157;0.7916666666666666;0.30158730158730157;0.43678160919540227;19;5;44
435;bathtub, bathing tub, bath, tub;63;0.3333333333333333;0.36507936507936506;0.5111111111111111;0.36507936507936506;0.4259259259259259;23;22;40
453;bookcase;63;0.3333333333333333;0.2698412698412698;1.0;0.2698412698412698;0.425;17;0;46
