value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;231;0.0;0.0;0;
bottle;126;0.3253968253968254;0.38095238095238093;126;0.49206349206349204
bag;63;0.31746031746031744;0.5555555555555556;63;0.3968253968253968
airplane;63;0.42857142857142855;0.5396825396825397;63;0.5238095238095238
basket;63;0.42857142857142855;0.8095238095238095;63;0.49206349206349204
bathtub;63;0.6666666666666666;0.8253968253968254;63;0.6666666666666666
birdhouse;63;0.7777777777777778;0.8412698412698413;63;0.7777777777777778
bench;63;0.7619047619047619;0.7777777777777778;63;0.7619047619047619
bowl;63;0.23809523809523808;0.5396825396825397;63;0.47619047619047616
bookshelf;63;0.4444444444444444;0.5873015873015873;63;0.4444444444444444
bus;63;0.015873015873015872;0.031746031746031744;63;0.07936507936507936
cabinet;63;0.0;0.031746031746031744;63;0.015873015873015872
chair;63;0.3968253968253968;0.5555555555555556;63;0.8888888888888888
camera;63;0.23809523809523808;0.4444444444444444;63;0.23809523809523808
cap;63;0.30158730158730157;0.5396825396825397;63;0.3333333333333333
car;63;0.23809523809523808;0.5555555555555556;63;0.6349206349206349
dishwasher;63;0.38095238095238093;0.47619047619047616;63;0.38095238095238093
clock;63;0.31746031746031744;0.7936507936507936;63;0.7619047619047619
display;63;0.3968253968253968;0.746031746031746;63;0.5714285714285714
file cabinet;63;0.25396825396825395;0.4126984126984127;63;0.25396825396825395
train;63;0.031746031746031744;0.047619047619047616;63;0.031746031746031744
flowerpot;63;0.6190476190476191;0.7619047619047619;63;0.6190476190476191
jar;63;0.5396825396825397;0.6825396825396826;63;0.5714285714285714
helmet;63;0.5238095238095238;0.6349206349206349;63;0.5555555555555556
keyboard;63;0.49206349206349204;0.5873015873015873;63;0.49206349206349204
knife;63;0.06349206349206349;0.2222222222222222;63;0.06349206349206349
laptop;63;0.31746031746031744;0.9365079365079365;63;0.8888888888888888
lamp;63;0.6349206349206349;0.7777777777777778;63;0.6349206349206349
microphone;63;0.3333333333333333;0.4603174603174603;63;0.3333333333333333
microwaves;63;0.47619047619047616;0.5873015873015873;63;0.47619047619047616
loudspeaker;63;0.42857142857142855;0.5238095238095238;63;0.42857142857142855
mailbox;63;0.2698412698412698;0.4444444444444444;63;0.2698412698412698
motorbike;63;0.2222222222222222;0.6984126984126984;63;0.47619047619047616
mug;63;0.07936507936507936;0.7619047619047619;63;0.07936507936507936
pillow;63;0.31746031746031744;0.36507936507936506;63;0.31746031746031744
piano;63;0.8412698412698413;0.9047619047619048;63;0.873015873015873
washer;63;0.6190476190476191;0.6666666666666666;63;0.6190476190476191
table;63;0.38095238095238093;0.5555555555555556;63;0.6031746031746031
pistol;63;0.09523809523809523;0.1111111111111111;63;0.09523809523809523
printer;63;0.30158730158730157;0.47619047619047616;63;0.30158730158730157
remote;63;0.6031746031746031;0.6507936507936508;63;0.6031746031746031
rifle;63;0.07936507936507936;0.12698412698412698;63;0.12698412698412698
rocket;63;0.2222222222222222;0.3333333333333333;63;0.31746031746031744
stove;63;0.5555555555555556;0.6349206349206349;63;0.5555555555555556
watercraft;63;0.06349206349206349;0.06349206349206349;63;0.12698412698412698
trash bin;63;0.9523809523809523;0.9682539682539683;63;0.9523809523809523
telephone;63;0.2857142857142857;0.3492063492063492;63;0.2857142857142857
tower;63;0.031746031746031744;0.07936507936507936;63;0.2222222222222222
bed;42;0.0;0.3333333333333333;42;0.40476190476190477
earphone;21;0.42857142857142855;0.5238095238095238;21;0.42857142857142855
guitar;21;0.9047619047619048;0.9047619047619048;21;0.9047619047619048
sofa;21;0.8571428571428571;0.8571428571428571;21;0.8571428571428571
