superclass;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
guitar;21;1.0;0.8571428571428571;1.0;0.8571428571428571;0.923076923076923;18;0;3
piano;63;1.0;0.9047619047619048;0.8636363636363636;0.9047619047619048;0.8837209302325582;57;9;6
clock;63;1.0;0.7777777777777778;0.9245283018867925;0.7777777777777778;0.8448275862068966;49;4;14
birdhouse;63;1.0;0.7301587301587301;0.92;0.7301587301587301;0.8141592920353983;46;4;17
bench;63;0.6666666666666666;0.7142857142857143;0.9375;0.7142857142857143;0.8108108108108109;45;3;18
helmet;63;1.0;0.6825396825396826;0.9347826086956522;0.6825396825396826;0.7889908256880734;43;3;20
laptop;63;1.0;0.873015873015873;0.6626506024096386;0.873015873015873;0.7534246575342466;55;28;8
stove;63;1.0;0.6190476190476191;0.9512195121951219;0.6190476190476191;0.7500000000000001;39;2;24
washer;63;0.6666666666666666;0.6190476190476191;0.9069767441860465;0.6190476190476191;0.7358490566037736;39;4;24
display;63;0.6666666666666666;0.6349206349206349;0.851063829787234;0.6349206349206349;0.7272727272727273;40;7;23
flowerpot;63;0.6666666666666666;0.5714285714285714;1.0;0.5714285714285714;0.7272727272727273;36;0;27
lamp;63;0.3333333333333333;0.5714285714285714;0.972972972972973;0.5714285714285714;0.72;36;1;27
remote;63;1.0;0.6190476190476191;0.8297872340425532;0.6190476190476191;0.7090909090909091;39;8;24
microwaves;63;1.0;0.5555555555555556;0.9722222222222222;0.5555555555555556;0.7070707070707072;35;1;28
chair;63;1.0;0.8571428571428571;0.6;0.8571428571428571;0.7058823529411764;54;36;9
bowl;63;0.6666666666666666;0.5079365079365079;1.0;0.5079365079365079;0.6736842105263158;32;0;31
keyboard;63;0.6666666666666666;0.5079365079365079;1.0;0.5079365079365079;0.6736842105263158;32;0;31
motorbike;63;0.3333333333333333;0.5238095238095238;0.9428571428571428;0.5238095238095238;0.673469387755102;33;2;30
jar;63;0.6666666666666666;0.5396825396825397;0.7906976744186046;0.5396825396825397;0.6415094339622641;34;9;29
bottle;126;0.6666666666666666;0.5952380952380952;0.6578947368421053;0.5952380952380952;0.625;75;39;51
earphone;21;1.0;0.47619047619047616;0.9090909090909091;0.47619047619047616;0.6249999999999999;10;1;11
trash bin;63;1.0;0.9523809523809523;0.45454545454545453;0.9523809523809523;0.6153846153846153;60;72;3
bathtub;63;0.3333333333333333;0.4444444444444444;0.9655172413793104;0.4444444444444444;0.6086956521739131;28;1;35
table;63;0.6666666666666666;0.5238095238095238;0.717391304347826;0.5238095238095238;0.6055045871559633;33;13;30
bookshelf;63;0.3333333333333333;0.3968253968253968;0.9615384615384616;0.3968253968253968;0.5617977528089887;25;1;38
bed;42;0.5;0.38095238095238093;1.0;0.38095238095238093;0.5517241379310345;16;0;26
loudspeaker;63;0.3333333333333333;0.3968253968253968;0.78125;0.3968253968253968;0.5263157894736843;25;7;38
sofa;21;1.0;0.8095238095238095;0.38636363636363635;0.8095238095238095;0.523076923076923;17;27;4
dishwasher;63;0.6666666666666666;0.36507936507936506;0.92;0.36507936507936506;0.5227272727272727;23;2;40
microphone;63;0.3333333333333333;0.3333333333333333;0.9545454545454546;0.3333333333333333;0.49411764705882355;21;1;42
printer;63;1.0;0.3492063492063492;0.7857142857142857;0.3492063492063492;0.48351648351648346;22;6;41
car;63;0.6666666666666666;0.4603174603174603;0.5087719298245614;0.4603174603174603;0.48333333333333334;29;28;34
pillow;63;0.3333333333333333;0.30158730158730157;1.0;0.30158730158730157;0.46341463414634143;19;0;44
bag;63;0.3333333333333333;0.31746031746031744;0.8;0.31746031746031744;0.45454545454545453;20;5;43
basket;63;0.6666666666666666;0.5396825396825397;0.39080459770114945;0.5396825396825397;0.4533333333333333;34;53;29
cap;63;0.3333333333333333;0.2857142857142857;0.8571428571428571;0.2857142857142857;0.42857142857142855;18;3;45
telephone;63;0.3333333333333333;0.2698412698412698;1.0;0.2698412698412698;0.425;17;0;46
mailbox;63;0.3333333333333333;0.2857142857142857;0.5806451612903226;0.2857142857142857;0.3829787234042553;18;13;45
airplane;63;0.3333333333333333;0.2698412698412698;0.6538461538461539;0.2698412698412698;0.3820224719101123;17;9;46
file cabinet;63;0.3333333333333333;0.25396825396825395;0.6956521739130435;0.25396825396825395;0.3720930232558139;16;7;47
rocket;63;0.6666666666666666;0.3492063492063492;0.39285714285714285;0.3492063492063492;0.3697478991596638;22;34;41
camera;63;0.0;0.20634920634920634;1.0;0.20634920634920634;0.34210526315789475;13;0;50
tower;63;0.0;0.20634920634920634;0.7222222222222222;0.20634920634920634;0.32098765432098764;13;5;50
watercraft;63;0.0;0.15873015873015872;0.7692307692307693;0.15873015873015872;0.2631578947368421;10;3;53
mug;63;0.0;0.1111111111111111;1.0;0.1111111111111111;0.19999999999999998;7;0;56
rifle;63;0.0;0.1111111111111111;1.0;0.1111111111111111;0.19999999999999998;7;0;56
pistol;63;0.0;0.09523809523809523;1.0;0.09523809523809523;0.17391304347826084;6;0;57
bus;63;0.0;0.07936507936507936;1.0;0.07936507936507936;0.14705882352941177;5;0;58
train;63;0.0;0.015873015873015872;1.0;0.015873015873015872;0.03125;1;0;62
knife;63;0.0;0.015873015873015872;0.3333333333333333;0.015873015873015872;0.030303030303030304;1;2;62
cabinet;63;0.0;0.0;0.0;0.0;0.0;0;1;63
