value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;231;0.0;0.0;0;
bottle;126;0.3492063492063492;0.5079365079365079;126;0.5952380952380952
bag;63;0.2857142857142857;0.5396825396825397;63;0.31746031746031744
airplane;63;0.2698412698412698;0.7142857142857143;63;0.2698412698412698
basket;63;0.4603174603174603;0.9365079365079365;63;0.5396825396825397
bathtub;63;0.4444444444444444;0.8253968253968254;63;0.4444444444444444
birdhouse;63;0.7301587301587301;0.8888888888888888;63;0.7301587301587301
bench;63;0.7142857142857143;0.873015873015873;63;0.7142857142857143
bowl;63;0.3492063492063492;0.5873015873015873;63;0.5079365079365079
bookshelf;63;0.3968253968253968;0.6190476190476191;63;0.3968253968253968
bus;63;0.015873015873015872;0.07936507936507936;63;0.07936507936507936
cabinet;63;0.0;0.015873015873015872;63;0.0
chair;63;0.3333333333333333;0.9206349206349206;63;0.8571428571428571
camera;63;0.20634920634920634;0.3492063492063492;63;0.20634920634920634
cap;63;0.2698412698412698;0.6825396825396826;63;0.2857142857142857
car;63;0.07936507936507936;0.5714285714285714;63;0.4603174603174603
dishwasher;63;0.36507936507936506;0.6349206349206349;63;0.36507936507936506
clock;63;0.30158730158730157;0.8095238095238095;63;0.7777777777777778
display;63;0.6349206349206349;0.873015873015873;63;0.6349206349206349
file cabinet;63;0.25396825396825395;0.5873015873015873;63;0.25396825396825395
train;63;0.015873015873015872;0.06349206349206349;63;0.015873015873015872
flowerpot;63;0.5714285714285714;0.9047619047619048;63;0.5714285714285714
jar;63;0.5079365079365079;0.8571428571428571;63;0.5396825396825397
helmet;63;0.6190476190476191;0.8571428571428571;63;0.6825396825396826
keyboard;63;0.5079365079365079;0.7142857142857143;63;0.5079365079365079
knife;63;0.015873015873015872;0.25396825396825395;63;0.015873015873015872
laptop;63;0.5396825396825397;0.9841269841269841;63;0.873015873015873
lamp;63;0.5714285714285714;0.7936507936507936;63;0.5714285714285714
microphone;63;0.3333333333333333;0.6031746031746031;63;0.3333333333333333
microwaves;63;0.5555555555555556;0.6190476190476191;63;0.5555555555555556
loudspeaker;63;0.3968253968253968;0.4603174603174603;63;0.3968253968253968
mailbox;63;0.2857142857142857;0.6031746031746031;63;0.2857142857142857
motorbike;63;0.4603174603174603;0.8253968253968254;63;0.5238095238095238
mug;63;0.1111111111111111;0.7936507936507936;63;0.1111111111111111
pillow;63;0.30158730158730157;0.47619047619047616;63;0.30158730158730157
piano;63;0.873015873015873;0.9682539682539683;63;0.9047619047619048
washer;63;0.6190476190476191;0.7142857142857143;63;0.6190476190476191
table;63;0.2222222222222222;0.6190476190476191;63;0.5238095238095238
pistol;63;0.09523809523809523;0.1111111111111111;63;0.09523809523809523
printer;63;0.3492063492063492;0.6031746031746031;63;0.3492063492063492
remote;63;0.6190476190476191;0.6666666666666666;63;0.6190476190476191
rifle;63;0.07936507936507936;0.1111111111111111;63;0.1111111111111111
rocket;63;0.0;0.3492063492063492;63;0.3492063492063492
stove;63;0.6190476190476191;0.6666666666666666;63;0.6190476190476191
watercraft;63;0.047619047619047616;0.12698412698412698;63;0.15873015873015872
trash bin;63;0.9523809523809523;0.9682539682539683;63;0.9523809523809523
telephone;63;0.2698412698412698;0.4603174603174603;63;0.2698412698412698
tower;63;0.031746031746031744;0.1111111111111111;63;0.20634920634920634
bed;42;0.0;0.19047619047619047;42;0.38095238095238093
earphone;21;0.47619047619047616;0.6666666666666666;21;0.47619047619047616
guitar;21;0.8571428571428571;0.9047619047619048;21;0.8571428571428571
sofa;21;0.8095238095238095;0.9047619047619048;21;0.8095238095238095
