rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;dinov2_l__knn;DINOv2-L-KNN;0.3860119047619048;0.6056547619047619;0.5973154362416108;0.5266858421220837;3129;0.40715883668903796;-0.07062959411952707
2;dinov2_l_in1k__logits;DINOv2-L-IN1K-LOGITS;0.37648809523809523;0.5976190476190476;0.6510067114093959;0.5215723873441994;3129;0.4020453819111537;-0.1294343240651965
3;dinov3_l__knn;DINOv3-L-KNN;0.3827380952380952;0.5541666666666667;0.5838926174496645;0.5126238414829019;3129;0.3930968360498561;-0.07126877596676262
4;dinov2_l_in1k__knn;DINOv2-L-IN1K-KNN;0.3607142857142857;0.5720238095238095;0.6174496644295302;0.49185043144774687;3129;0.37232342601470114;-0.12559923298178333
5;clip_l_in1k__knn;CLIP-L-IN1K-KNN;0.3443452380952381;0.49166666666666664;0.5503355704697986;0.4550974752317034;3129;0.3355704697986577;-0.09523809523809523
6;clip_l_in1k__logits;CLIP-L-IN1K-LOGITS;0.3392857142857143;0.5580357142857143;0.5234899328859061;0.44423138382869926;3129;0.3247043783956536;-0.0792585490572068
7;swin_l_in1k__logits;Swin-L-IN1K-LOGITS;0.26398809523809524;0.45535714285714285;0.4697986577181208;0.3576222435282838;3129;0.2380952380952381;-0.11217641418983698
8;hiera_l_in1k__knn;Hiera_L-IN1K-KNN;0.24970238095238095;0.37589285714285714;0.48322147651006714;0.3410035155001598;3129;0.22147651006711408;-0.14221796100990736
9;hiera_l_in1k__logits;Hiera_L-IN1K-LOGITS;0.2467261904761905;0.44285714285714284;0.47651006711409394;0.336529242569511;3129;0.2170022371364653;-0.13998082454458294
10;swin_l__knn;Swin-L-KNN;0.23214285714285715;0.37142857142857144;0.3959731543624161;0.31383828699264943;3129;0.19431128155960373;-0.08213486736976666
11;swin_l_in1k__knn;Swin-L-IN1K-KNN;0.23214285714285715;0.37142857142857144;0.3959731543624161;0.31383828699264943;3129;0.19431128155960373;-0.08213486736976666
12;clip_l__knn;CLIP-L-KNN;0.1738095238095238;0.3205357142857143;0.3624161073825503;0.24256951102588686;3129;0.12304250559284116;-0.11984659635666345
13;vit_l_in1k__logits;ViT-L-IN1K-LOGITS;0.15833333333333333;0.31934523809523807;0.3087248322147651;0.2182806008309364;3129;0.09875359539789069;-0.0904442313838287
14;vit_l_in1k__knn;ViT-L-IN1K-KNN;0.15654761904761905;0.2755952380952381;0.2953020134228188;0.20741450942793224;3129;0.08788750399488654;-0.08788750399488657
