rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;swin_l_in1k__logits;Swin-L-IN1K-LOGITS;0.26398809523809524;0.45535714285714285;0.4697986577181208;0.3576222435282838;3129;0.2380952380952381;-0.11217641418983698
2;swin_b_in1k__logits;Swin-B-IN1K-LOGITS;0.22738095238095238;0.4107142857142857;0.436241610738255;0.3173537871524449;3129;0.1978267817193992;-0.11888782358581013
3;swin_l_in1k__knn;Swin-L-IN1K-KNN;0.23214285714285715;0.37142857142857144;0.3959731543624161;0.31383828699264943;3129;0.19431128155960373;-0.08213486736976666
4;swin_l__knn;Swin-L-KNN;0.23214285714285715;0.37142857142857144;0.3959731543624161;0.31383828699264943;3129;0.19431128155960373;-0.08213486736976666
5;swin_b_in1k__linear_probe;Swin-B-IN1K-LINEAR_PROBE;0.22708333333333333;0.41369047619047616;0.4429530201342282;0.30648769574944074;3129;0.18696069031639503;-0.13646532438478748
6;swin_s_in1k__logits;Swin-S-IN1K-LOGITS;0.2154761904761905;0.4056547619047619;0.38926174496644295;0.29466283157558326;3129;0.17513582614253756;-0.09459891339085968
7;swin_b_in1k__knn;Swin-B-IN1K-KNN;0.21369047619047618;0.35833333333333334;0.40939597315436244;0.29338446788111217;3129;0.17385746244806646;-0.11601150527325027
8;swin_b__knn;Swin-B-KNN;0.2017857142857143;0.32589285714285715;0.38926174496644295;0.27293064876957496;3129;0.15340364333652926;-0.11633109619686799
9;swin_s_in1k__knn;Swin-S-IN1K-KNN;0.1949404761904762;0.34285714285714286;0.3422818791946309;0.26334292106104185;3129;0.14381591562799614;-0.07893895813358903
10;swin_s__knn;Swin-S-KNN;0.1836309523809524;0.30833333333333335;0.3624161073825503;0.2464046021093001;3129;0.1268775966762544;-0.11601150527325021
