value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;231;0.0;0.0;0;
bottle;126;0.07936507936507936;0.3968253968253968;126;0.31746031746031744
bag;63;0.0;0.031746031746031744;63;0.0
airplane;63;0.015873015873015872;0.015873015873015872;63;0.015873015873015872
basket;63;0.2857142857142857;0.49206349206349204;63;0.30158730158730157
bathtub;63;0.047619047619047616;0.14285714285714285;63;0.047619047619047616
birdhouse;63;0.2698412698412698;0.3492063492063492;63;0.2698412698412698
bench;63;0.015873015873015872;0.06349206349206349;63;0.015873015873015872
bowl;63;0.0;0.09523809523809523;63;0.4126984126984127
bookshelf;63;0.1746031746031746;0.3968253968253968;63;0.1746031746031746
bus;63;0.0;0.0;63;0.0
cabinet;63;0.0;0.09523809523809523;63;0.0
chair;63;0.20634920634920634;0.42857142857142855;63;0.2698412698412698
camera;63;0.015873015873015872;0.047619047619047616;63;0.015873015873015872
cap;63;0.047619047619047616;0.15873015873015872;63;0.047619047619047616
car;63;0.031746031746031744;0.2222222222222222;63;0.2698412698412698
dishwasher;63;0.1746031746031746;0.38095238095238093;63;0.1746031746031746
clock;63;0.23809523809523808;0.6349206349206349;63;0.6031746031746031
display;63;0.09523809523809523;0.38095238095238093;63;0.15873015873015872
file cabinet;63;0.09523809523809523;0.20634920634920634;63;0.09523809523809523
train;63;0.0;0.0;63;0.0
flowerpot;63;0.015873015873015872;0.07936507936507936;63;0.015873015873015872
jar;63;0.015873015873015872;0.06349206349206349;63;0.015873015873015872
helmet;63;0.20634920634920634;0.38095238095238093;63;0.20634920634920634
keyboard;63;0.0;0.0;63;0.0
knife;63;0.0;0.0;63;0.0
laptop;63;0.015873015873015872;0.25396825396825395;63;0.2857142857142857
lamp;63;0.36507936507936506;0.6190476190476191;63;0.36507936507936506
microphone;63;0.0;0.0;63;0.0
microwaves;63;0.047619047619047616;0.19047619047619047;63;0.047619047619047616
loudspeaker;63;0.12698412698412698;0.25396825396825395;63;0.12698412698412698
mailbox;63;0.0;0.0;63;0.0
motorbike;63;0.031746031746031744;0.031746031746031744;63;0.031746031746031744
mug;63;0.0;0.15873015873015872;63;0.0
pillow;63;0.015873015873015872;0.031746031746031744;63;0.015873015873015872
piano;63;0.2222222222222222;0.3333333333333333;63;0.2222222222222222
washer;63;0.14285714285714285;0.3968253968253968;63;0.14285714285714285
table;63;0.015873015873015872;0.09523809523809523;63;0.015873015873015872
pistol;63;0.031746031746031744;0.09523809523809523;63;0.031746031746031744
printer;63;0.12698412698412698;0.3968253968253968;63;0.12698412698412698
remote;63;0.3333333333333333;0.4444444444444444;63;0.3333333333333333
rifle;63;0.031746031746031744;0.06349206349206349;63;0.06349206349206349
rocket;63;0.0;0.031746031746031744;63;0.0
stove;63;0.015873015873015872;0.25396825396825395;63;0.015873015873015872
watercraft;63;0.0;0.0;63;0.0
trash bin;63;0.0;0.12698412698412698;63;0.0
telephone;63;0.0;0.047619047619047616;63;0.015873015873015872
tower;63;0.0;0.015873015873015872;63;0.031746031746031744
bed;42;0.0;0.0;42;0.11904761904761904
earphone;21;0.0;0.0;21;0.0
guitar;21;0.5714285714285714;0.6666666666666666;21;0.5714285714285714
sofa;21;0.23809523809523808;0.5238095238095238;21;0.23809523809523808
